mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	0	1	2/2	1/4	3/4	firstMeasure				1	2
2	1	1	2/2	1	0						3
3	2	1	2/2	1	0						4
4	3	1	2/2	1	0						5
5	4	1	2/2	1	0						6
6	5	1	2/2	1	0						7
7	6	1	2/2	1	0						8
8	7	1	2/2	1	0						9
9	8	1	2/2	1	0						10
10	9	1	2/2	1	0						11
11	10	1	2/2	3/4	0	endRepeat					1, 12
12	10	1	2/2	1/4	3/4	startRepeat		start-repeat		1	13
13	11	1	2/2	1	0						14
14	12	1	2/2	1	0						15
15	13	1	2/2	1	0						16
16	14	1	2/2	1	0						17
17	15	1	2/2	1	0						18
18	16	1	2/2	1	0						19
19	17	1	2/2	1	0						20
20	18	1	2/2	1	0						21
21	19	1	2/2	1	0						22
22	20	1	2/2	1	0						23
23	21	1	2/2	1	0						24
24	22	1	2/2	1	0						25
25	23	1	2/2	1	0						26
26	24	1	2/2	1	0						27
27	25	1	2/2	1	0						28
28	26	1	2/2	1	0						29
29	27	1	2/2	1	0						30
30	28	1	2/2	1	0						31
31	29	1	2/2	1	0						32, 33
32	30	1	2/2	3/4	0	endRepeat	1				12
33	30	1	2/2	3/4	0	lastMeasure	2	end		1	-1
