mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-2	3/4	3/4	0	6	firstMeasure					2
2	2	-2	3/4	3/4	0	5						3
3	3	-2	3/4	3/4	0	5						4
4	4	-2	3/4	3/4	0	4						5
5	5	-2	3/4	3/4	0	5						6
6	6	-2	3/4	3/4	0	5						7
7	7	-2	3/4	3/4	0	5						8
8	8	-2	3/4	3/4	0	5	endRepeat					1, 9
9	9	-2	3/4	3/4	0	7	startRepeat		start-repeat			10
10	10	-2	3/4	3/4	0	6						11
11	11	-2	3/4	3/4	0	3						12
12	12	-2	3/4	3/4	0	4						13
13	13	-2	3/4	3/4	0	4						14
14	14	-2	3/4	3/4	0	4						15
15	15	-2	3/4	3/4	0	4						16
16	16	-2	3/4	3/4	0	4						17
17	17	-2	3/4	3/4	0	5						18
18	18	-2	3/4	3/4	0	5						19
19	19	-2	3/4	3/4	0	3						20
20	20	-2	3/4	3/4	0	5						21
21	21	-2	3/4	3/4	0	4						22
22	22	-2	3/4	3/4	0	4						23
23	23	-2	3/4	3/4	0	5						24
24	24	-2	3/4	3/4	0	5	endRepeat					9, -1
