mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	4	6/8	1/8	5/8			1			firstMeasure	2
2	1	4	6/8	3/4	0							3
3	2	4	6/8	3/4	0							4
4	3	4	6/8	3/4	0					line		5
5	4	4	6/8	3/4	0							6
6	5	4	6/8	3/4	0							7
7	6	4	6/8	3/4	0					line		8
8	7	4	6/8	3/4	0							9
9	8	4	6/8	3/4	0							10
10	9	4	6/8	3/4	0					line		11
11	10	4	6/8	3/4	0							12
12	11	4	6/8	3/4	0					line		13
13	12	4	6/8	3/4	0							14
14	13	4	6/8	3/4	0					line		15
15	14	4	6/8	3/4	0							16
16	15	4	6/8	3/4	0					line		17
17	16	4	6/8	3/4	0							18
18	17	4	6/8	3/4	0							19
19	18	4	6/8	3/4	0					line		20
20	19	4	6/8	3/4	0							21
21	20	4	6/8	3/4	0							22
22	21	4	6/8	3/4	0					line		23
23	22	4	6/8	3/4	0							24
24	23	4	6/8	3/4	0							25
25	24	4	6/8	5/8	0					line	end	1, 26
26	24	4	6/8	1/8	5/8			1	start-repeat		start	27
27	25	4	6/8	3/4	0							28
28	26	4	6/8	3/4	0							29
29	27	4	6/8	3/4	0					line		30
30	28	4	6/8	3/4	0							31
31	29	4	6/8	3/4	0							32
32	30	4	6/8	3/4	0					line		33
33	31	4	6/8	3/4	0							34
34	32	4	6/8	3/4	0							35
35	33	4	6/8	3/4	0					line		36
36	34	4	6/8	3/4	0							37
37	35	4	6/8	3/4	0							38
38	36	4	6/8	3/4	0					line		39
39	37	4	6/8	3/4	0							40
40	38	4	6/8	3/4	0					line		41
41	39	4	6/8	3/4	0							42
42	40	4	6/8	3/4	0					line		43
43	41	4	6/8	3/4	0							44
44	42	4	6/8	3/4	0					line		45
45	43	4	6/8	3/4	0							46
46	44	4	6/8	3/4	0							47
47	45	4	6/8	3/4	0					line		48
48	46	4	6/8	3/4	0							49
49	47	4	6/8	3/4	0							50
50	48	4	6/8	5/8	0					line	end	26, -1
