mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	0	-2	4/4	1/16	15/16	2	firstMeasure				1	2
2	1	-2	4/4	1	0	3						3
3	2	-2	4/4	1	0	2						4
4	3	-2	4/4	1	0	3						5
5	4	-2	4/4	1	0	3						6
6	5	-2	4/4	1	0	3						7
7	6	-2	4/4	1	0	4						8
8	7	-2	4/4	1	0	3						9
9	8	-2	4/4	1	0	3						10
10	9	-2	4/4	1	0	3						11
11	10	-2	4/4	1	0	3						12
12	11	-2	4/4	1	0	4						13
13	12	-2	4/4	15/16	0	5	endRepeat					1, 14
14	12	-2	4/4	1/16	15/16	2	startRepeat		start-repeat		1	15
15	13	-2	4/4	1	0	3						16
16	14	-2	4/4	1	0	3						17
17	15	-2	4/4	1	0	2						18
18	16	-2	4/4	1	0	3						19
19	17	-2	4/4	1	0	2						20
20	18	-2	4/4	1	0	3						21
21	19	-2	4/4	1	0	3						22
22	20	-2	4/4	1	0	3						23
23	21	-2	4/4	1	0	3						24
24	22	-2	4/4	1	0	3						25
25	23	-2	4/4	1	0	3						26
26	24	-2	4/4	15/16	0	5	endRepeat					14, -1
