mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	0	-1	12/8	1/8	11/8	2	firstMeasure				1	2
2	1	-1	12/8	3/2	0	3						3
3	2	-1	12/8	3/2	0	3						4
4	3	-1	12/8	3/2	0	3						5
5	4	-1	12/8	3/2	0	3						6
6	5	-1	12/8	3/2	0	3						7
7	6	-1	12/8	3/2	0	3						8
8	7	-1	12/8	3/2	0	3						9
9	8	-1	12/8	3/2	0	3						10
10	9	-1	12/8	3/2	0	2						11
11	10	-1	12/8	3/2	0	2						12
12	11	-1	12/8	3/2	0	2						13
13	12	-1	12/8	3/2	0	2						14
14	13	-1	12/8	3/2	0	2						15
15	14	-1	12/8	3/2	0	2						16
16	15	-1	12/8	3/2	0	2						17
17	16	-1	12/8	3/2	0	2						18
18	17	-1	12/8	3/2	0	2						19
19	18	-1	12/8	3/2	0	2						20
20	19	-1	12/8	3/2	0	2						21
21	20	-1	12/8	3/2	0	2						22
22	21	-1	12/8	3/2	0	2						23
23	22	-1	12/8	3/2	0	2						24
24	23	-1	12/8	3/2	0	2						25
25	24	-1	12/8	11/8	0	2	endRepeat					1, 26
26	24	-1	12/8	1/8	11/8	2	startRepeat		start-repeat		1	27
27	25	-1	12/8	3/2	0	2						28
28	26	-1	12/8	3/2	0	2						29
29	27	-1	12/8	3/2	0	2						30
30	28	-1	12/8	3/2	0	2						31
31	29	-1	12/8	3/2	0	2						32
32	30	-1	12/8	3/2	0	2						33
33	31	-1	12/8	3/2	0	2						34
34	32	-1	12/8	3/2	0	2						35
35	33	-1	12/8	3/2	0	2						36
36	34	-1	12/8	3/2	0	2						37
37	35	-1	12/8	3/2	0	2						38
38	36	-1	12/8	3/2	0	2						39
39	37	-1	12/8	3/2	0	2						40
40	38	-1	12/8	3/2	0	2						41
41	39	-1	12/8	3/2	0	2						42
42	40	-1	12/8	3/2	0	2						43
43	41	-1	12/8	3/2	0	2						44
44	42	-1	12/8	3/2	0	2						45
45	43	-1	12/8	3/2	0	2						46
46	44	-1	12/8	3/2	0	2						47
47	45	-1	12/8	3/2	0	2						48
48	46	-1	12/8	3/2	0	2						49
49	47	-1	12/8	3/2	0	2						50
50	48	-1	12/8	3/2	0	2						51
51	49	-1	12/8	3/2	0	2						52
52	50	-1	12/8	3/2	0	2						53
53	51	-1	12/8	3/2	0	2						54
54	52	-1	12/8	11/8	0	2	endRepeat					26, -1
