mc	mn	keysig	timesig	act_dur	offset	voices	repeats	volta	barline	numbering_offset	dont_count	next
1	1	-1	3/4	3/4	0	3	firstMeasure					2
2	2	-1	3/4	3/4	0	3						3
3	3	-1	3/4	3/4	0	3						4
4	4	-1	3/4	3/4	0	3						5
5	5	-1	3/4	3/4	0	4						6
6	6	-1	3/4	3/4	0	3						7
7	7	-1	3/4	3/4	0	3						8, 9
8	8	-1	3/4	3/4	0	3	endRepeat	1				1
9	8	-1	3/4	3/4	0	3		2	double		1	10
10	9	-1	3/4	3/4	0	4	startRepeat		start-repeat			11
11	10	-1	3/4	3/4	0	4						12
12	11	-1	3/4	3/4	0	3						13
13	12	-1	3/4	3/4	0	4						14
14	13	-1	3/4	3/4	0	3						15
15	14	-1	3/4	3/4	0	3						16
16	15	-1	3/4	3/4	0	4						17
17	16	-1	3/4	3/4	0	3						18
18	17	-1	3/4	3/4	0	4						19
19	18	-1	3/4	3/4	0	4						20
20	19	-1	3/4	3/4	0	4						21
21	20	-1	3/4	3/4	0	4						22
22	21	-1	3/4	3/4	0	4						23
23	22	-1	3/4	3/4	0	4						24
24	23	-1	3/4	3/4	0	3						25
25	24	-1	3/4	3/4	0	4	endRepeat					10, -1
