mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/4	2	1		d.i		d	i		i	i							m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	3/4	2	1		V64		d	i		V64	V		64					M	1	1	2, 1, 5		1	2
1	1	2	1.0	1/2	1/2	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	3	1.0	0	0	3/4	2	1		V2		d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
2	2	4	1.0	1/4	1/4	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	5	1.0	1/2	1/2	3/4	2	1		V64(4)		d	i		V64(4)	V		64	4				M	1	1	2, 1, 0		1	2
3	3	6	1.0	0	0	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	7	0.5	1/4	1/4	3/4	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	15/2	0.5	3/8	3/8	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	8	1.0	1/2	1/2	3/4	2	1		ii%2		d	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
4	4	9	1.0	0	0	3/4	2	1		V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
4	4	10	3.0	1/4	1/4	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
5	5	13	1.0	1/4	1/4	3/4	2	1		#viio6(2)		d	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
5	5	14	1.0	1/2	1/2	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	15	1.0	0	0	3/4	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	6	16	1.0	1/4	1/4	3/4	2	1		V2		d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
6	6	17	1.0	1/2	1/2	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	7	18	1.0	0	0	3/4	2	1		V(2)		d	i		V(2)	V			2				M	1	1	-4, 5, 2		1	-4
7	7	19	1.0	1/4	1/4	3/4	2	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
