mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2.0	0	0	3/2	2	1		d.i{	d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	2	2	4.0	1/2	1/2	3/2	2	1		ii%2	d	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
2	2	6	6	2.0	0	0	3/2	2	1		V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
2	2	8	8	4.0	1/2	1/2	3/2	2	1		V2/iv	d	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
3	3	12	12	2.0	0	0	3/2	2	1		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	14	14	2.0	1/2	1/2	3/2	2	1		iio6	d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
3	3	16	16	2.0	1	1	3/2	2	1		V65/V	d	i		V65/V	V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
4	4	18	18	4.0	0	0	3/2	2	1		V|HC}	d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
4	4	22	22	2.0	1	1	3/2	2	1		V2	d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
5	5	24	24	2.0	0	0	3/2	2	1		V65/iv{	d	i		V65/iv	V		65		iv		{	Mm7	1	1	4, 1, -2, 0		0	4
5	5	26	26	4.0	1/2	1/2	3/2	2	1		V2/VII	d	i		V2/VII	V		2		VII			Mm7	1	1	-3, -1, 3, 0		-1	-3
6	6	30	30	2.0	0	0	3/2	2	1		V7/V	d	i		V7/V	V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
6	6	32	32	2.0	1/2	1/2	3/2	2	1		V2	d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
6	6	34	34	2.0	1	1	3/2	2	1		#viio65	d	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
7	7	36	36	2.0	0	0	3/2	2	1		V6	d	i		V6	V		6					M	1	1	5, 2, 1		1	5
7	7	38	38	3.0	1/2	1/2	3/2	2	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
7	7	41	41	1.0	5/4	5/4	3/2	2	1		viio65/V	d	i		viio65/V	vii	o	65		V			o7	1	1	3, 0, -3, 6		6	3
8	8		42		0	0	3/2	2	1	1	V|HC}	d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
9	8	42	48	8.0	0	0	3/2	2	1	2	V|HC}	d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
10	9	48	54	0.0	0	0	3/2	2	1		{	d	i									{		1	1				
10	9	50	56	3.0	1/2	1/2	3/2	2	1		V2	d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
10	9	53	59	1.0	5/4	5/4	3/2	2	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
11	10	54	60	2.0	0	0	3/2	2	1		#viio43	d	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
11	10	56	62	2.0	1/2	1/2	3/2	2	1		viio/VI	d	i		viio/VI	vii	o			VI			o	1	1	1, -2, -5		1	1
11	10	58	64	2.0	1	1	3/2	2	1		V65/VI	d	i		V65/VI	V		65		VI			Mm7	1	1	1, -2, -5, -3		-3	1
12	11	60	66	1.0	0	0	3/2	2	1		VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
12	11	61	67	1.0	1/4	1/4	3/2	2	1		VI2	d	i		VI2	VI		2					Mm7	1	1	-6, -4, 0, -3		-4	-6
