quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	1	0	0	2/2	2	1	b.i[i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
1	1.0	1	1	1/4	1/4	2/2	2	1	#viio6	b	i	i	#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2.0	1	1	1/2	1/2	2/2	2	1	i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
4	1.0	2	2	0	0	2/2	2	1	iv	b	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
5	1.0	2	2	1/4	1/4	2/2	2	1	i]	b	i	i	i	i							m	1	1	0, -3, 1		0	0
6	1.0	2	2	1/2	1/2	2/2	2	1	iio64	b	i		iio64	ii	o	64					o	1	1	-4, 2, -1		2	-4
7	1.0	2	2	3/4	3/4	2/2	2	1	VI	b	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
8	1.0	3	3	0	0	2/2	2	1	iio64	b	i		iio64	ii	o	64					o	1	1	-4, 2, -1		2	-4
9	1.0	3	3	1/4	1/4	2/2	2	1	V7	b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
10	1.0	3	3	1/2	1/2	2/2	2	1	i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
11	1.0	3	3	3/4	3/4	2/2	2	1	V43	b	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
12	1.0	4	4	0	0	2/2	2	1	i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
13	1.0	4	4	1/4	1/4	2/2	2	1	iv	b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
14	1.0	4	4	1/2	1/2	2/2	2	1	V7	b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
15	2.0	4	4	3/4	3/4	2/2	2	1	i[i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
17	1.0	5	5	1/4	1/4	2/2	2	1	#viio6	b	i	i	#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
18	2.0	5	5	1/2	1/2	2/2	2	1	i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
20	1.0	6	6	0	0	2/2	2	1	iv	b	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
21	1.0	6	6	1/4	1/4	2/2	2	1	i	b	i	i	i	i							m	1	1	0, -3, 1		0	0
22	1.0	6	6	1/2	1/2	2/2	2	1	ii%2]	b	i	i	ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
23	1.0	6	6	3/4	3/4	2/2	2	1	V7/III	b	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
24	1.0	7	7	0	0	2/2	2	1	iii/III	b	i		iii/III	iii				III			m	1	1	1, -2, 2		1	1
25	1.0	7	7	1/4	1/4	2/2	2	1	viio6/III	b	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
26	1.0	7	7	1/2	1/2	2/2	2	1	III6	b	i		III6	III		6					M	1	1	1, -2, -3		-3	1
27	1.0	7	7	3/4	3/4	2/2	2	1	IV/III	b	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
28	1.0	8	8	0	0	2/2	2	1	V7(4)/III	b	i		V7(4)/III	V		7	4	III			Mm7	1	1	-2, -3, -1, -4		-2	-2
29	1.0	8	8	1/4	1/4	2/2	2	1	V/III	b	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
30	3.0	8	8	1/2	1/2	2/2	2	1	III\\	b	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
33	1.0	9	9	1/4	1/4	2/2	2	1	viio6/III	b	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
34	1.0	9	9	1/2	1/2	2/2	2	1	III6	b	i		III6	III		6					M	1	1	1, -2, -3		-3	1
35	1.0	9	9	3/4	3/4	2/2	2	1	III	b	i		III	III							M	1	1	-3, 1, -2		-3	-3
36	2.0	10	10	0	0	2/2	2	1	III(64)	b	i		III(64)	III			64				M	1	1	-3, -4, 0		-3	-3
38	1.0	10	10	1/2	1/2	2/2	2	1	III(4)	b	i		III(4)	III			4				M	1	1	-3, -4, -2		-3	-3
39	1.0	10	10	3/4	3/4	2/2	2	1	V/III	b	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
40	2.0	11	11	0	0	2/2	2	1	III	b	i		III	III							M	1	1	-3, 1, -2		-3	-3
