quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	1	0	0	3/4	2	1	F.I	F	I		I	I							M	0	0	0, 4, 1		0	0
1	2.0	1	1	1/4	1/4	3/4	2	1	V7/IV	F	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
3	0.5	2	2	0	0	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
7/2	0.5	2	2	1/8	1/8	3/4	2	1	IV(97b4)	F	I		IV(97b4)	IV			97b4				M	0	0	-1, -2, 0	1, 4	-1	-1
4	2.0	2	2	1/4	1/4	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	1.0	3	3	0	0	3/4	2	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	1.0	3	3	1/4	1/4	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
8	1.0	3	3	1/2	1/2	3/4	2	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
9	1.0	4	4	0	0	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
10	1.0	4	4	1/4	1/4	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
11	2.0	4	4	1/2	1/2	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
13	2.0	5	5	1/4	1/4	3/4	2	1	viio2/V	F	I		viio2/V	vii	o	2		V			o7	0	0	-3, 6, 3, 0		6	-3
15	3.0	6	6	0	0	3/4	2	1	V65/V	F	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
18	0.5	7	7	0	0	3/4	2	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
37/2	1.0	7	7	1/8	1/8	3/4	2	1	ii6/V	F	I		ii6/V	ii		6		V			m	0	0	0, 4, 3		3	0
39/2	1.0	7	7	3/8	3/8	3/4	2	1	V(64)/V	F	I		V(64)/V	V			64	V			M	0	0	2, 1, 5		2	2
41/2	0.5	7	7	5/8	5/8	3/4	2	1	V/V	F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
21	0.5	8	8	0	0	3/4	2	1	V(9#7)	F	I		V(9#7)	V			9#7				M	0	0	1, 5, 2	3, 6	1	1
43/2	3.5	8	8	1/8	1/8	3/4	2	1	V\\	F	I		V	V						\\	M	0	0	1, 5, 2		1	1
25	2.0	9	9	1/4	1/4	3/4	2	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
27	1.0	10	10	0	0	3/4	2	1	V7/vi	F	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
28	2.0	10	10	1/4	1/4	3/4	2	1	V2/vi	F	I		V2/vi	V		2		vi			Mm7	0	0	2, 4, 8, 5		4	2
30	0.5	11	11	0	0	3/4	2	1	#viio43/vi	F	I		#viio43/vi	#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2
61/2	0.5	11	11	1/8	1/8	3/4	2	1	V2/vi	F	I		V2/vi	V		2		vi			Mm7	0	0	2, 4, 8, 5		4	2
31	1.0	11	11	1/4	1/4	3/4	2	1	vi6	F	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
32	1.0	11	11	1/2	1/2	3/4	2	1	#viio6/vi	F	I		#viio6/vi	#vii	o	6		vi			o	0	0	5, 2, 8		8	5
33	1.0	12	12	0	0	3/4	2	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
34	1.0	12	12	1/4	1/4	3/4	2	1	V7/vi	F	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
35	1.0	12	12	1/2	1/2	3/4	2	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
36	1.0	13	13	0	0	3/4	2	1	V2/ii	F	I		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
37	2.0	13	13	1/4	1/4	3/4	2	1	ii6	F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
39	0.5	14	14	0	0	3/4	2	1	#viio7/ii	F	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
79/2	0.5	14	14	1/8	1/8	3/4	2	1	V65/ii	F	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
40	2.0	14	14	1/4	1/4	3/4	2	1	viio43/V	F	I		viio43/V	vii	o	43		V			o7	0	0	0, -3, 6, 3		6	0
42	1.0	15	15	0	0	3/4	2	1	iv6/ii	F	I		iv6/ii	iv		6		ii			m	0	0	-2, 2, 1		1	-2
43	1.0	15	15	1/4	1/4	3/4	2	1	ii%65/ii	F	I		ii%65/ii	ii	%	65		ii			%7	0	0	1, -2, 2, 4		4	1
44	1.0	15	15	1/2	1/2	3/4	2	1	V7/ii	F	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
45	1.0	16	16	0	0	3/4	2	1	ii(4)	F	I		ii(4)	ii			4				m	0	0	2, 1, 3		2	2
46	2.0	16	16	1/4	1/4	3/4	2	1	ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
48	1.0	17	17	0	0	3/4	2	1	V2/V	F	I		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
49	2.0	17	17	1/4	1/4	3/4	2	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
51	1.0	18	18	0	0	3/4	2	1	V2/IV	F	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
52	2.0	18	18	1/4	1/4	3/4	2	1	IV6	F	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
54	1.0	19	19	0	0	3/4	2	1	ii7/IV	F	I		ii7/IV	ii		7		IV			mm7	0	0	1, -2, 2, -1		1	1
55	1.0	19	19	1/4	1/4	3/4	2	1	V7(4)/IV	F	I		V7(4)/IV	V		7	4	IV			Mm7	0	0	0, -1, 1, -2		0	0
56	1.0	19	19	1/2	1/2	3/4	2	1	V7/IV	F	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
57	1.0	20	20	0	0	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
58	1.0	20	20	1/4	1/4	3/4	2	1	V7/IV	F	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
59	1.0	20	20	1/2	1/2	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
60	1.0	21	21	0	0	3/4	2	1	V65/V	F	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
61	1.0	21	21	1/4	1/4	3/4	2	1	V(94)	F	I		V(94)	V			94				M	0	0	1, 0, 2	3	1	1
62	1.0	21	21	1/2	1/2	3/4	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
63	1.0	22	22	0	0	3/4	2	1	#viio7(4)/vi	F	I		#viio7(4)/vi	#vii	o	7	4	vi			o7	0	0	8, 0, 2, -1		8	8
64	1.0	22	22	1/4	1/4	3/4	2	1	viio65/V	F	I		viio65/V	vii	o	65		V			o7	0	0	3, 0, -3, 6		6	3
65	0.5	22	22	1/2	1/2	3/4	2	1	V43/V	F	I		V43/V	V		43		V			Mm7	0	0	3, 0, 2, 6		2	3
131/2	0.5	22	22	5/8	5/8	3/4	2	1	viio6/V	F	I		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
66	0.5	23	23	0	0	3/4	2	1	V6	F	I		V6	V		6					M	0	0	5, 2, 1		1	5
133/2	0.5	23	23	1/8	1/8	3/4	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
67	0.5	23	23	1/4	1/4	3/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
135/2	0.5	23	23	3/8	3/8	3/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
68	0.5	23	23	1/2	1/2	3/4	2	1	V(64)	F	I		V(64)	V			64				M	0	0	1, 0, 4		1	1
137/2	0.5	23	23	5/8	5/8	3/4	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
69	1.0	24	24	0	0	3/4	2	1	I(4)	F	I		I(4)	I			4				M	0	0	0, -1, 1		0	0
70	2.0	24	24	1/4	1/4	3/4	2	1	I\\	F	I		I	I						\\	M	0	0	0, 4, 1		0	0
