mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0.5	0	5/8	6/8	2	1		a.V{	a	i		V	V						{	M	1	1	1, 5, 2		1	1
2	1	1/2	3.0	0	0	6/8	2	1		i	a	i		i	i							m	1	1	0, -3, 1		0	0
3	2	7/2	1.5	0	0	6/8	2	1		#viio(2)	a	i		#viio(2)	#vii	o		2				o	1	1	0, 2, -1		5	0
3	2	5	1.5	3/8	3/8	6/8	2	1		V65	a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	3	13/2	1.5	0	0	6/8	2	1		i	a	i		i	i							m	1	1	0, -3, 1		0	0
4	3	8	1.5	3/8	3/8	6/8	2	1		ii%43	a	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
5	4	19/2	3.0	0	0	6/8	2	1		V|HC}	a	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
5	4	12	0.0	5/8	5/8	6/8	2	1		{	a	i									{		1	1				
6	5	25/2	1.5	0	0	6/8	2	1		i	a	i		i	i							m	1	1	0, -3, 1		0	0
6	5	14	1.5	3/8	3/8	6/8	2	1		VI	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
7	6	31/2	1.5	0	0	6/8	2	1		viio/III	a	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
7	6	17	1.5	3/8	3/8	6/8	2	1		V/III	a	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
8	7	37/2	1.5	0	0	6/8	2	1		V/VI	a	i		V/VI	V				VI			M	1	1	-3, 1, -2		-3	-3
8	7	20	1.5	3/8	3/8	6/8	2	1		V6/VI	a	i		V6/VI	V		6		VI			M	1	1	1, -2, -3		-3	1
9	8	43/2	1.5	0	0	6/8	2	1		VI	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
9	8	23	1.5	3/8	3/8	6/8	2	1		VI6	a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
10	9	49/2	1.5	0	0	6/8	2	1		iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
10	9	26	1.5	3/8	3/8	6/8	2	1		iv6	a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
11	10	55/2	1.5	0	0	6/8	2	1		VII	a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
11	10	29	1.5	3/8	3/8	6/8	2	1		VII6	a	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
12	11	61/2	1.5	0	0	6/8	2	1		v	a	i		v	v							m	1	1	1, -2, 2		1	1
12	11	32	1.5	3/8	3/8	6/8	2	1		v6	a	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
13	12	67/2	1.5	0	0	6/8	2	1		i	a	i		i	i							m	1	1	0, -3, 1		0	0
13	12	35	1.5	3/8	3/8	6/8	2	1		i6	a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
14	13	73/2	0.5	0	0	6/8	2	1		VI	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
14	13	37	1.0	1/8	1/8	6/8	2	1		VII	a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
14	13	38	1.5	3/8	3/8	6/8	2	1		VII6	a	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
15	14	79/2	0.5	0	0	6/8	2	1		v	a	i		v	v							m	1	1	1, -2, 2		1	1
15	14	40	1.0	1/8	1/8	6/8	2	1		VI	a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
15	14	41	1.5	3/8	3/8	6/8	2	1		VI6	a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
16	15	85/2	1.5	0	0	6/8	2	1		iv	a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
16	15	44	1.5	3/8	3/8	6/8	2	1		viio/III	a	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
17	16	91/2	2.5	0	0	6/8	2	1		III.V}	a	III		V	V						}	M	1	0	1, 5, 2		1	1
17	16	48	0.5	5/8	5/8	6/8	2	1		V2{	a	III		V2	V		2				{	Mm7	1	0	-1, 1, 5, 2		1	-1
18	17	97/2	1.5	0	0	6/8	2	1		I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
18	17	50	1.5	3/8	3/8	6/8	2	1		I	a	III		I	I							M	1	0	0, 4, 1		0	0
19	18	103/2	1.5	0	0	6/8	2	1		viio	a	III		viio	vii	o						o	1	0	5, 2, -1		5	5
19	18	53	1.5	3/8	3/8	6/8	2	1		V7	a	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
20	19	109/2	1.5	0	0	6/8	2	1		I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
20	19	56	1.5	3/8	3/8	6/8	2	1		I	a	III		I	I							M	1	0	0, 4, 1		0	0
21	20	115/2	1.5	0	0	6/8	2	1		V6	a	III		V6	V		6					M	1	0	5, 2, 1		1	5
21	20	59	1.5	3/8	3/8	6/8	2	1		V	a	III		V	V							M	1	0	1, 5, 2		1	1
22	21	121/2	1.5	0	0	6/8	2	1		I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
22	21	62	1.5	3/8	3/8	6/8	2	1		V65/IV	a	III		V65/IV	V		65		IV			Mm7	1	0	4, 1, -2, 0		0	4
23	22	127/2	1.5	0	0	6/8	2	1		IV	a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
23	22	65	1.5	3/8	3/8	6/8	2	1		IV6	a	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
24	23	133/2	3.0	0	0	6/8	2	1		ii	a	III		ii	ii							m	1	0	2, -1, 3		2	2
25	24	139/2	1.5	0	0	6/8	2	1		iii	a	III		iii	iii							m	1	0	4, 1, 5		4	4
25	24	71	1.5	3/8	3/8	6/8	2	1		V	a	III		V	V							M	1	0	1, 5, 2		1	1
26	25	145/2	3.0	0	0	6/8	2	1		I	a	III		I	I							M	1	0	0, 4, 1		0	0
27	26	151/2	1.5	0	0	6/8	2	1		V6(4)	a	III		V6(4)	V		6	4				M	1	0	0, 2, 1		1	0
27	26	77	1.5	3/8	3/8	6/8	2	1		V65	a	III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
28	27	157/2	1.5	0	0	6/8	2	1		I	a	III		I	I							M	1	0	0, 4, 1		0	0
28	27	80	1.5	3/8	3/8	6/8	2	1		V43/V	a	III		V43/V	V		43		V			Mm7	1	0	3, 0, 2, 6		2	3
29	28	163/2	3.0	0	0	6/8	2	1		V|HC}	a	III		V	V					HC	}	M	1	0	1, 5, 2		1	1
29	28	84	0.0	5/8	5/8	6/8	2	1		{	a	III									{		1	0				
30	29	169/2	1.5	0	0	6/8	2	1		I	a	III		I	I							M	1	0	0, 4, 1		0	0
30	29	86	1.5	3/8	3/8	6/8	2	1		V6	a	III		V6	V		6					M	1	0	5, 2, 1		1	5
31	30	175/2	1.5	0	0	6/8	2	1		I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
31	30	89	1.5	3/8	3/8	6/8	2	1		V	a	III		V	V							M	1	0	1, 5, 2		1	1
32	31	181/2	1.5	0	0	6/8	2	1		I	a	III		I	I							M	1	0	0, 4, 1		0	0
32	31	92	1.5	3/8	3/8	6/8	2	1		V6	a	III		V6	V		6					M	1	0	5, 2, 1		1	5
33	32	187/2	1.5	0	0	6/8	2	1		I6	a	III		I6	I		6					M	1	0	4, 1, 0		0	4
33	32	95	1.5	3/8	3/8	6/8	2	1		V	a	III		V	V							M	1	0	1, 5, 2		1	1
34	33	193/2	1.0	0	0	6/8	2	1		I	a	III		I	I							M	1	0	0, 4, 1		0	0
34	33	195/2	0.5	1/4	1/4	6/8	2	1		IV(9)	a	III		IV(9)	IV			9				M	1	0	-1, 3, 0	1	-1	-1
34	33	98	1.5	3/8	3/8	6/8	2	1		V	a	III		V	V							M	1	0	1, 5, 2		1	1
35	34			0	0	6/8	2	1	1	I|PAC}	a	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
35	34		0.0	5/8	5/8	6/8	2	1	1	{	a	III									{		1	0				
36	34	199/2	6.0	0	0	6/8	2	1	2	I|PAC}	a	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
36	34	102	0.0	5/8	5/8	6/8	2	1	2	{	a	III									{		1	0				
38	36	211/2	1.5	0	0	6/8	2	1		viio(2)	a	III		viio(2)	vii	o		2				o	1	0	0, 2, -1		5	0
38	36	107	1.5	3/8	3/8	6/8	2	1		V65	a	III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
39	37	217/2	1.5	0	0	6/8	2	1		I	a	III		I	I							M	1	0	0, 4, 1		0	0
39	37	110	1.5	3/8	3/8	6/8	2	1		ii65	a	III		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
40	38	223/2	3.0	0	0	6/8	2	1		V|HC}	a	III		V	V					HC	}	M	1	0	1, 5, 2		1	1
40	38	114	0.0	5/8	5/8	6/8	2	1		{	a	III									{		1	0				
41	39	229/2	1.0	0	0	6/8	2	1		I	a	III		I	I							M	1	0	0, 4, 1		0	0
41	39	231/2	0.5	1/4	1/4	6/8	2	1		v.i	a	v		i	i							m	1	1	0, -3, 1		0	0
41	39	116	1.5	3/8	3/8	6/8	2	1		iio	a	v		iio	ii	o						o	1	1	2, -1, -4		2	2
42	40	235/2	1.5	0	0	6/8	2	1		V	a	v		V	V							M	1	1	1, 5, 2		1	1
