mc	mn	onset	label
1	0	11/16	.G.I
3	2	0	IV64
3	2	3/8	I
4	3	0	IV
4	3	3/8	I6
5	4	0	V
6	5	0	IV64/V
6	5	3/8	V
7	6	0	IV/V
7	6	3/16	V2/V
7	6	3/8	V65
7	6	9/16	V7
8	7	0	I
9	8	0	IV64
9	8	3/8	I
10	9	0	ii65
10	9	3/16	V2
10	9	3/8	I6
11	10	0	IV
11	10	3/8	ii
12	11	0	viio
12	11	3/8	V
13	12	0	iii
13	12	3/8	I
13	12	9/16	vi6
14	13	0	V/V
14	13	3/16	iii6/V
14	13	3/8	vi/V
14	13	9/16	IV6/V
15	14	0	V6/V
15	14	3/16	V7/V
15	14	3/8	V
16	15	3/8	IV64/V
17	16	0	V
17	16	3/8	ii65/V
17	16	9/16	V2/V
18	17	0	V6
18	17	3/16	I
18	17	3/8	viio6(2)/V
18	17	9/16	V43/V
19	18	0	V
19	18	3/16	V6
19	18	3/8	V/V
19	18	9/16	V6/V
20	19	0	ii/V
20	19	3/16	ii6/V
20	19	3/8	vi/V
20	19	9/16	vi6/V
21	20	0	V6
22	21	0	IV64/V
22	21	3/8	V
23	22	0	ii2/V
23	22	3/16	V65/V
23	22	3/8	V
23	22	9/16	iii/V
24	23	0	V7/V
24	23	3/16	V43/V
24	23	3/8	V6/V
24	23	9/16	V7/V
25	24	0	V
25	24	1/8	IV/V
25	24	3/16	V(64)/V
25	24	5/16	V7/V
25	24	3/8	V(4)
25	24	1/2	V\\
28	26	0	viio
28	26	3/16	iii6
28	26	3/8	I
28	26	9/16	IV6
29	27	0	ii
29	27	3/16	V65
29	27	3/8	I64
29	27	9/16	I6
30	28	0	I
31	29	0	V7/IV
31	29	3/16	IVM43
31	29	3/8	vi7/IV
31	29	9/16	V43
32	30	0	vii%7/IV
32	30	3/16	V65/IV
32	30	3/8	IV
33	31	0	vii%7
33	31	3/8	iii7
34	32	0	vi7
34	32	3/8	ii7
35	33	0	V
36	34	0	V7
36	34	3/16	IM43
36	34	3/8	vi7
36	34	9/16	ii43
37	35	0	vii%7
37	35	3/16	V65
37	35	3/8	I
37	35	9/16	I6
38	36	0	IVM7
38	36	3/8	viio
38	36	9/16	viio6
39	37	0	V7/vi
39	37	3/8	vi
39	37	9/16	vi6
40	38	0	iiM7
40	38	3/8	ii%2/vi
41	39	0	V/vi
42	40	0	V65/vi
42	40	3/16	V(6)/vi
42	40	3/8	vii%65/V
42	40	9/16	V6/V
43	41	0	#viio65/vi
43	41	3/16	V65/vi
43	41	3/8	vi64
43	41	9/16	vi6
44	42	0	iv6(#72)/vi
44	42	1/8	iv6/vi
44	42	3/16	VI(4#2)/vi
44	42	5/16	VI/vi
44	42	3/8	iv/vi
44	42	9/16	iv(6#4)/vi
44	42	11/16	iv6/vi
45	43	0	#viio65/vi
45	43	3/16	#viio7/vi
45	43	3/8	vi
45	43	9/16	V(64)/vi
45	43	11/16	V7/vi
46	44	0	vi
47	45	0	V7/ii
47	45	3/16	iiM43
47	45	3/8	vii%7
47	45	9/16	iii43
48	46	0	#viio7/ii
48	46	3/16	V65/ii
48	46	3/8	ii
49	47	3/8	V7/V
49	47	9/16	VM43
50	48	0	iii7
50	48	3/16	vi43
50	48	3/8	vii%7/V
50	48	9/16	V65/V
51	49	0	V
52	50	0	V7
52	50	3/16	IM43
52	50	3/8	IVM7
52	50	9/16	vii%43
53	51	0	IM65
53	51	3/16	vi43
53	51	3/8	ii7
53	51	9/16	ii
54	52	0	V65
54	52	3/16	V64
54	52	3/8	V7
56	54	0	vi7
56	54	3/8	vii%7
57	55	0	V65/IV
57	55	3/8	vii%7
57	55	9/16	V7
58	56	0	I
58	56	1/8	IV
58	56	3/16	V(64)
58	56	5/16	V7
58	56	3/8	I(4)
58	56	1/2	I\\
