mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.E.I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
1	1	1/4	1/4	3/4	1	1	I	E	I		I	I						M	0	0	0, 4, 1		0	0
1	1	1/2	1/2	3/4	1	1	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
2	2	0	0	3/4	1	1	I	E	I		I	I						M	0	0	0, 4, 1		0	0
2	2	1/4	1/4	3/4	1	1	vii%7	E	I		vii%7	vii	%	7				%7	0	0	5, 2, -1, 3		5	5
2	2	1/2	1/2	3/4	1	1	I	E	I		I	I						M	0	0	0, 4, 1		0	0
3	3	0	0	3/4	1	1	viio	E	I		viio	vii	o					o	0	0	5, 2, -1		5	5
3	3	1/4	1/4	3/4	1	1	viio6	E	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
3	3	1/2	1/2	3/4	1	1	viio64	E	I		viio64	vii	o	64				o	0	0	-1, 5, 2		5	-1
4	4	0	0	3/4	1	1	I	E	I		I	I						M	0	0	0, 4, 1		0	0
4	4	1/4	1/4	3/4	1	1	viio	E	I		viio	vii	o					o	0	0	5, 2, -1		5	5
4	4	1/2	1/2	3/4	1	1	I	E	I		I	I						M	0	0	0, 4, 1		0	0
5	5	0	0	3/4	1	1	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
5	5	1/4	1/4	3/4	1	1	I	E	I		I	I						M	0	0	0, 4, 1		0	0
5	5	1/2	1/2	3/4	1	1	vi	E	I		vi	vi						m	0	0	3, 0, 4		3	3
6	6	0	0	3/4	1	1	V2/V	E	I		V2/V	V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
6	6	1/4	1/4	3/4	1	1	iii64	E	I		iii64	iii		64				m	0	0	5, 4, 1		4	5
6	6	1/2	1/2	3/4	1	1	V2/V	E	I		V2/V	V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
7	7	0	0	3/4	1	1	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
7	7	1/4	1/4	3/4	1	1	V2/V	E	I		V2/V	V		2		V		Mm7	0	0	0, 2, 6, 3		2	0
7	7	1/2	1/2	3/4	1	1	V7/V	E	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
8	8	0	0	3/4	1	1	V(94)	E	I		V(94)	V			94			M	0	0	1, 0, 2	3	1	1
8	8	1/4	1/4	3/4	1	1	V\\	E	I		V	V					\\	M	0	0	1, 5, 2		1	1
9	9	0	0	3/4	1	1	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
9	9	1/4	1/4	3/4	1	1	V	E	I		V	V						M	0	0	1, 5, 2		1	1
9	9	1/2	1/2	3/4	1	1	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
10	10	0	0	3/4	1	1	V	E	I		V	V						M	0	0	1, 5, 2		1	1
10	10	1/4	1/4	3/4	1	1	vii%7/V	E	I		vii%7/V	vii	%	7		V		%7	0	0	6, 3, 0, 4		6	6
10	10	1/2	1/2	3/4	1	1	V	E	I		V	V						M	0	0	1, 5, 2		1	1
11	11	0	0	3/4	1	1	viio64	E	I		viio64	vii	o	64				o	0	0	-1, 5, 2		5	-1
11	11	1/4	1/4	3/4	1	1	viio6	E	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
11	11	1/2	1/2	3/4	1	1	viio	E	I		viio	vii	o					o	0	0	5, 2, -1		5	5
12	12	0	0	3/4	1	1	#viio7/vi	E	I		#viio7/vi	#vii	o	7		vi		o7	0	0	8, 5, 2, -1		8	8
12	12	1/4	1/4	3/4	1	1	vi	E	I		vi	vi						m	0	0	3, 0, 4		3	3
13	13	1/4	1/4	3/4	1	1	vi64	E	I		vi64	vi		64				m	0	0	4, 3, 0		3	4
13	13	1/2	1/2	3/4	1	1	vi	E	I		vi	vi						m	0	0	3, 0, 4		3	3
14	14	0	0	3/4	1	1	viio6/IV	E	I		viio6/IV	vii	o	6		IV		o	0	0	1, -2, 4		4	1
14	14	1/4	1/4	3/4	1	1	IV	E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
14	14	1/2	1/2	3/4	1	1	V2	E	I		V2	V		2				Mm7	0	0	-1, 1, 5, 2		1	-1
15	15	0	0	3/4	1	1	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
15	15	1/4	1/4	3/4	1	1	viio6	E	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
15	15	1/2	1/2	3/4	1	1	I	E	I		I	I						M	0	0	0, 4, 1		0	0
16	16	0	0	3/4	1	1	V\\	E	I		V	V					\\	M	0	0	1, 5, 2		1	1
17	17	0	0	3/4	1	1	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
17	17	1/4	1/4	3/4	1	1	I	E	I		I	I						M	0	0	0, 4, 1		0	0
17	17	1/2	1/2	3/4	1	1	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
18	18	0	0	3/4	1	1	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
18	18	1/4	1/4	3/4	1	1	IV	E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
18	18	1/2	1/2	3/4	1	1	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
19	19	0	0	3/4	1	1	V	E	I		V	V						M	0	0	1, 5, 2		1	1
19	19	1/4	1/4	3/4	1	1	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
19	19	1/2	1/2	3/4	1	1	V64	E	I		V64	V		64				M	0	0	2, 1, 5		1	2
20	20	0	0	3/4	1	1	V7	E	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
20	20	1/4	1/4	3/4	1	1	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
20	20	1/2	1/2	3/4	1	1	V7	E	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
21	21	0	0	3/4	1	1	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
21	21	1/4	1/4	3/4	1	1	I	E	I		I	I						M	0	0	0, 4, 1		0	0
21	21	1/2	1/2	3/4	1	1	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
22	22	0	0	3/4	1	1	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
22	22	1/4	1/4	3/4	1	1	ii6	E	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
22	22	3/8	3/8	3/4	1	1	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
22	22	1/2	1/2	3/4	1	1	V	E	I		V	V						M	0	0	1, 5, 2		1	1
22	22	5/8	5/8	3/4	1	1	IV	E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
23	23	0	0	3/4	1	1	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
23	23	1/8	1/8	3/4	1	1	IV	E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
23	23	1/4	1/4	3/4	1	1	V(64)	E	I		V(64)	V			64			M	0	0	1, 0, 4		1	1
23	23	1/2	1/2	3/4	1	1	V	E	I		V	V						M	0	0	1, 5, 2		1	1
24	24	0	0	3/4	1	1	I\\	E	I		I	I					\\	M	0	0	0, 4, 1		0	0
