mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	5.0	0	11/8	12/8	2	1	F.I	F	I		I	I							M	0	0	0, 4, 1		0	0
2	1	1/2	0.0	0	0	12/8	2	1	{	F	I									{		0	0				
2	1	5	1.5	9/8	9/8	12/8	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	13/2	1.5	0	0	12/8	2	1	V	F	I		V	V							M	0	0	1, 5, 2		1	1
3	2	8	1.5	3/8	3/8	12/8	2	1	V7	F	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	19/2	1.5	3/4	3/4	12/8	2	1	I	F	I		I	I							M	0	0	0, 4, 1		0	0
3	2	11	1.0	9/8	9/8	12/8	2	1	vii6/V	F	I		vii6/V	vii		6		V			m	0	0	3, 7, 6		6	3
3	2	12	0.5	11/8	11/8	12/8	2	1	V7/V	F	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
4	3	25/2	3.0	0	0	12/8	2	1	I/V	F	I		I/V	I				V			M	0	0	1, 5, 2		1	1
4	3	31/2	1.5	3/4	3/4	12/8	2	1	V/V	F	I		V/V	V				V			M	0	0	2, 6, 3		2	2
4	3	17	1.5	9/8	9/8	12/8	2	1	I/V	F	I		I/V	I				V			M	0	0	1, 5, 2		1	1
5	4	37/2	1.5	0	0	12/8	2	1	vi/V	F	I		vi/V	vi				V			m	0	0	4, 1, 5		4	4
5	4	20	0.5	3/8	3/8	12/8	2	1	V(4)/V	F	I		V(4)/V	V			4	V			M	0	0	2, 1, 3		2	2
5	4	41/2	1.0	1/2	1/2	12/8	2	1	V2/V	F	I		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
5	4	43/2	1.5	3/4	3/4	12/8	2	1	I6/V|EC}{	F	I		I6/V	I		6		V	EC	}{	M	0	0	5, 2, 1		1	5
5	4	23	1.5	9/8	9/8	12/8	2	1	#viio/ii	F	I		#viio/ii	#vii	o			ii			o	0	0	7, 4, 1		7	7
6	5	49/2	1.5	0	0	12/8	2	1	ii(9)	F	I		ii(9)	ii			9				m	0	0	2, -1, 3	4	2	2
6	5	26	1.5	3/8	3/8	12/8	2	1	ii	F	I		ii	ii							m	0	0	2, -1, 3		2	2
