mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	3/4	2	1		d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1	1.0	1/4	1/4	3/4	2	1		V64		d	i		V64	V		64					M	1	1	2, 1, 5		1	2
1	1	2	2	1.0	1/2	1/2	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	3	3	1.0	0	0	3/4	2	1		V2		d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
2	2	4	4	2.0	1/4	1/4	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	6	6	1.0	0	0	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	7	7	1.0	1/4	1/4	3/4	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
3	3	8	8	1.0	1/2	1/2	3/4	2	1		ii%2		d	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
4	4	9	9	1.0	0	0	3/4	2	1		V6}		d	i		V6	V		6				}	M	1	1	5, 2, 1		1	5
4	4	10	10	3.0	1/4	1/4	3/4	2	1		i|IAC		d	i		i	i					IAC		m	1	1	0, -3, 1		0	0
5	5	12	12	0.0	0	0	3/4	2	1		{		d	i									{		1	1				
5	5	13	13	1.0	1/4	1/4	3/4	2	1		#viio6(2)		d	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
5	5	14	14	1.0	1/2	1/2	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	6	15	15	1.0	0	0	3/4	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	6	16	16	1.0	1/4	1/4	3/4	2	1		V2		d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
6	6	17	17	1.0	1/2	1/2	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
7	7	18	18	1.0	0	0	3/4	2	1		iv6(2)		d	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4
7	7	19	19	1.0	1/4	1/4	3/4	2	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
7	7	20	20	1.0	1/2	1/2	3/4	2	1		ii%43		d	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
8	8		21		0	0	3/4	2	1	1	V|HC}		d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
9	8	21	24	6.0	0	0	3/4	2	1	2	V|HC}		d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
10	9	24	27	0.0	0	0	3/4	2	1		{		d	i									{		1	1				
11	10	27	30	1.0	0	0	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
11	10	28	31	2.0	1/4	1/4	3/4	2	1		VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
12	11	30	33	1.0	0	0	3/4	2	1		V65/III		d	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
12	11	31	34	1.0	1/4	1/4	3/4	2	1		III		d	i		III	III							M	1	1	-3, 1, -2		-3	-3
12	11	32	35	1.0	1/2	1/2	3/4	2	1		vi7/III		d	i		vi7/III	vi		7		III			mm7	1	1	0, -3, 1, -2		0	0
13	12	33	36	2.0	0	0	3/4	2	1		V6/III}		d	i		V6/III	V		6		III		}	M	1	1	2, -1, -2		-2	2
13	12	35	38	1.0	1/2	1/2	3/4	2	1		V/III{		d	i		V/III	V				III		{	M	1	1	-2, 2, -1		-2	-2
14	13	36	39	3.0	0	0	3/4	2	1		V6/VI		d	i		V6/VI	V		6		VI			M	1	1	1, -2, -3		-3	1
15	14	39	42	1.0	0	0	3/4	2	1		VI(b4)		d	i		VI(b4)	VI			b4				M	1	1	-4, -5, -3		-4	-4
15	14	40	43	2.0	1/4	1/4	3/4	2	1		VI		d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
16	15	42	45	3.0	0	0	3/4	2	1		V6/VII		d	i		V6/VII	V		6		VII			M	1	1	3, 0, -1		-1	3
17	16	45	48	1.0	0	0	3/4	2	1		V(4)/III		d	i		V(4)/III	V			4	III			M	1	1	-2, -3, -1		-2	-2
17	16	46	49	4.0	1/4	1/4	3/4	2	1		V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
18	17	50	53	0.5	1/2	1/2	3/4	2	1		IV/III		d	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
18	17	101/2	107/2	0.5	5/8	5/8	3/4	2	1		III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
19	18	51	54	1.0	0	0	3/4	2	1		ii/III		d	i		ii/III	ii				III			m	1	1	-1, -4, 0		-1	-1
19	18	52	55	1.0	1/4	1/4	3/4	2	1		V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
19	18	53	56	1.0	1/2	1/2	3/4	2	1		III6		d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
20	19	54	57	1.0	0	0	3/4	2	1		IV/III		d	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
20	19	55	58	1.0	1/4	1/4	3/4	2	1		ii/III		d	i		ii/III	ii				III			m	1	1	-1, -4, 0		-1	-1
20	19	56	59	1.0	1/2	1/2	3/4	2	1		V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
21	20	57	60	4.0	0	0	3/4	2	1		I/III|PAC}		d	i		I/III	I				III	PAC	}	M	1	1	-3, 1, -2		-3	-3
22	21	60	63	0.0	0	0	3/4	2	1		{		d	i									{		1	1				
22	21	61	64	1.0	1/4	1/4	3/4	2	1		V2/VII		d	i		V2/VII	V		2		VII			Mm7	1	1	-3, -1, 3, 0		-1	-3
22	21	62	65	1.0	1/2	1/2	3/4	2	1		VII6		d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
23	22	63	66	1.0	0	0	3/4	2	1		V2/VII		d	i		V2/VII	V		2		VII			Mm7	1	1	-3, -1, 3, 0		-1	-3
23	22	64	67	1.0	1/4	1/4	3/4	2	1		VII6	ii	d	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
23	22	65	68	2.0	1/2	1/2	3/4	2	1		#viio		d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
24	23	67	70	1.0	1/4	1/4	3/4	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
24	23	68	71	1.0	1/2	1/2	3/4	2	1		iv65		d	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
25	24	69	72	1.0	0	0	3/4	2	1		V|HC}		d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
25	24	70	73	1.0	1/4	1/4	3/4	2	1		V(#2)		d	i		V(#2)	V			#2				M	1	1	1, 3, 2		1	1
25	24	71	74	1.0	1/2	1/2	3/4	2	1		V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
26	25	72	75	1.0	0	0	3/4	2	1		i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
26	25	73	76	1.0	1/4	1/4	3/4	2	1		V64		d	i		V64	V		64					M	1	1	2, 1, 5		1	2
26	25	74	77	1.0	1/2	1/2	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
27	26	75	78	1.0	0	0	3/4	2	1		V2		d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
27	26	76	79	2.0	1/4	1/4	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
28	27	78	81	1.0	0	0	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
28	27	79	82	0.5	1/4	1/4	3/4	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
28	27	159/2	165/2	0.5	3/8	3/8	3/4	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
28	27	80	83	1.0	1/2	1/2	3/4	2	1		ii%2		d	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
29	28	81	84	1.0	0	0	3/4	2	1		V6}		d	i		V6	V		6				}	M	1	1	5, 2, 1		1	5
