mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	3/4	2	1		d.i[i6{		d	i	i	i6	i		6				{	m	1	1	-3, 1, 0		0	-3
1	1	1	1	1.0	1/4	1/4	3/4	2	1		iio6		d	i	i	iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
1	1	2	2	1.0	1/2	1/2	3/4	2	1		i64		d	i	i	i64	i		64					m	1	1	1, 0, -3		0	1
2	2	3	3	1.0	0	0	3/4	2	1		iv		d	i	i	iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	4	4	1.0	1/4	1/4	3/4	2	1		#viio6		d	i	i	#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	2	5	5	1.0	1/2	1/2	3/4	2	1		i6]		d	i	i	i6	i		6					m	1	1	-3, 1, 0		0	-3
3	3	6	6	3.0	0	0	3/4	2	1		ii%43		d	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
4	4	9	9	3.0	0	0	3/4	2	1		V|HC}		d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
5	5	12	12	1.0	0	0	3/4	2	1		III[i{		d	i	III	i	i						{	m	1	1	0, -3, 1		0	0
5	5	13	13	1.5	1/4	1/4	3/4	2	1		v6		d	i	III	v6	v		6					m	1	1	-2, 2, 1		1	-2
5	5	29/2	29/2	0.5	5/8	5/8	3/4	2	1		v		d	i	III	v	v							m	1	1	1, -2, 2		1	1
6	6	15	15	1.0	0	0	3/4	2	1		#viio/v]		d	i	III	#viio/v	#vii	o			v			o	1	1	6, 3, 0		6	6
6	6	16	16	1.0	1/4	1/4	3/4	2	1		#vi%2/v		d	i		#vi%2/v	#vi	%	2		v			%7	1	1	2, 4, 1, -2		4	2
6	6	17	17	1.0	1/2	1/2	3/4	2	1		#viio64/v		d	i		#viio64/v	#vii	o	64		v			o	1	1	0, 6, 3		6	0
7	7	18	18	1.0	0	0	3/4	2	1		i6/v		d	i		i6/v	i		6		v			m	1	1	-2, 2, 1		1	-2
