mc	mn	onset	label	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	3/4	.G.I6		G	I		I6	I		6				M	0	0	4, 1, 0		0	4
2	1	0	I		G	I		I	I						M	0	0	0, 4, 1		0	0
2	1	1/2	viio		G	I		viio	vii	o					o	0	0	5, 2, -1		5	5
3	2	0	I		G	I		I	I						M	0	0	0, 4, 1		0	0
3	2	1/2	I6		G	I		I6	I		6				M	0	0	4, 1, 0		0	4
3	2	3/4	I		G	I		I	I						M	0	0	0, 4, 1		0	0
4	3	0	IV64		G	I		IV64	IV		64				M	0	0	0, -1, 3		-1	0
4	3	1/4	ii6		G	I		ii6	ii		6				m	0	0	-1, 3, 2		2	-1
4	3	1/2	V64		G	I		V64	V		64				M	0	0	2, 1, 5		1	2
4	3	3/4	V		G	I		V	V						M	0	0	1, 5, 2		1	1
5	4	0	I		G	I		I	I						M	0	0	0, 4, 1		0	0
5	4	1/4	V		G	I		V	V						M	0	0	1, 5, 2		1	1
5	4	1/2	I6		G	I		I6	I		6				M	0	0	4, 1, 0		0	4
5	4	3/4	I64		G	I		I64	I		64				M	0	0	1, 0, 4		0	1
6	5	0	I		G	I		I	I						M	0	0	0, 4, 1		0	0
6	5	1/2	viio		G	I		viio	vii	o					o	0	0	5, 2, -1		5	5
7	6	0	I		G	I		I	I						M	0	0	0, 4, 1		0	0
7	6	1/2	I6		G	I		I6	I		6				M	0	0	4, 1, 0		0	4
7	6	3/4	I6(119)		G	I		I6(119)	I		6	119			M	0	0	4, 1, 0	-1, 2	0	4
8	7	0	I		G	I		I	I						M	0	0	0, 4, 1		0	0
8	7	1/4	viio/V		G	I		viio/V	vii	o			V		o	0	0	6, 3, 0		6	6
8	7	1/2	V6		G	I		V6	V		6				M	0	0	5, 2, 1		1	5
8	7	3/4	vi6/V		G	I		vi6/V	vi		6		V		m	0	0	1, 5, 4		4	1
9	8	0	ii/V		G	I		ii/V	ii				V		m	0	0	3, 0, 4		3	3
9	8	1/4	V/V		G	I		V/V	V				V		M	0	0	2, 6, 3		2	2
