mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	11/8	3/2	2	1		a.i		a	i		i	i							m	1	1	0, -3, 1		0	0
2	1	1/4	1/4	3/2	2	1		i64		a	i		i64	i		64					m	1	1	1, 0, -3		0	1
2	1	1/2	1/2	3/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
2	1	1	1	3/2	2	1		V65		a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
2	1	5/4	5/4	3/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
3	2	0	0	3/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
3	2	1/2	1/2	3/2	2	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	3/4	3/4	3/2	2	1		i64		a	i		i64	i		64					m	1	1	1, 0, -3		0	1
3	2	1	1	3/2	2	1		V2		a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
3	2	5/4	5/4	3/2	2	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	3/8	3/8	3/2	2	1		V65/iv		a	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
4	3	1/2	1/2	3/2	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	3	3/4	3/4	3/2	2	1		#viio65		a	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
4	3	1	1	3/2	2	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	5/4	5/4	3/2	2	1		iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	4	0	0	3/2	2	1		V(4)		a	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
5	4	1/4	1/4	3/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
5	4	1/2	1/2	3/2	2	1		#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
5	4	1	1	3/2	2	1		i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	0	0	3/2	2	1		#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
6	5	1/2	1/2	3/2	2	1		IV6		a	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
6	5	5/8	5/8	3/2	2	1		V		a	i		V	V							M	1	1	1, 5, 2		1	1
6	5	3/4	3/4	3/2	2	1		i		a	i		i	i							m	1	1	0, -3, 1		0	0
6	5	7/8	7/8	3/2	2	1		VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
6	5	1	1	3/2	2	1		iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
7	6	0	0	3/2	2	1		V/VI		a	i		V/VI	V				VI			M	1	1	-3, 1, -2		-3	-3
7	6	1/2	1/2	3/2	2	1		V2/VI		a	i		V2/VI	V		2		VI			Mm7	1	1	-5, -3, 1, -2		-3	-5
7	6	3/4	3/4	3/2	2	1		VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
7	6	7/8	7/8	3/2	2	1		V/VI		a	i		V/VI	V				VI			M	1	1	-3, 1, -2		-3	-3
7	6	1	1	3/2	2	1		ii6/VI		a	i		ii6/VI	ii		6		VI			m	1	1	-5, -1, -2		-2	-5
7	6	11/8	11/8	3/2	2	1		V/VI		a	i		V/VI	V				VI			M	1	1	-3, 1, -2		-3	-3
8	7	0	0	3/2	2	1		VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
8	7	1/2	1/2	3/2	2	1		VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
