mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/8	1	1	.e.V43	e	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1	2
2	2	0	0	3/8	1	1	i	e	i		i	i						m	1	1	0, -3, 1		0	0
5	5	0	0	3/8	1	1	#viio43/v	e	i		#viio43/v	#vii	o	43		v		o7	1	1	0, -3, 6, 3		6	0
5	5	1/8	1/8	3/8	1	1	i	e	i		i	i						m	1	1	0, -3, 1		0	0
5	5	1/4	1/4	3/8	1	1	#viio6/v	e	i		#viio6/v	#vii	o	6		v		o	1	1	3, 0, 6		6	3
6	6	0	0	3/8	1	1	III6	e	i		III6	III		6				M	1	1	1, -2, -3		-3	1
6	6	1/8	1/8	3/8	1	1	V2/ii	e	i		V2/ii	V		2		ii		Mm7	1	1	1, 3, 7, 4		3	1
6	6	1/4	1/4	3/8	1	1	V65/V	e	i		V65/V	V		65		V		Mm7	1	1	6, 3, 0, 2		2	6
7	7	0	0	3/8	1	1	V	e	i		V	V						M	1	1	1, 5, 2		1	1
7	7	1/8	1/8	3/8	1	1	V2	e	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
7	7	1/4	1/4	3/8	1	1	V65/iv	e	i		V65/iv	V		65		iv		Mm7	1	1	4, 1, -2, 0		0	4
8	8	0	0	3/8	1	1	IV(2)	e	i		IV(2)	IV			2			M	1	1	1, 3, 0		-1	1
8	8	1/8	1/8	3/8	1	1	#viio2/v	e	i		#viio2/v	#vii	o	2		v		o7	1	1	-3, 6, 3, 0		6	-3
8	8	1/4	1/4	3/8	1	1	v64	e	i		v64	v		64				m	1	1	2, 1, -2		1	2
9	9	0	0	3/8	1	1	iv64	e	i		iv64	iv		64				m	1	1	0, -1, -4		-1	0
9	9	1/8	1/8	3/8	1	1	V/III	e	i		V/III	V				III		M	1	1	-2, 2, -1		-2	-2
9	9	1/4	1/4	3/8	1	1	III	e	i		III	III						M	1	1	-3, 1, -2		-3	-3
10	10	0	0	3/8	1	1	i	e	i		i	i						m	1	1	0, -3, 1		0	0
10	10	1/8	1/8	3/8	1	1	#vio	e	i		#vio	#vi	o					o	1	1	3, 0, -3		3	3
10	10	1/4	1/4	3/8	1	1	ii%2	e	i		ii%2	ii	%	2				%7	1	1	0, 2, -1, -4		2	0
11	11	0	0	3/8	1	1	#viio	e	i		#viio	#vii	o					o	1	1	5, 2, -1		5	5
11	11	1/8	1/8	3/8	1	1	V	e	i		V	V						M	1	1	1, 5, 2		1	1
11	11	1/4	1/4	3/8	1	1	i2	e	i		i2	i		2				mm7	1	1	-2, 0, -3, 1		0	-2
12	12	0	0	3/8	1	1	VIM7	e	i		VIM7	VI	M	7				MM7	1	1	-4, 0, -3, 1		-4	-4
12	12	1/8	1/8	3/8	1	1	V	e	i		V	V						M	1	1	1, 5, 2		1	1
12	12	1/4	1/4	3/8	1	1	ii%65	e	i		ii%65	ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
13	13	0	0	3/8	1	1	V	e	i		V	V						M	1	1	1, 5, 2		1	1
13	13	1/8	1/8	3/8	1	1	IV	e	i		IV	IV						M	1	1	-1, 3, 0		-1	-1
13	13	1/4	1/4	3/8	1	1	#viio6	e	i		#viio6	#vii	o	6				o	1	1	2, -1, 5		5	2
14	14	0	0	3/8	1	1	VI6	e	i		VI6	VI		6				M	1	1	0, -3, -4		-4	0
14	14	1/8	1/8	3/8	1	1	V2/V	e	i		V2/V	V		2		V		Mm7	1	1	0, 2, 6, 3		2	0
14	14	1/4	1/4	3/8	1	1	V65	e	i		V65	V		65				Mm7	1	1	5, 2, -1, 1		1	5
15	15	0	0	3/8	1	1	V(b9)/iv	e	i		V(b9)/iv	V			b9	iv		M	1	1	0, 4, 1	-12	0	0
15	15	1/8	1/8	3/8	1	1	V2/iv	e	i		V2/iv	V		2		iv		Mm7	1	1	-2, 0, 4, 1		0	-2
