quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1/2	1.0	1	1	1/8	1/8	3/8	2	1	g.V	g	i		V	V							M	1	1	1, 5, 2		1	1
3/2	0.5	2	2	0	0	3/8	2	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	1.0	2	2	1/8	1/8	3/8	2	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
3	0.5	3	3	0	0	3/8	2	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
7/2	1.0	3	3	1/8	1/8	3/8	2	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
9/2	0.5	4	4	0	0	3/8	2	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	1.0	4	4	1/8	1/8	3/8	2	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
6	0.5	5	5	0	0	3/8	2	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
13/2	1.0	5	5	1/8	1/8	3/8	2	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
15/2	0.5	6	6	0	0	3/8	2	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
8	1.0	6	6	1/8	1/8	3/8	2	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
9	1.5	7	7	0	0	3/8	2	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
21/2	0.5	8	8	0	0	3/8	2	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
11	0.5	8	8	1/8	1/8	3/8	2	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
23/2	0.5	8	8	1/4	1/4	3/8	2	1	i64	g	i		i64	i		64					m	1	1	1, 0, -3		0	1
12	1.5	9	9	0	0	3/8	2	1	iv7	g	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
27/2	1.0	10	10	0	0	3/8	2	1	VII	g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
29/2	0.5	10	10	1/4	1/4	3/8	2	1	VII64	g	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
15	1.5	11	11	0	0	3/8	2	1	IIIM7	g	i		IIIM7	III	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3
33/2	1.0	12	12	0	0	3/8	2	1	VI	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
35/2	0.5	12	12	1/4	1/4	3/8	2	1	VI64	g	i		VI64	VI		64					M	1	1	-3, -4, 0		-4	-3
18	1.5	13	13	0	0	3/8	2	1	ii%7	g	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
39/2	1.0	14	14	0	0	3/8	2	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
41/2	0.5	14	14	1/4	1/4	3/8	2	1	V64	g	i		V64	V		64					M	1	1	2, 1, 5		1	2
21	1.0	15	15	0	0	3/8	2	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
22	0.5	15	15	1/4	1/4	3/8	2	1	i64	g	i		i64	i		64					m	1	1	1, 0, -3		0	1
45/2	1.5	16	16	0	0	3/8	2	1	iv7	g	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
24	1.5	17	17	0	0	3/8	2	1	VII	g	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
51/2	1.5	18	18	0	0	3/8	2	1	IIIM7	g	i		IIIM7	III	M	7					MM7	1	1	-3, 1, -2, 2		-3	-3
27	1.5	19	19	0	0	3/8	2	1	VI	g	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
57/2	1.5	20	20	0	0	3/8	2	1	ii%7	g	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
30	1.0	21	21	0	0	3/8	2	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
31	0.5	21	21	1/4	1/4	3/8	2	1	#viio6	g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
63/2	1.0	22	22	0	0	3/8	2	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
65/2	0.5	22	22	1/4	1/4	3/8	2	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
33	1.0	23	23	0	0	3/8	2	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
34	0.5	23	23	1/4	1/4	3/8	2	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
69/2	0.5	24	24	0	0	3/8	2	1	V65/IV	g	i		V65/IV	V		65		IV			Mm7	1	1	4, 1, -2, 0		0	4
35	0.5	24	24	1/8	1/8	3/8	2	1	V7/IV	g	i		V7/IV	V		7		IV			Mm7	1	1	0, 4, 1, -2		0	0
71/2	0.5	24	24	1/4	1/4	3/8	2	1	V43/IV	g	i		V43/IV	V		43		IV			Mm7	1	1	1, -2, 0, 4		0	1
36	0.5	25	25	0	0	3/8	2	1	IV(974)	g	i		IV(974)	IV			974				M	1	1	-1, -2, 0	1, -3	-1	-1
73/2	0.5	25	25	1/8	1/8	3/8	2	1	IV64	g	i		IV64	IV		64					M	1	1	0, -1, 3		-1	0
37	0.5	25	25	1/4	1/4	3/8	2	1	IV6	g	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
75/2	0.5	26	26	0	0	3/8	2	1	V65/V	g	i		V65/V	V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
38	0.5	26	26	1/8	1/8	3/8	2	1	V7/V	g	i		V7/V	V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
77/2	0.5	26	26	1/4	1/4	3/8	2	1	V43/V	g	i		V43/V	V		43		V			Mm7	1	1	3, 0, 2, 6		2	3
39	0.5	27	27	0	0	3/8	2	1	V(974)	g	i		V(974)	V			974				M	1	1	1, 0, 2	-4, -1	1	1
79/2	0.5	27	27	1/8	1/8	3/8	2	1	V2	g	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
40	0.5	27	27	1/4	1/4	3/8	2	1	V64	g	i		V64	V		64					M	1	1	2, 1, 5		1	2
81/2	0.5	28	28	0	0	3/8	2	1	V65	g	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
41	0.5	28	28	1/8	1/8	3/8	2	1	V7	g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
83/2	0.5	28	28	1/4	1/4	3/8	2	1	V43	g	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
42	0.5	29	29	0	0	3/8	2	1	i(94)	g	i		i(94)	i			94				m	1	1	0, -1, 1	2	0	0
85/2	0.5	29	29	1/8	1/8	3/8	2	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
43	0.5	29	29	1/4	1/4	3/8	2	1	i7	g	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
87/2	0.5	30	30	0	0	3/8	2	1	iv	g	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
44	0.5	30	30	1/8	1/8	3/8	2	1	V(64)	g	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
89/2	0.5	30	30	1/4	1/4	3/8	2	1	ii%65	g	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
45	1.0	31	31	0	0	3/8	2	1	V7	g	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
46	0.5	31	31	1/4	1/4	3/8	2	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
93/2	0.25	32	32	0	0	3/8	2	1	iv7	g	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
187/4	0.25	32	32	1/16	1/16	3/8	2	1	ii%65	g	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
47	1.0	32	32	1/8	1/8	3/8	2	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
48	1.5	33	33	0	0	3/8	2	1	i\\	g	i		i	i						\\	m	1	1	0, -3, 1		0	0
99/2	0.5	34	34	0	0	3/8	2	1	i64	g	i		i64	i		64					m	1	1	1, 0, -3		0	1
50	0.5	34	34	1/8	1/8	3/8	2	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
101/2	0.5	34	34	1/4	1/4	3/8	2	1	#viio64/v	g	i		#viio64/v	#vii	o	64		v			o	1	1	0, 6, 3		6	0
51	1.5	35	35	0	0	3/8	2	1	v	g	i		v	v							m	1	1	1, -2, 2		1	1
105/2	0.5	36	36	0	0	3/8	2	1	v64	g	i		v64	v		64					m	1	1	2, 1, -2		1	2
53	0.5	36	36	1/8	1/8	3/8	2	1	v	g	i		v	v							m	1	1	1, -2, 2		1	1
107/2	0.5	36	36	1/4	1/4	3/8	2	1	#viio64/ii	g	i		#viio64/ii	#vii	o	64		ii			o	1	1	1, 7, 4		7	1
54	0.5	37	37	0	0	3/8	2	1	ii(94)	g	i		ii(94)	ii			94				m	1	1	2, 1, 3	-3	2	2
109/2	0.5	37	37	1/8	1/8	3/8	2	1	ii	g	i		ii	ii							m	1	1	2, -1, 3		2	2
55	0.5	37	37	1/4	1/4	3/8	2	1	VII6	g	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
111/2	0.5	38	38	0	0	3/8	2	1	i(2)	g	i		i(2)	i			2				m	1	1	2, -3, 1		0	2
56	0.5	38	38	1/8	1/8	3/8	2	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
113/2	0.5	38	38	1/4	1/4	3/8	2	1	VI6	g	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
57	0.5	39	39	0	0	3/8	2	1	VII(2)	g	i		VII(2)	VII			2				M	1	1	0, 2, -1		-2	0
115/2	1.0	39	39	1/8	1/8	3/8	2	1	v6	g	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
117/2	0.5	40	40	0	0	3/8	2	1	#viio64/iv	g	i		#viio64/iv	#vii	o	64		iv			o	1	1	-2, 4, 1		4	-2
59	0.5	40	40	1/8	1/8	3/8	2	1	iv6	g	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
