mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	chord_tones	added_tones	root	bass_note
2	1	3	1.0	1/4	1/4	2/2	2	1		V2/IV				V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2
2	1	4	1.0	1/2	1/2	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
2	1	5	1.0	3/4	3/4	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1
3	2	6	3.0	0	0	2/2	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1
3	2	9	1.0	3/4	3/4	2/2	2	1		ii				ii	ii								m	2, -1, 3		2	2
4	3	10	1.0	0	0	2/2	2	1		viio				viio	vii	o							o	-2, -5, -8		-2	-2
4	3	11	1.0	1/4	1/4	2/2	2	1		ii64				ii64	ii		64						m	3, 2, -1		2	3
4	3	12	1.0	1/2	1/2	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1
4	3	13	1.0	3/4	3/4	2/2	2	1		viio64				viio64	vii	o	64						o	-8, -2, -5		-2	-8
5	4	14	2.0	0	0	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4
5	4	16	2.0	1/2	1/2	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1
6	5	18	1.0	0	0	2/2	2	1		I				I	I								M	0, 4, 1		0	0
6	5	19	1.0	1/4	1/4	2/2	2	1		V2/IV				V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2
6	5	20	1.0	1/2	1/2	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
6	5	21	1.0	3/4	3/4	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1
7	6	22	1.0	0	0	2/2	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1
7	6	23	1.0	1/4	1/4	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4
7	6	24	1.0	1/2	1/2	2/2	2	1		viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
7	6	25	1.0	3/4	3/4	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4
8	7	26	1.0	0	0	2/2	2	1		viio64				viio64	vii	o	64						o	-8, -2, -5		-2	-8
8	7	27	1.0	1/4	1/4	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4
8	7	28	2.0	1/2	1/2	2/2	2	1		viio6				viio6	vii	o	6						o	-5, -8, -2		-2	-5
9	8			0	0	2/2	2	1	1	I6}				I6	I		6					}	M	4, 1, 0		0	4
10	8	30	4.0	0	0	2/2	2	1	2	I6}				I6	I		6					}	M	4, 1, 0		0	4
11	8	32	0.0	0	1/2	2/2	2	1		{												{					
12	9	34	2.0	0	0	2/2	2	1		I				I	I								M	0, 4, 1		0	0
12	9	36	1.0	1/2	1/2	2/2	2	1		IV				IV	IV								M	-1, 3, 0		-1	-1
12	9	37	1.0	3/4	3/4	2/2	2	1		V64/IV				V64/IV	V		64		IV				M	1, 0, 4		0	1
13	10	38	1.0	0	0	2/2	2	1		I6/IV				I6/IV	I		6		IV				M	3, 0, -1		-1	3
13	10	39	1.0	1/4	1/4	2/2	2	1		V2/IV				V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2
13	10	40	1.0	1/2	1/2	2/2	2	1		I6/IV				I6/IV	I		6		IV				M	3, 0, -1		-1	3
13	10	41	1.0	3/4	3/4	2/2	2	1		V64/IV				V64/IV	V		64		IV				M	1, 0, 4		0	1
14	11	42	1.0	0	0	2/2	2	1		I/IV				I/IV	I				IV				M	-1, 3, 0		-1	-1
14	11	43	1.0	1/4	1/4	2/2	2	1		V43/IV				V43/IV	V		43		IV				Mm7	1, -2, 0, 4		0	1
14	11	44	1.0	1/2	1/2	2/2	2	1		I6/IV				I6/IV	I		6		IV				M	3, 0, -1		-1	3
14	11	45	1.0	3/4	3/4	2/2	2	1		V2/IV				V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2
15	12	46	2.0	0	0	2/2	2	1		I6/IV				I6/IV	I		6		IV				M	3, 0, -1		-1	3
15	12	48	3.0	1/2	1/2	2/2	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1
16	13	51	1.0	1/4	1/4	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1
16	13	52	1.0	1/2	1/2	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
16	13	53	1.0	3/4	3/4	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1
17	14	54	1.0	0	0	2/2	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1
17	14	55	1.0	1/4	1/4	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
17	14	56	1.0	1/2	1/2	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1
17	14	57	1.0	3/4	3/4	2/2	2	1		IV				IV	IV								M	-1, 3, 0		-1	-1
18	15	58	1.0	0	0	2/2	2	1		I6				I6	I		6						M	4, 1, 0		0	4
18	15	59	1.0	1/4	1/4	2/2	2	1		ii6				ii6	ii		6						m	-1, 3, 2		2	-1
18	15	60	1.0	1/2	1/2	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1
18	15	61	1.0	3/4	3/4	2/2	2	1		vi7				vi7	vi		7						mm7	-4, -7, -3, -6		-4	-4
19	16	62	2.0	0	0	2/2	2	1		viio				viio	vii	o							o	-2, -5, -8		-2	-2
19	16	64	3.0	1/2	1/2	2/2	2	1		I				I	I								M	0, 4, 1		0	0
20	17	67	1.0	1/4	1/4	2/2	2	1		V2/IV				V2/IV	V		2		IV				Mm7	-2, 0, 4, 1		0	-2
20	17	68	1.0	1/2	1/2	2/2	2	1		IV6				IV6	IV		6						M	3, 0, -1		-1	3
20	17	69	1.0	3/4	3/4	2/2	2	1		I64				I64	I		64						M	1, 0, 4		0	1
