mc	mn	onset	label	volta
1	1	0	.c.i	
1	1	3/8	v6	
1	1	1/2	iv6(2)	
1	1	3/4	iv6	
1	1	7/8	iv	
1	1	15/16	i6	
2	2	0	iv	
2	2	1/4	iv6	
2	2	3/8	ii%65	
2	2	1/2	V	
2	2	3/4	#viio	
2	2	7/8	V7	
3	3	0	i	
3	3	1/4	III	
3	3	1/2	ii/III	
3	3	5/8	ii6/III	
3	3	3/4	V/III	
3	3	7/8	V6/III	
4	4	0	III(94)	1
4	4	1/8	IVM7/III	1
4	4	1/4	V(64)/III	1
4	4	3/8	V/III	1
4	4	1/2	III\\	1
4	4	3/4	V(6)	1
5	4	0	III(94)	2
5	4	1/8	IVM7/III	2
5	4	1/4	V(64)/III	2
5	4	3/8	V/III	2
5	4	1/2	III\\	2
6	5	1/4	III6	
6	5	3/8	III	
6	5	1/2	V/VII	
6	5	5/8	viio/VII	
6	5	3/4	V65/VII	
7	6	0	VII6	
7	6	1/8	IV/VII	
7	6	1/4	V/VII	
7	6	3/8	V7/VII	
7	6	1/2	VII	
7	6	3/4	v	
7	6	7/8	VI/v	
8	7	0	iv7/v	
8	7	1/4	iv65/v	
8	7	3/8	ii%65/v	
8	7	1/2	V/v	
8	7	3/4	V6/v	
8	7	7/8	V7/v	
9	8	0	v	
9	8	1/8	iio6/v	
9	8	1/4	V/v	
9	8	1/2	v	
9	8	3/4	V6	
10	9	0	V/iv	
10	9	3/8	V7/iv	
10	9	1/2	iv	
10	9	3/4	IV/III	
11	10	0	V/III	
11	10	3/8	V7/III	
11	10	1/2	III	
11	10	5/8	i6(#7)	
11	10	3/4	V	
12	11	0	VIM7	
12	11	1/8	i64	
12	11	1/4	iio64	
12	11	3/8	iv7	
12	11	1/2	V7	
12	11	5/8	#viio64	
12	11	3/4	i64	
12	11	7/8	IIIM7	
13	12	0	iv7	
13	12	1/8	VI64	
13	12	1/4	#viio64	
13	12	3/8	ii%7	
13	12	1/2	V7(4)	
13	12	5/8	#viio64	
13	12	3/4	i6(#7)	
13	12	7/8	iio	
14	13	0	i	
14	13	1/4	i6	
14	13	3/8	V(64)	
14	13	1/2	V	
14	13	5/8	iio64	
14	13	3/4	V	
15	14	0	VI	
15	14	3/16	V	
15	14	1/4	iv7	
15	14	7/16	VI6	
15	14	1/2	V6	
15	14	3/4	V43	
16	15	0	#viio/iv	
16	15	1/8	V2/VII	
16	15	1/4	VII6(7)	
16	15	3/8	#viio	
16	15	5/8	i2	
16	15	3/4	VI	
16	15	13/16	i64	
16	15	7/8	iv	
16	15	15/16	i6	
17	16	0	iio	
17	16	1/8	i	
17	16	1/4	V(64)	
17	16	3/8	V	
17	16	1/2	i\\	
