mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	2.25	0	15/16	4/4	2	1		e.i		e	i		i	i							m	1	1	0, -3, 1		0	0
2	1	1/4	1/4	0.0	0	0	4/4	2	1		{		e	i									{		1	1				
2	1	9/4	9/4	0.5	1/2	1/2	4/4	2	1		ii%65		e	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
2	1	11/4	11/4	0.5	5/8	5/8	4/4	2	1		#viio6		e	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
2	1	13/4	13/4	1.0	3/4	3/4	4/4	2	1		V7		e	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
3	2	17/4	17/4	2.0	0	0	4/4	2	1		i		e	i		i	i							m	1	1	0, -3, 1		0	0
3	2	25/4	25/4	0.5	1/2	1/2	4/4	2	1		ii%7		e	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
3	2	27/4	27/4	0.5	5/8	5/8	4/4	2	1		V6		e	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	2	29/4	29/4	1.0	3/4	3/4	4/4	2	1		#viio6		e	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
4	3	33/4	33/4	0.5	0	0	4/4	2	1		i6}{		e	i		i6	i		6				}{	m	1	1	-3, 1, 0		0	-3
4	3	35/4	35/4	0.5	1/8	1/8	4/4	2	1		VI6		e	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
4	3	37/4	37/4	0.5	1/4	1/4	4/4	2	1		IV65/iv		e	i		IV65/iv	IV		65		iv			Mm7	1	1	2, -1, -4, -2		-2	2
4	3	39/4	39/4	0.5	3/8	3/8	4/4	2	1		#viio/iv		e	i		#viio/iv	#vii	o			iv			o	1	1	4, 1, -2		4	4
4	3	41/4	41/4	1.0	1/2	1/2	4/4	2	1		iv		e	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	3	45/4	45/4	0.5	3/4	3/4	4/4	2	1		V65		e	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
