mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.5	0	0	12/8	2	1	A.I{		A	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	3/2	1.5	3/8	3/8	12/8	2	1	V7		A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
1	1	3	1.5	3/4	3/4	12/8	2	1	I		A	I		I	I							M	0	0	0, 4, 1		0	0
1	1	9/2	1.5	9/8	9/8	12/8	2	1	V7		A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
2	2	6	1.5	0	0	12/8	2	1	I		A	I		I	I							M	0	0	0, 4, 1		0	0
2	2	15/2	1.5	3/8	3/8	12/8	2	1	V		A	I		V	V							M	0	0	1, 5, 2		1	1
2	2	9	1.5	3/4	3/4	12/8	2	1	I		A	I		I	I							M	0	0	0, 4, 1		0	0
2	2	21/2	1.5	9/8	9/8	12/8	2	1	I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	12	5.5	0	0	12/8	2	1	I}{		A	I		I	I						}{	M	0	0	0, 4, 1		0	0
3	3	35/2	0.5	11/8	11/8	12/8	2	1	IV		A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	18	2.5	0	0	12/8	2	1	I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	4	41/2	0.5	5/8	5/8	12/8	2	1	IV		A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	4	21	2.5	3/4	3/4	12/8	2	1	V		A	I		V	V							M	0	0	1, 5, 2		1	1
4	4	47/2	0.5	11/8	11/8	12/8	2	1	I		A	I		I	I							M	0	0	0, 4, 1		0	0
5	5	24	2.5	0	0	12/8	2	1	V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
5	5	53/2	0.5	5/8	5/8	12/8	2	1	V		A	I		V	V							M	0	0	1, 5, 2		1	1
5	5	27	2.5	3/4	3/4	12/8	2	1	I}{		A	I		I	I						}{	M	0	0	0, 4, 1		0	0
