mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.g.i[i	g	i	i	i	i						m	1	1	0, -3, 1		0	0
1	1	1/4	1/4	3/4	1	1	iio64	g	i	i	iio64	ii	o	64				o	1	1	-4, 2, -1		2	-4
2	2	1/4	1/4	3/4	1	1	ii%43	g	i	i	ii%43	ii	%	43				%7	1	1	-4, 0, 2, -1		2	-4
2	2	1/2	1/2	3/4	1	1	#viio2	g	i	i	#viio2	#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
3	3	0	0	3/4	1	1	iio64	g	i	i	iio64	ii	o	64				o	1	1	-4, 2, -1		2	-4
3	3	1/4	1/4	3/4	1	1	#viio43	g	i	i	#viio43	#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
3	3	1/2	1/2	3/4	1	1	V2	g	i	i	V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
4	4	0	0	3/4	1	1	i	g	i	i	i	i						m	1	1	0, -3, 1		0	0
5	5	1/4	1/4	3/4	1	1	V7/iv	g	i	i	V7/iv	V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
6	6	0	0	3/4	1	1	IV	g	i	i	IV	IV						M	1	1	-1, 3, 0		-1	-1
6	6	1/8	1/8	3/4	1	1	V7(+4)	g	i	i	V7(+4)	V		7	+4			Mm7	1	1	1, 5, 2, -1	0	1	1
6	6	1/4	1/4	3/4	1	1	ii%43	g	i	i	ii%43	ii	%	43				%7	1	1	-4, 0, 2, -1		2	-4
7	7	0	0	3/4	1	1	#viio2	g	i	i	#viio2	#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
7	7	1/4	1/4	3/4	1	1	viio43/V]	g	i	i	viio43/V	vii	o	43		V		o7	1	1	0, -3, 6, 3		6	0
8	8	0	0	3/4	1	1	V	g	i		V	V						M	1	1	1, 5, 2		1	1
8	8	1/8	1/8	3/4	1	1	V(#9#7)	g	i		V(#9#7)	V			#9#7			M	1	1	1, 5, 2	3, 6	1	1
8	8	1/4	1/4	3/4	1	1	V\\	g	i		V	V					\\	M	1	1	1, 5, 2		1	1
9	9	0	0	3/4	1	1	III6	g	i		III6	III		6				M	1	1	1, -2, -3		-3	1
