mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	3.5	0	1/2	4/4	2	1		Eb.I{	Eb	I		I	I						{	M	0	0	0, 4, 1		0	0
2	1	7/2	7/2	0.5	3/8	3/8	4/4	2	1		viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
2	1	4	4	1.0	1/2	1/2	4/4	2	1		I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
2	1	5	5	1.0	3/4	3/4	4/4	2	1		V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	2	6	6	1.5	0	0	4/4	2	1		I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
3	2	15/2	15/2	0.5	3/8	3/8	4/4	2	1		V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
3	2	8	8	1.0	1/2	1/2	4/4	2	1		vi6	Eb	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
3	2	9	9	1.0	3/4	3/4	4/4	2	1		vi	Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
4	3	10	10	2.0	0	0	4/4	2	1		V.V	Eb	V		V	V							M	0	0	1, 5, 2		1	1
4	3	12	12	2.0	1/2	1/2	4/4	2	1		iii	Eb	V		iii	iii							m	0	0	4, 1, 5		4	4
5	4	14	14	2.0	0	0	4/4	2	1		vi	Eb	V		vi	vi							m	0	0	3, 0, 4		3	3
5	4	16	16	2.0	1/2	1/2	4/4	2	1		IV	Eb	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
6	5	18	18	1.0	0	0	4/4	2	1		ii7	Eb	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
6	5	19	19	1.0	1/4	1/4	4/4	2	1		V6	Eb	V		V6	V		6					M	0	0	5, 2, 1		1	5
6	5	20	20	0.5	1/2	1/2	4/4	2	1		I6	Eb	V		I6	I		6					M	0	0	4, 1, 0		0	4
6	5	41/2	41/2	1.0	5/8	5/8	4/4	2	1		I	Eb	V		I	I							M	0	0	0, 4, 1		0	0
6	5	43/2	43/2	0.5	7/8	7/8	4/4	2	1		V	Eb	V		V	V							M	0	0	1, 5, 2		1	1
7	6		22		0	0	4/4	2	1	1	I|PAC}	Eb	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
8	6	22	24	4.0	0	0	4/4	2	1	2	I|PAC}	Eb	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
9	6	24	26	0.0	0	1/2	4/4	2	1		{	Eb	V									{		0	0				
10	7	26	28	1.0	0	0	4/4	2	1		vi.i	Eb	vi		i	i							m	0	1	0, -3, 1		0	0
10	7	27	29	1.0	1/4	1/4	4/4	2	1		V7	Eb	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
10	7	28	30	0.5	1/2	1/2	4/4	2	1		i	Eb	vi		i	i							m	0	1	0, -3, 1		0	0
