mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	9/8	1	1	.d.i[i	d	i	i	i	i						m	1	1	0, -3, 1		0	0
1	1	3/4	3/4	9/8	1	1	#viio65	d	i	i	#viio65	#vii	o	65				o7	1	1	2, -1, -4, 5		5	2
2	2	0	0	9/8	1	1	i	d	i	i	i	i						m	1	1	0, -3, 1		0	0
2	2	3/4	3/4	9/8	1	1	ii%65	d	i	i	ii%65	ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
2	2	1	1	9/8	1	1	#viio43	d	i	i	#viio43	#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
3	3	0	0	9/8	1	1	i	d	i	i	i	i						m	1	1	0, -3, 1		0	0
3	3	1/4	1/4	9/8	1	1	i7	d	i	i	i7	i		7				mm7	1	1	0, -3, 1, -2		0	0
3	3	3/8	3/8	9/8	1	1	V7/iv	d	i	i	V7/iv	V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
4	4	0	0	9/8	1	1	iv6(#742)	d	i	i	iv6(#742)	iv		6	#742			m	1	1	-2, 0, 4, 1		-1	-2
4	4	3/4	3/4	9/8	1	1	iv6	d	i	i	iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
5	5	0	0	9/8	1	1	ii%65	d	i	i	ii%65	ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
5	5	3/8	3/8	9/8	1	1	#viio6	d	i	i	#viio6	#vii	o	6				o	1	1	2, -1, 5		5	2
5	5	3/4	3/4	9/8	1	1	#viio65	d	i	i	#viio65	#vii	o	65				o7	1	1	2, -1, -4, 5		5	2
6	6	0	0	9/8	1	1	i]\\	d	i	i	i	i					\\	m	1	1	0, -3, 1		0	0
6	6	3/4	3/4	9/8	1	1	v.i6(+6)	d	v		i6(+6)	i		6	+6			m	1	1	-3, 1, 0	-4	0	-3
7	7	0	0	9/8	1	1	ii%7	d	v		ii%7	ii	%	7				%7	1	1	2, -1, -4, 0		2	2
7	7	3/4	3/4	9/8	1	1	#viio7	d	v		#viio7	#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
9	9	0	0	9/8	1	1	i(116)	d	v		i(116)	i			116			m	1	1	0, -3, -4	-1	0	0
9	9	3/8	3/8	9/8	1	1	i	d	v		i	i						m	1	1	0, -3, 1		0	0
10	10	0	0	9/8	1	1	ii%2	d	v		ii%2	ii	%	2				%7	1	1	0, 2, -1, -4		2	0
10	10	3/8	3/8	9/8	1	1	#viio7	d	v		#viio7	#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
10	10	3/4	3/4	9/8	1	1	V7	d	v		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
11	11	0	0	9/8	1	1	i\\	d	v		i	i					\\	m	1	1	0, -3, 1		0	0
11	11	3/4	3/4	9/8	1	1	V6/VI	d	v		V6/VI	V		6		VI		M	1	1	1, -2, -3		-3	1
12	12	0	0	9/8	1	1	VI	d	v		VI	VI						M	1	1	-4, 0, -3		-4	-4
12	12	3/8	3/8	9/8	1	1	VIM7	d	v		VIM7	VI	M	7				MM7	1	1	-4, 0, -3, 1		-4	-4
12	12	3/4	3/4	9/8	1	1	iio64	d	v		iio64	ii	o	64				o	1	1	-4, 2, -1		2	-4
13	13	0	0	9/8	1	1	V7	d	v		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
14	14	0	0	9/8	1	1	V(13)	d	v		V(13)	V			13			M	1	1	1, 5, 2	-3	1	1
14	14	3/8	3/8	9/8	1	1	V(64)	d	v		V(64)	V			64			M	1	1	1, 0, -3		1	1
14	14	1	1	9/8	1	1	V7	d	v		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
15	15	0	0	9/8	1	1	i[i(94)	d	v	i	i(94)	i			94			m	1	1	0, -1, 1	2	0	0
15	15	3/8	3/8	9/8	1	1	i\\	d	v	i	i	i					\\	m	1	1	0, -3, 1		0	0
19	19	3/4	3/4	9/8	1	1	#viio65	d	v	i	#viio65	#vii	o	65				o7	1	1	2, -1, -4, 5		5	2
20	20	0	0	9/8	1	1	i	d	v	i	i	i						m	1	1	0, -3, 1		0	0
20	20	3/4	3/4	9/8	1	1	ii%65	d	v	i	ii%65	ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
20	20	1	1	9/8	1	1	#viio43	d	v	i	#viio43	#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
21	21	0	0	9/8	1	1	i	d	v	i	i	i						m	1	1	0, -3, 1		0	0
21	21	1/4	1/4	9/8	1	1	i7	d	v	i	i7	i		7				mm7	1	1	0, -3, 1, -2		0	0
21	21	3/8	3/8	9/8	1	1	V7/iv	d	v	i	V7/iv	V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
22	22	0	0	9/8	1	1	iv6(#742)	d	v	i	iv6(#742)	iv		6	#742			m	1	1	-2, 0, 4, 1		-1	-2
22	22	3/4	3/4	9/8	1	1	iv6	d	v	i	iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
23	23	0	0	9/8	1	1	.bIIM65	d	v	i	bIIM65	bII	M	65				MM7	1	1	-1, -4, 0, -5		-5	-1
23	23	3/8	3/8	9/8	1	1	#viio6	d	v	i	#viio6	#vii	o	6				o	1	1	2, -1, 5		5	2
23	23	3/4	3/4	9/8	1	1	#viio65	d	v	i	#viio65	#vii	o	65				o7	1	1	2, -1, -4, 5		5	2
24	24	0	0	9/8	1	1	i]\\	d	v	i	i	i					\\	m	1	1	0, -3, 1		0	0
24	24	3/4	3/4	9/8	1	1	i.iio/iv	d	i		iio/iv	ii	o			iv		o	1	1	1, -2, -5		1	1
25	25	0	0	9/8	1	1	V65/iv	d	i		V65/iv	V		65		iv		Mm7	1	1	4, 1, -2, 0		0	4
