quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	5.25	1	0	0	15/16	4/4	2	1	F.I{	F	I		I	I						{	M	0	0	0, 4, 1		0	0
21/4	1.0	3	2	1/4	1/4	4/4	2	1	vi	F	I		vi	vi							m	0	0	3, 0, 4		3	3
25/4	1.0	3	2	1/2	1/2	4/4	2	1	ii65	F	I		ii65	ii		65					mm7	0	0	-1, 3, 0, 2		2	-1
29/4	1.0	3	2	3/4	3/4	4/4	2	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
33/4	2.0	4	3	0	0	4/4	2	1	I|IAC}{	F	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
41/4	0.5	4	3	1/2	1/2	4/4	2	1	viio6(2)	F	I		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
43/4	1.5	4	3	5/8	5/8	4/4	2	1	viio6	F	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
49/4	0.5	5	4	0	0	4/4	2	1	I6(11)	F	I		I6(11)	I		6	11				M	0	0	4, 1, 0	-1	0	4
51/4	1.5	5	4	1/8	1/8	4/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
57/4	0.5	5	4	1/2	1/2	4/4	2	1	IV(9)	F	I		IV(9)	IV			9				M	0	0	-1, 3, 0	1	-1	-1
59/4	1.5	5	4	5/8	5/8	4/4	2	1	IV	F	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
65/4	2.0	6	5	0	0	4/4	2	1	V2	F	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
73/4	1.0	6	5	1/2	1/2	4/4	2	1	I6	F	I		I6	I		6					M	0	0	4, 1, 0		0	4
77/4	1.0	6	5	3/4	3/4	4/4	2	1	V43	F	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
81/4	1.0	7	6	0	0	4/4	2	1	I|IAC}{	F	I		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
85/4	1.0	7	6	1/4	1/4	4/4	2	1	V.ii	F	V		ii	ii							m	0	0	2, -1, 3		2	2
89/4	1.0	7	6	1/2	1/2	4/4	2	1	viio	F	V		viio	vii	o						o	0	0	5, 2, -1		5	5
93/4	1.0	7	6	3/4	3/4	4/4	2	1	V7	F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
97/4	1.0	8	7	0	0	4/4	2	1	I|IAC}{	F	V		I	I					IAC	}{	M	0	0	0, 4, 1		0	0
101/4	1.0	8	7	1/4	1/4	4/4	2	1	vi	F	V		vi	vi							m	0	0	3, 0, 4		3	3
105/4	1.0	8	7	1/2	1/2	4/4	2	1	IV	F	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
109/4	1.0	8	7	3/4	3/4	4/4	2	1	ii7	F	V		ii7	ii		7					mm7	0	0	2, -1, 3, 0		2	2
113/4	0.5	9	8	0	0	4/4	2	1	viio(9)	F	V		viio(9)	vii	o		9				o	0	0	5, 2, -1	0	5	5
115/4	0.5	9	8	1/8	1/8	4/4	2	1	viio	F	V		viio	vii	o						o	0	0	5, 2, -1		5	5
117/4	1.0	9	8	1/4	1/4	4/4	2	1	V7	F	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
121/4	1.0	9	8	1/2	1/2	4/4	2	1	iii	F	V		iii	iii							m	0	0	4, 1, 5		4	4
125/4	1.0	9	8	3/4	3/4	4/4	2	1	IVM7	F	V		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
129/4	0.5	10	9	0	0	4/4	2	1	vi(9)	F	V		vi(9)	vi			9				m	0	0	3, 0, 4	5	3	3
131/4	0.5	10	9	1/8	1/8	4/4	2	1	vi	F	V		vi	vi							m	0	0	3, 0, 4		3	3
133/4	1.0	10	9	1/4	1/4	4/4	2	1	viio7/V	F	V		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
137/4	1.0	10	9	1/2	1/2	4/4	2	1	V/V	F	V		V/V	V				V			M	0	0	2, 6, 3		2	2
141/4	1.0	10	9	3/4	3/4	4/4	2	1	viio7/V	F	V		viio7/V	vii	o	7		V			o7	0	0	6, 3, 0, -3		6	6
145/4	1.5	11	10	0	0	4/4	2	1	V|HC}{	F	V		V	V					HC	}{	M	0	0	1, 5, 2		1	1
151/4	0.5	11	10	3/8	3/8	4/4	2	1	V7(b9)	F	V		V7(b9)	V		7	b9				Mm7	0	0	1, 5, 2, -1	-4	1	1
153/4	1.0	11	10	1/2	1/2	4/4	2	1	bVI	F	V		bVI	bVI							M	0	0	-4, 0, -3		-4	-4
157/4	1.0	11	10	3/4	3/4	4/4	2	1	vi%65	F	V		vi%65	vi	%	65					%7	0	0	0, -3, 1, 3		3	0
161/4	1.0	12	11	0	0	4/4	2	1	viio6/V	F	V		viio6/V	vii	o	6		V			o	0	0	3, 0, 6		6	3
165/4	0.5	12	11	1/4	1/4	4/4	2	1	V2(b9)/V	F	V		V2(b9)/V	V		2	b9	V			Mm7	0	0	0, 2, 6, 3	-3	2	0
167/4	0.5	12	11	3/8	3/8	4/4	2	1	V2/V	F	V		V2/V	V		2		V			Mm7	0	0	0, 2, 6, 3		2	0
169/4	2.0	12	11	1/2	1/2	4/4	2	1	V2	F	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
