quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	3.5	1	0	0	1/2	4/4	2	1		Eb.I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
7/2	0.5	2	1	3/8	3/8	4/4	2	1		viio6		Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
4	1.0	2	1	1/2	1/2	4/4	2	1		I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
5	1.0	2	1	3/4	3/4	4/4	2	1		V6		Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
6	0.5	3	2	0	0	4/4	2	1		I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
13/2	0.5	3	2	1/8	1/8	4/4	2	1		I64		Eb	I		I64	I		64					M	0	0	1, 0, 4		0	1
7	0.5	3	2	1/4	1/4	4/4	2	1		I6		Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
15/2	0.5	3	2	3/8	3/8	4/4	2	1		V7		Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	0.25	3	2	1/2	1/2	4/4	2	1		I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
33/4	0.75	3	2	9/16	9/16	4/4	2	1		vi6		Eb	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
9	1.0	3	2	3/4	3/4	4/4	2	1		vi		Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
10	2.0	4	3	0	0	4/4	2	1		V/V		Eb	I		V/V	V				V			M	0	0	2, 6, 3		2	2
12	1.0	4	3	1/2	1/2	4/4	2	1		vii6		Eb	I		vii6	vii		6					m	0	0	2, 6, 5		5	2
13	1.0	4	3	3/4	3/4	4/4	2	1		vii		Eb	I		vii	vii							m	0	0	5, 2, 6		5	5
14	2.0	5	4	0	0	4/4	2	1		iii		Eb	I		iii	iii							m	0	0	4, 1, 5		4	4
16	1.0	5	4	1/2	1/2	4/4	2	1		I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
17	0.5	5	4	3/4	3/4	4/4	2	1		I6		Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
35/2	0.5	5	4	7/8	7/8	4/4	2	1		V		Eb	I		V	V							M	0	0	1, 5, 2		1	1
18	0.5	6	5	0	0	4/4	2	1		vi		Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
37/2	0.5	6	5	1/8	1/8	4/4	2	1		V		Eb	I		V	V							M	0	0	1, 5, 2		1	1
19	1.0	6	5	1/4	1/4	4/4	2	1		viio/V		Eb	I		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
20	0.5	6	5	1/2	1/2	4/4	2	1		V6		Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
41/2	1.0	6	5	5/8	5/8	4/4	2	1		V		Eb	I		V	V							M	0	0	1, 5, 2		1	1
43/2	0.5	6	5	7/8	7/8	4/4	2	1		V/V		Eb	I		V/V	V				V			M	0	0	2, 6, 3		2	2
		7	6	0	0	4/4	2	1	1	V\\		Eb	I		V	V						\\	M	0	0	1, 5, 2		1	1
		7	6	1/4	1/4	4/4	2	1	1	V43		Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
22	4.0	8	6	0	0	4/4	2	1	2	V\\		Eb	I		V	V						\\	M	0	0	1, 5, 2		1	1
26	1.0	10	7	0	0	4/4	2	1		I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
27	1.0	10	7	1/4	1/4	4/4	2	1		V7/vi		Eb	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
28	0.5	10	7	1/2	1/2	4/4	2	1		vi		Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
