mc	mn	onset	label
1	0	11/8	.A.I
2	1	1/2	I64
2	1	3/4	I6
2	1	1	IV
2	1	5/4	ii
2	1	11/8	V7/IV
3	2	0	IV
3	2	1/4	I6
3	2	1/2	ii
3	2	3/4	V7
3	2	1	I
3	2	5/4	IVM7
4	3	0	V
4	3	1/2	V64
4	3	3/4	V6
4	3	1	viio
4	3	5/4	V7
5	4	0	I
5	4	1/2	iii
5	4	3/4	vi
5	4	1	V6
5	4	5/4	V65/ii
6	5	0	V/V
6	5	1/2	viio/V
6	5	3/4	V6
6	5	1	IV6/V
6	5	5/4	V65/V
7	6	0	V
7	6	1/2	V6
7	6	3/4	V
7	6	1	IV/V
7	6	5/4	ii/V
8	7	0	V/V
8	7	1/2	viio/V
8	7	3/4	V
8	7	7/8	IV/V
8	7	1	V7/V
8	7	5/4	V7(4)/V
8	7	11/8	V7/V
9	8	0	V\\
11	9	1/2	V2
11	9	1	IV
11	9	5/4	viio6
12	10	0	I
12	10	1/4	I6
12	10	1/2	IV
12	10	3/4	VIM7/ii
12	10	1	ii7/ii
12	10	5/4	V/ii
13	11	0	ii
13	11	1/2	ii64
13	11	3/4	ii6
13	11	1	viio/V
13	11	5/4	V/V
14	12	0	v
14	12	1/2	IV/IV
14	12	3/4	iii/IV
14	12	1	IV(2)
14	12	5/4	IV
15	13	0	V/IV
15	13	1	IV6/IV
15	13	5/4	V65/IV
16	14	0	IV
16	14	1/2	IV6
16	14	3/4	ii6/IV
16	14	1	V/IV
17	15	0	IV
17	15	1/2	ii7
17	15	3/4	V6/ii
17	15	1	VI6/ii
17	15	5/4	VI/ii
17	15	11/8	v/ii
18	16	0	iv6/ii
18	16	1/4	III6/ii
18	16	1/2	iio6/ii
18	16	3/4	#viio6/ii
18	16	1	ii6
18	16	5/4	ii%65/ii
19	17	0	V/ii
19	17	1	IV6/ii
19	17	5/4	V65/ii
20	18	0	ii
20	18	1/2	VI/ii
20	18	3/4	ii%65/ii
20	18	1	V/ii
21	19	0	ii
21	19	3/4	viio
21	19	1	I
21	19	11/8	V7
22	20	0	I
22	20	1/2	I6
22	20	3/4	IV
22	20	1	I(2)
22	20	5/4	I
23	21	0	V
23	21	1	I
24	22	0	I6
24	22	3/4	V7/IV
24	22	1	IV6/IV
24	22	5/4	V65/IV
25	23	0	IV
25	23	1/4	viio6
25	23	1/2	I6
25	23	3/4	IVM7
25	23	1	V
26	24	0	I\\
