mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/4	2	1		c.i{		c	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	3/4	2	1		#viio6	V64	c	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
1	1	2	1.0	1/2	1/2	3/4	2	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	3	1.0	0	0	3/4	2	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
2	2	4	1.0	1/4	1/4	3/4	2	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	2	5	1.0	1/2	1/2	3/4	2	1		#viio		c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
3	3	6	1.0	0	0	3/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
3	3	7	1.0	1/4	1/4	3/4	2	1		iv65		c	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
3	3	8	1.0	1/2	1/2	3/4	2	1		ii%65		c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
4	4	9	2.0	0	0	3/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
4	4	11	1.0	1/2	1/2	3/4	2	1		V6		c	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	5	12	2.0	0	0	3/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
5	5	14	1.0	1/2	1/2	3/4	2	1		IV6/III		c	i		IV6/III	IV		6		III			M	1	1	0, -3, -4		-4	0
6	6	15	3.0	0	0	3/4	2	1		V6/III		c	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
7	7	18	1.0	0	0	3/4	2	1		I/III		c	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
7	7	19	1.0	1/4	1/4	3/4	2	1		IV/III		c	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
7	7	20	1.0	1/2	1/2	3/4	2	1		V/III		c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
8	8			0	0	3/4	2	1	1	I/III|PAC}		c	i		I/III	I				III	PAC	}	M	1	1	-3, 1, -2		-3	-3
9	8	21	4.0	0	0	3/4	2	1	2	I/III|PAC}		c	i		I/III	I				III	PAC	}	M	1	1	-3, 1, -2		-3	-3
10	9	24	0.0	0	0	3/4	2	1		{		c	i									{		1	1				
10	9	25	1.0	1/4	1/4	3/4	2	1		viio6/III		c	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
10	9	26	1.0	1/2	1/2	3/4	2	1		I6/III		c	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1
11	10	27	3.0	0	0	3/4	2	1		V65/III		c	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2
12	11	30	1.0	0	0	3/4	2	1		I/III		c	i		I/III	I				III			M	1	1	-3, 1, -2		-3	-3
12	11	31	1.0	1/4	1/4	3/4	2	1		IV6/III		c	i		IV6/III	IV		6		III			M	1	1	0, -3, -4		-4	0
12	11	32	1.0	1/2	1/2	3/4	2	1		ii6/III		c	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
13	12	33	2.0	0	0	3/4	2	1		V/III		c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
13	12	35	1.0	1/2	1/2	3/4	2	1		V64/III		c	i		V64/III	V		64		III			M	1	1	-1, -2, 2		-2	-1
14	13	36	3.0	0	0	3/4	2	1		V6/iv		c	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
15	14	39	2.0	0	0	3/4	2	1		V7/iv		c	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
15	14	41	1.0	1/2	1/2	3/4	2	1		V6/iv		c	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
16	15	42	1.0	0	0	3/4	2	1		i/iv		c	i		i/iv	i				iv			m	1	1	-1, -4, 0		-1	-1
16	15	43	2.0	1/4	1/4	3/4	2	1		V/iv		c	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
17	16	45	1.0	0	0	3/4	2	1		i/iv|PAC}{		c	i		i/iv	i				iv	PAC	}{	m	1	1	-1, -4, 0		-1	-1
17	16	46	1.0	1/4	1/4	3/4	2	1		iv64		c	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
17	16	47	1.0	1/2	1/2	3/4	2	1		iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
18	17	48	1.0	0	0	3/4	2	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
18	17	49	1.0	1/4	1/4	3/4	2	1		iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
18	17	50	1.0	1/2	1/2	3/4	2	1		ii%65		c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
19	18	51	1.0	0	0	3/4	2	1		V6/III		c	i		V6/III	V		6		III			M	1	1	2, -1, -2		-2	2
19	18	52	1.0	1/4	1/4	3/4	2	1		V7/III		c	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
19	18	53	1.0	1/2	1/2	3/4	2	1		viio/III		c	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
20	19	54	1.0	0	0	3/4	2	1		III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
20	19	55	1.0	1/4	1/4	3/4	2	1		III6		c	i		III6	III		6					M	1	1	1, -2, -3		-3	1
20	19	56	1.0	1/2	1/2	3/4	2	1		i65		c	i		i65	i		65					mm7	1	1	-3, 1, -2, 0		0	-3
21	20	57	1.0	0	0	3/4	2	1		VI6		c	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
21	20	58	1.0	1/4	1/4	3/4	2	1		VIM7		c	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
21	20	59	1.0	1/2	1/2	3/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
22	21	60	1.0	0	0	3/4	2	1		iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
22	21	61	1.0	1/4	1/4	3/4	2	1		iio6		c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
22	21	62	1.0	1/2	1/2	3/4	2	1		#vii%65		c	i		#vii%65	#vii	%	65					%7	1	1	2, -1, 3, 5		5	2
23	22	63	1.0	0	0	3/4	2	1		V6		c	i		V6	V		6					M	1	1	5, 2, 1		1	5
23	22	64	1.0	1/4	1/4	3/4	2	1		V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
23	22	65	1.0	1/2	1/2	3/4	2	1		#viio		c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
24	23	66	1.0	0	0	3/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
24	23	67	1.0	1/4	1/4	3/4	2	1		iv65		c	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
24	23	68	1.0	1/2	1/2	3/4	2	1		ii%65		c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
25	24	69	3.0	0	0	3/4	2	1		V|HC}		c	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
26	25	72	1.0	0	0	3/4	2	1		iio{		c	i		iio	ii	o					{	o	1	1	2, -1, -4		2	2
26	25	73	2.0	1/4	1/4	3/4	2	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
27	26	75	1.0	0	0	3/4	2	1		iv64		c	i		iv64	iv		64					m	1	1	0, -1, -4		-1	0
27	26	76	2.0	1/4	1/4	3/4	2	1		iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
28	27	78	1.0	0	0	3/4	2	1		#viio7		c	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
28	27	79	1.0	1/4	1/4	3/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
28	27	80	1.0	1/2	1/2	3/4	2	1		iio		c	i		iio	ii	o						o	1	1	2, -1, -4		2	2
29	28	81	1.0	0	0	3/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
29	28	82	1.0	1/4	1/4	3/4	2	1		IV6		c	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
29	28	83	1.0	1/2	1/2	3/4	2	1		#viio		c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
30	29	84	3.0	0	0	3/4	2	1		i		c	i		i	i							m	1	1	0, -3, 1		0	0
31	30	87	3.0	0	0	3/4	2	1		#viio65		c	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
32	31	90	1.0	0	0	3/4	2	1		i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
32	31	91	1.0	1/4	1/4	3/4	2	1		iv7		c	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
32	31	92	1.0	1/2	1/2	3/4	2	1		V		c	i		V	V							M	1	1	1, 5, 2		1	1
33	32	93	3.0	0	0	3/4	2	1		i|PAC}		c	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
