mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3/4	2/2	1	1	.A.V	A	I		V	V						M	0	0	1, 5, 2		1	1
2	1	0	0	2/2	1	1	I	A	I		I	I						M	0	0	0, 4, 1		0	0
2	1	1/2	1/2	2/2	1	1	I6	A	I		I6	I		6				M	0	0	4, 1, 0		0	4
2	1	3/4	3/4	2/2	1	1	I	A	I		I	I						M	0	0	0, 4, 1		0	0
3	2	1/4	1/4	2/2	1	1	V	A	I		V	V						M	0	0	1, 5, 2		1	1
3	2	1/2	1/2	2/2	1	1	I6	A	I		I6	I		6				M	0	0	4, 1, 0		0	4
3	2	3/4	3/4	2/2	1	1	V	A	I		V	V						M	0	0	1, 5, 2		1	1
4	3	0	0	2/2	1	1	I	A	I		I	I						M	0	0	0, 4, 1		0	0
4	3	1/2	1/2	2/2	1	1	I6	A	I		I6	I		6				M	0	0	4, 1, 0		0	4
4	3	3/4	3/4	2/2	1	1	I	A	I		I	I						M	0	0	0, 4, 1		0	0
5	4	1/4	1/4	2/2	1	1	V	A	I		V	V						M	0	0	1, 5, 2		1	1
5	4	1/2	1/2	2/2	1	1	I6	A	I		I6	I		6				M	0	0	4, 1, 0		0	4
5	4	5/8	5/8	2/2	1	1	V	A	I		V	V						M	0	0	1, 5, 2		1	1
5	4	3/4	3/4	2/2	1	1	I	A	I		I	I						M	0	0	0, 4, 1		0	0
6	5	0	0	2/2	1	1	I6	A	I		I6	I		6				M	0	0	4, 1, 0		0	4
6	5	1/4	1/4	2/2	1	1	iv	A	I		iv	iv						m	0	0	-1, -4, 0		-1	-1
6	5	1/2	1/2	2/2	1	1	V43/IV	A	I		V43/IV	V		43		IV		Mm7	0	0	1, -2, 0, 4		0	1
6	5	3/4	3/4	2/2	1	1	V7/IV	A	I		V7/IV	V		7		IV		Mm7	0	0	0, 4, 1, -2		0	0
