quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	3.5	1	0	0	11/8	3/2	2	1	A.I		A	I		I	I							M	0	0	0, 4, 1		0	0
7/2	1.0	2	1	3/4	3/4	3/2	2	1	I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
9/2	1.0	2	1	1	1	3/2	2	1	IV		A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
11/2	0.5	2	1	5/4	5/4	3/2	2	1	ii		A	I		ii	ii							m	0	0	2, -1, 3		2	2
6	0.5	2	1	11/8	11/8	3/2	2	1	V7/IV		A	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
13/2	1.5	3	2	0	0	3/2	2	1	IV		A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
8	0.5	3	2	3/8	3/8	3/2	2	1	I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
17/2	1.0	3	2	1/2	1/2	3/2	2	1	ii		A	I		ii	ii							m	0	0	2, -1, 3		2	2
19/2	1.0	3	2	3/4	3/4	3/2	2	1	V7		A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
21/2	1.0	3	2	1	1	3/2	2	1	I(9)		A	I		I(9)	I			9				M	0	0	0, 4, 1	2	0	0
23/2	1.0	3	2	5/4	5/4	3/2	2	1	I		A	I		I	I							M	0	0	0, 4, 1		0	0
25/2	3.0	4	3	0	0	3/2	2	1	V		A	I		V	V							M	0	0	1, 5, 2		1	1
31/2	1.0	4	3	3/4	3/4	3/2	2	1	V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
33/2	1.0	4	3	1	1	3/2	2	1	viio		A	I		viio	vii	o						o	0	0	5, 2, -1		5	5
35/2	1.0	4	3	5/4	5/4	3/2	2	1	V7		A	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
37/2	2.0	5	4	0	0	3/2	2	1	I		A	I		I	I							M	0	0	0, 4, 1		0	0
41/2	2.0	5	4	1/2	1/2	3/2	2	1	vi		A	I		vi	vi							m	0	0	3, 0, 4		3	3
45/2	1.0	5	4	1	1	3/2	2	1	V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
47/2	1.0	5	4	5/4	5/4	3/2	2	1	V65/ii		A	I		V65/ii	V		65		ii			Mm7	0	0	7, 4, 1, 3		3	7
49/2	2.0	6	5	0	0	3/2	2	1	V/V		A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
53/2	2.0	6	5	1/2	1/2	3/2	2	1	iii7/V		A	I		iii7/V	iii		7		V			mm7	0	0	5, 2, 6, 3		5	5
57/2	1.0	6	5	1	1	3/2	2	1	IV6/V		A	I		IV6/V	IV		6		V			M	0	0	4, 1, 0		0	4
59/2	1.0	6	5	5/4	5/4	3/2	2	1	V65/V		A	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
61/2	3.0	7	6	0	0	3/2	2	1	V		A	I		V	V							M	0	0	1, 5, 2		1	1
67/2	1.0	7	6	3/4	3/4	3/2	2	1	V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
69/2	1.0	7	6	1	1	3/2	2	1	IV/V		A	I		IV/V	IV				V			M	0	0	0, 4, 1		0	0
71/2	1.0	7	6	5/4	5/4	3/2	2	1	ii/V		A	I		ii/V	ii				V			m	0	0	3, 0, 4		3	3
73/2	1.5	8	7	0	0	3/2	2	1	V/V		A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
38	0.5	8	7	3/8	3/8	3/2	2	1	V6/V		A	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
77/2	1.0	8	7	1/2	1/2	3/2	2	1	V		A	I		V	V							M	0	0	1, 5, 2		1	1
79/2	1.0	8	7	3/4	3/4	3/2	2	1	V6		A	I		V6	V		6					M	0	0	5, 2, 1		1	5
81/2	2.0	8	7	1	1	3/2	2	1	V/V		A	I		V/V	V				V			M	0	0	2, 6, 3		2	2
85/2	8.0	9	8	0	0	3/2	2	1	V\\		A	I		V	V						\\	M	0	0	1, 5, 2		1	1
101/2	1.0	11	9	1/2	1/2	3/2	2	1	iii		A	I		iii	iii							m	0	0	4, 1, 5		4	4
103/2	1.0	11	9	3/4	3/4	3/2	2	1	V2		A	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
105/2	1.0	11	9	1	1	3/2	2	1	IV		A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
107/2	0.5	11	9	5/4	5/4	3/2	2	1	vi64		A	I		vi64	vi		64					m	0	0	4, 3, 0		3	4
54	0.5	11	9	11/8	11/8	3/2	2	1	viio6		A	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
109/2	1.0	12	10	0	0	3/2	2	1	I		A	I		I	I							M	0	0	0, 4, 1		0	0
111/2	1.0	12	10	1/4	1/4	3/2	2	1	I6		A	I		I6	I		6					M	0	0	4, 1, 0		0	4
113/2	1.0	12	10	1/2	1/2	3/2	2	1	IV		A	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
