mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	3/4	1	1	.e.i	e	i		i	i						m	1	1	0, -3, 1		0	0
1	1	1/4	1/4	3/4	1	1	i(64)	e	i		i(64)	i			64			m	1	1	0, -1, -4		0	0
1	1	3/8	3/8	3/4	1	1	i	e	i		i	i						m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	3/4	1	1	iio6	e	i		iio6	ii	o	6				o	1	1	-1, -4, 2		2	-1
1	1	5/8	5/8	3/4	1	1	iv7	e	i		iv7	iv		7				mm7	1	1	-1, -4, 0, -3		-1	-1
2	2	0	0	3/4	1	1	V7	e	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
2	2	1/8	1/8	3/4	1	1	V	e	i		V	V						M	1	1	1, 5, 2		1	1
2	2	1/4	1/4	3/4	1	1	i	e	i		i	i						m	1	1	0, -3, 1		0	0
2	2	1/2	1/2	3/4	1	1	i6	e	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
3	3	0	0	3/4	1	1	III6	e	i		III6	III		6				M	1	1	1, -2, -3		-3	1
3	3	1/4	1/4	3/4	1	1	IV/III	e	i		IV/III	IV				III		M	1	1	-4, 0, -3		-4	-4
3	3	1/2	1/2	3/4	1	1	ii6/III	e	i		ii6/III	ii		6		III		m	1	1	-4, 0, -1		-1	-4
3	3	5/8	5/8	3/4	1	1	IVM7/III	e	i		IVM7/III	IV	M	7		III		MM7	1	1	-4, 0, -3, 1		-4	-4
4	4	0	0	3/4	1	1	V7/III	e	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
4	4	1/8	1/8	3/4	1	1	V/III	e	i		V/III	V				III		M	1	1	-2, 2, -1		-2	-2
4	4	1/4	1/4	3/4	1	1	III	e	i		III	III						M	1	1	-3, 1, -2		-3	-3
4	4	1/2	1/2	3/4	1	1	i6	e	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
5	5	0	0	3/4	1	1	VII6(2)	e	i		VII6(2)	VII		6	2			M	1	1	2, -1, 0		-2	2
5	5	1/8	1/8	3/4	1	1	V2/VII	e	i		V2/VII	V		2		VII		Mm7	1	1	-3, -1, 3, 0		-1	-3
5	5	1/4	1/4	3/4	1	1	VII6	e	i		VII6	VII		6				M	1	1	2, -1, -2		-2	2
5	5	3/8	3/8	3/4	1	1	viio6/VII	e	i		viio6/VII	vii	o	6		VII		o	1	1	0, -3, 3		3	0
5	5	1/2	1/2	3/4	1	1	VII	e	i		VII	VII						M	1	1	-2, 2, -1		-2	-2
5	5	5/8	5/8	3/4	1	1	ii	e	i		ii	ii						m	1	1	2, -1, 3		2	2
6	6	0	0	3/4	1	1	i6(2)	e	i		i6(2)	i		6	2			m	1	1	-3, 1, 2		0	-3
6	6	1/8	1/8	3/4	1	1	V2	e	i		V2	V		2				Mm7	1	1	-1, 1, 5, 2		1	-1
6	6	1/4	1/4	3/4	1	1	i6	e	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
