mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.25	0	15/16	4/4	2	1	d.i[i{		d	i	i	i	i						{	m	1	1	0, -3, 1		0	0
2	1	5/4	1.0	1/4	1/4	4/4	2	1	i		d	i	i	i	i							m	1	1	0, -3, 1		0	0
2	1	9/4	1.0	1/2	1/2	4/4	2	1	#viio7		d	i	i	#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
2	1	13/4	1.0	3/4	3/4	4/4	2	1	V65		d	i	i	V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
3	2	17/4	0.5	0	0	4/4	2	1	i]		d	i	i	i	i							m	1	1	0, -3, 1		0	0
3	2	19/4	0.5	1/8	1/8	4/4	2	1	i64		d	i		i64	i		64					m	1	1	1, 0, -3		0	1
3	2	21/4	0.5	1/4	1/4	4/4	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
3	2	23/4	0.5	3/8	3/8	4/4	2	1	VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
3	2	25/4	1.0	1/2	1/2	4/4	2	1	ii%2		d	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
3	2	29/4	0.5	3/4	3/4	4/4	2	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
3	2	31/4	0.5	7/8	7/8	4/4	2	1	III+6		d	i		III+6	III	+	6					+	1	1	1, 5, -3		-3	1
4	3	33/4	0.5	0	0	4/4	2	1	VIM7		d	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
4	3	35/4	0.5	1/8	1/8	4/4	2	1	VIM2		d	i		VIM2	VI	M	2					MM7	1	1	1, -4, 0, -3		-4	1
4	3	37/4	0.5	1/4	1/4	4/4	2	1	iv65		d	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
