mc	mn	onset	label
1	1	0	.F.V
1	1	1/4	I
1	1	1/2	IV
1	1	3/4	V43
2	2	0	I64
2	2	1/4	I
2	2	1/2	IV
2	2	3/4	V43
3	3	0	I6
3	3	1/8	I
3	3	1/4	vi6
3	3	1/2	V2/V
3	3	3/4	V6
4	4	0	ii(2)/V
4	4	1/8	IV6/V
4	4	1/4	viio6/V
4	4	1/2	iii2/V
4	4	3/4	vi6/V
5	5	0	IVM43/V
5	5	1/4	V6/V
5	5	3/8	V2/V
5	5	1/2	V6(2)
5	5	3/4	V6
5	5	7/8	V
6	6	0	IV6/V
6	6	1/8	IV/V
6	6	1/4	V7/V
6	6	1/2	V
6	6	5/8	vi/V
6	6	3/4	V
7	7	0	IV/V
7	7	1/4	V43/V
7	7	1/2	VM7
7	7	3/4	IV/V
8	8	0	vii%7/V
8	8	1/4	iii/V
8	8	1/2	vi7/V
8	8	3/4	ii/V
9	9	0	V7/V
9	9	1/8	V
9	9	1/2	ii65(4)
9	9	3/4	ii65
10	10	0	V2
10	10	1/4	I6
10	10	3/8	I
10	10	1/2	IV6
10	10	5/8	IV
10	10	3/4	V7
11	11	0	I\\
11	11	1/2	V/V
12	12	0	V
12	12	1/8	IV/V
12	12	1/4	V/V
12	12	1/2	V
13	13	0	ii65(4)
13	13	1/4	ii65
13	13	1/2	V7
13	13	3/4	I
14	14	0	ii65
14	14	1/4	ii43/IV
14	14	1/2	V65/IV
14	14	5/8	V7/IV
14	14	3/4	IV
15	15	0	V65(4)/IV
15	15	1/4	V65/IV
15	15	1/2	IV6
15	15	3/4	ii
16	16	0	V7
16	16	1/4	IM7
16	16	1/2	IVM7
16	16	5/8	ii
16	16	3/4	vii%7
16	16	7/8	ii6
17	17	0	iii7
17	17	1/4	vi7
17	17	1/2	ii7
17	17	3/4	V7
18	18	0	vi
18	18	1/2	ii
18	18	3/4	V7
19	19	0	I
19	19	1/4	vi
19	19	3/8	I6
19	19	1/2	ii65
19	19	5/8	ii7
19	19	3/4	V
19	19	7/8	V7
20	20	0	I\\
20	20	3/8	viio6(+2)
20	20	1/2	I6
20	20	5/8	IV
20	20	3/4	I6
20	20	7/8	viio6(2)
21	21	0	I[I
21	21	1/8	IV6
21	21	1/4	I64
21	21	3/8	viio64(2)
21	21	1/2	I
21	21	5/8	viio64(2)]
21	21	3/4	V.IVM2
21	21	7/8	viio6
22	22	0	I
22	22	3/8	viio(+2)
22	22	1/2	I64
22	22	5/8	IV6
22	22	3/4	I64
22	22	7/8	viio64(2)
23	23	0	I6
23	23	1/8	IV
23	23	1/4	I6
23	23	3/8	viio6(2)
23	23	1/2	I
23	23	5/8	viio6(2)
23	23	3/4	IM65
23	23	7/8	IV
24	24	0	V
24	24	1/2	ii
25	25	0	V7
25	25	1/2	I(9)
25	25	3/4	I
26	26	0	IVM7
26	26	1/2	V7
27	27	0	I6(11)
27	27	1/8	I6
27	27	1/4	V(4)
27	27	3/8	V
27	27	1/2	I\\
28	28	0	V65(4)
28	28	1/4	V65
28	28	1/2	I
28	28	5/8	vi
28	28	3/4	I
29	29	0	V2(4)
29	29	1/8	V2
29	29	1/4	V43
29	29	1/2	I6(2)
29	29	3/4	I
30	30	0	ii6(2)
30	30	1/4	ii
30	30	1/2	V7
30	30	3/4	iii
31	31	0	ii7/V
31	31	1/8	ii2/V
31	31	1/4	viio6/V
31	31	3/8	V7/V
31	31	1/2	V(4)
31	31	5/8	V
31	31	3/4	V2
31	31	7/8	V64
32	32	0	V7/ii
32	32	1/4	ii
32	32	1/2	V7
32	32	3/4	vi43
33	33	0	IVM7
33	33	3/8	V2
33	33	3/4	I6
33	33	7/8	I
34	34	0	vi
34	34	3/16	ii6
34	34	1/4	V
34	34	1/2	I\\
34	34	7/8	viio6(+2)
35	35	0	I6
35	35	1/8	IV
35	35	1/4	I6
35	35	3/8	viio6(2)
35	35	1/2	I[I
35	35	5/8	IV6
35	35	3/4	I64
35	35	7/8	viio64(2)
36	36	0	I6
36	36	1/8	vi.V2/iv]
36	36	1/4	IV2/iv
36	36	3/8	#viio6/iv
36	36	1/2	iv
36	36	7/8	#viio(+2)/iv
37	37	0	iv64
37	37	1/8	iv6/iv
37	37	1/4	iv64
37	37	3/8	#viio64(2)/iv
37	37	1/2	iv6
37	37	5/8	iv/iv
37	37	3/4	iv6
37	37	7/8	#viio6(2)/iv
38	38	0	iv
38	38	1/8	#viio6(2)/iv
38	38	1/4	IV65
38	38	3/8	#viio
38	38	1/2	i6
38	38	3/4	i
39	39	0	V2(4)
39	39	1/4	V43
39	39	1/2	i6
39	39	3/4	i
39	39	7/8	VI
40	40	0	#viio6(2)
40	40	1/8	#viio6
40	40	3/8	V7
40	40	1/2	i(9)
40	40	5/8	i
41	41	0	iv7
41	41	3/8	V7/III
41	41	1/2	III(9)
41	41	5/8	III
41	41	3/4	III6
41	41	7/8	i6
42	42	0	#viio6(2)/v
42	42	1/8	#viio64(2)/v
42	42	1/4	V7/v
