mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3.5	0	11/8	12/8	2	1	g.i{	g	i		i	i						{	m	1	1	0, -3, 1		0	0
2	1	7/2	1.5	3/4	3/4	12/8	2	1	V	g	i		V	V							M	1	1	1, 5, 2		1	1
2	1	5	1.5	9/8	9/8	12/8	2	1	#viio6	g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	2	13/2	1.5	0	0	12/8	2	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	8	1.0	3/8	3/8	12/8	2	1	#viio6(2)	g	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
3	2	9	0.5	5/8	5/8	12/8	2	1	#viio6	g	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	2	19/2	3.0	3/4	3/4	12/8	2	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
4	3	25/2	1.5	0	0	12/8	2	1	i6	g	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	14	1.5	3/8	3/8	12/8	2	1	v	g	i		v	v							m	1	1	1, -2, 2		1	1
4	3	31/2	1.5	3/4	3/4	12/8	2	1	V6/v	g	i		V6/v	V		6		v			M	1	1	6, 3, 2		2	6
4	3	17	1.5	9/8	9/8	12/8	2	1	iio6/v	g	i		iio6/v	ii	o	6		v			o	1	1	0, -3, 3		3	0
5	4	37/2	1.5	0	0	12/8	2	1	v6	g	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
5	4	20	1.0	3/8	3/8	12/8	2	1	#viio6(2)/v	g	i		#viio6(2)/v	#vii	o	6	2	v			o	1	1	3, 0, 1		6	3
5	4	21	0.5	5/8	5/8	12/8	2	1	#viio6/v	g	i		#viio6/v	#vii	o	6		v			o	1	1	3, 0, 6		6	3
5	4	43/2	3.0	3/4	3/4	12/8	2	1	i/v}{	g	i		i/v	i				v		}{	m	1	1	1, -2, 2		1	1
6	5	49/2	1.5	0	0	12/8	2	1	#vi%7	g	i		#vi%7	#vi	%	7					%7	1	1	3, 0, -3, 1		3	3
6	5	26	1.5	3/8	3/8	12/8	2	1	IV6	g	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
6	5	55/2	1.0	3/4	3/4	12/8	2	1	iio	g	i		iio	ii	o						o	1	1	2, -1, -4		2	2
6	5	57/2	0.5	1	1	12/8	2	1	V6	g	i		V6	V		6					M	1	1	5, 2, 1		1	5
6	5	29	1.0	9/8	9/8	12/8	2	1	i	g	i		i	i							m	1	1	0, -3, 1		0	0
