quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	0.5	1	0	0	5/8	3/4	2	1	Eb.V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
1/2	1.6666666666666665	2	1	0	0	3/4	2	1	I[I	Eb	I	I	I	I							M	0	0	0, 4, 1		0	0
13/6	0.3333333333333335	2	1	5/12	5/12	3/4	2	1	viio6	Eb	I	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
5/2	1.0	2	1	1/2	1/2	3/4	2	1	I	Eb	I	I	I	I							M	0	0	0, 4, 1		0	0
7/2	0.666666666666667	3	2	0	0	3/4	2	1	ii2(2)	Eb	I	I	ii2(2)	ii		2	2				mm7	0	0	0, 4, -1, 3		2	0
25/6	0.33333333333333304	3	2	1/6	1/6	3/4	2	1	ii2]	Eb	I	I	ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
9/2	2.0	3	2	1/4	1/4	3/4	2	1	viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
13/2	1.0	4	3	0	0	3/4	2	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
15/2	0.6666666666666661	4	3	1/4	1/4	3/4	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
49/6	0.3333333333333339	4	3	5/12	5/12	3/4	2	1	IVM7	Eb	I		IVM7	IV	M	7					MM7	0	0	-1, 3, 0, 4		-1	-1
17/2	1.0	4	3	1/2	1/2	3/4	2	1	V7	Eb	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
19/2	0.6666666666666661	5	4	0	0	3/4	2	1	I(94)	Eb	I		I(94)	I			94				M	0	0	0, -1, 1	2	0	0
61/6	0.3333333333333339	5	4	1/6	1/6	3/4	2	1	I64	Eb	I		I64	I		64					M	0	0	1, 0, 4		0	1
21/2	0.6666666666666661	5	4	1/4	1/4	3/4	2	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
67/6	0.3333333333333339	5	4	5/12	5/12	3/4	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
23/2	0.6666666666666661	5	4	1/2	1/2	3/4	2	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
73/6	0.3333333333333339	5	4	2/3	2/3	3/4	2	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
25/2	0.6666666666666661	6	5	0	0	3/4	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
79/6	0.3333333333333339	6	5	1/6	1/6	3/4	2	1	vi	Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
27/2	1.0	6	5	1/4	1/4	3/4	2	1	V6/vi	Eb	I		V6/vi	V		6		vi			M	0	0	8, 5, 4		4	8
29/2	1.0	6	5	1/2	1/2	3/4	2	1	V7/vi	Eb	I		V7/vi	V		7		vi			Mm7	0	0	4, 8, 5, 2		4	4
31/2	0.6666666666666679	7	6	0	0	3/4	2	1	vi	Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
97/6	0.33333333333333215	7	6	1/6	1/6	3/4	2	1	V/vi	Eb	I		V/vi	V				vi			M	0	0	4, 8, 5		4	4
33/2	1.0	7	6	1/4	1/4	3/4	2	1	vi	Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
35/2	0.6666666666666679	7	6	1/2	1/2	3/4	2	1	iii64	Eb	I		iii64	iii		64					m	0	0	5, 4, 1		4	5
109/6	0.33333333333333215	7	6	2/3	2/3	3/4	2	1	viio64/V	Eb	I		viio64/V	vii	o	64		V			o	0	0	0, 6, 3		6	0
37/2	0.6666666666666679	8	7	0	0	3/4	2	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
115/6	0.33333333333333215	8	7	1/6	1/6	3/4	2	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
39/2	1.0	8	7	1/4	1/4	3/4	2	1	V6/V	Eb	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
41/2	1.0	8	7	1/2	1/2	3/4	2	1	V7/V	Eb	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
43/2	2.0	9	8	0	0	3/4	2	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
47/2	1.0	9	8	1/2	1/2	3/4	2	1	V43	Eb	I		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
49/2	2.0	10	9	0	0	3/4	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
53/2	0.6666666666666679	10	9	1/2	1/2	3/4	2	1	viio64/V	Eb	I		viio64/V	vii	o	64		V			o	0	0	0, 6, 3		6	0
163/6	0.33333333333333215	10	9	2/3	2/3	3/4	2	1	V6	Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
55/2	2.0	11	10	0	0	3/4	2	1	vi	Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
59/2	1.0	11	10	1/2	1/2	3/4	2	1	V6/V	Eb	I		V6/V	V		6		V			M	0	0	6, 3, 2		2	6
61/2	2.0	12	11	0	0	3/4	2	1	V/V	Eb	I		V/V	V				V			M	0	0	2, 6, 3		2	2
65/2	1.0	12	11	1/2	1/2	3/4	2	1	V7/V	Eb	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
67/2	0.6666666666666643	13	12	0	0	3/4	2	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
205/6	0.3333333333333357	13	12	1/6	1/6	3/4	2	1	vi/V	Eb	I		vi/V	vi				V			m	0	0	4, 1, 5		4	4
69/2	1.0	13	12	1/4	1/4	3/4	2	1	V7/II	Eb	I		V7/II	V		7		II			Mm7	0	0	3, 7, 4, 1		3	3
71/2	1.0	13	12	1/2	1/2	3/4	2	1	V/V	Eb	I		V/V	V				V			M	0	0	2, 6, 3		2	2
