mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	15/16	.G.I	G	I		I	I						M	0	0	0, 4, 1		0	0
2	1	1/4	viio6(2)	G	I		viio6(2)	vii	o	6	2			o	0	0	2, -1, 0		5	2
2	1	3/8	viio6	G	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
2	1	1/2	I6	G	I		I6	I		6				M	0	0	4, 1, 0		0	4
3	2	0	IV	G	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
3	2	1/8	I6	G	I		I6	I		6				M	0	0	4, 1, 0		0	4
3	2	1/4	viio6(2)	G	I		viio6(2)	vii	o	6	2			o	0	0	2, -1, 0		5	2
3	2	3/8	viio6	G	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
3	2	1/2	I	G	I		I	I						M	0	0	0, 4, 1		0	0
3	2	7/8	I64	G	I		I64	I		64				M	0	0	1, 0, 4		0	1
4	3	0	V6(2)/V	G	I		V6(2)/V	V		6	2	V		M	0	0	6, 3, 4		2	6
4	3	1/8	V6/V	G	I		V6/V	V		6		V		M	0	0	6, 3, 2		2	6
4	3	1/4	V65/V	G	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
4	3	1/2	V	G	I		V	V						M	0	0	1, 5, 2		1	1
4	3	7/8	viio64	G	I		viio64	vii	o	64				o	0	0	-1, 5, 2		5	-1
5	4	0	I6	G	I		I6	I		6				M	0	0	4, 1, 0		0	4
5	4	1/4	viio6(2)	G	I		viio6(2)	vii	o	6	2			o	0	0	2, -1, 0		5	2
5	4	3/8	viio6	G	I		viio6	vii	o	6				o	0	0	2, -1, 5		5	2
5	4	1/2	I	G	I		I	I						M	0	0	0, 4, 1		0	0
5	4	5/8	I6	G	I		I6	I		6				M	0	0	4, 1, 0		0	4
5	4	3/4	I	G	I		I	I						M	0	0	0, 4, 1		0	0
5	4	7/8	iv/vi	G	I		iv/vi	iv				vi		m	0	0	2, -1, 3		2	2
5	4	15/16	V/vi	G	I		V/vi	V				vi		M	0	0	4, 8, 5		4	4
6	5	0	VI/vi	G	I		VI/vi	VI				vi		M	0	0	-1, 3, 0		-1	-1
6	5	1/8	vi6	G	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
6	5	1/4	ii%65/vi	G	I		ii%65/vi	ii	%	65		vi		%7	0	0	4, 11, 3, 5		5	4
6	5	3/8	V/vi	G	I		V/vi	V				vi		M	0	0	4, 8, 5		4	4
6	5	1/2	vi	G	I		vi	vi						m	0	0	3, 0, 4		3	3
6	5	5/8	vi6	G	I		vi6	vi		6				m	0	0	0, 4, 3		3	0
6	5	3/4	vi	G	I		vi	vi						m	0	0	3, 0, 4		3	3
6	5	7/8	ii65/V	G	I		ii65/V	ii		65		V		mm7	0	0	0, 4, 1, 3		3	0
7	6	0	V/V	G	I		V/V	V				V		M	0	0	2, 6, 3		2	2
7	6	1/4	V7/V	G	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
7	6	1/2	V	G	I		V	V						M	0	0	1, 5, 2		1	1
7	6	3/4	V65	G	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
7	6	7/8	V	G	I		V	V						M	0	0	1, 5, 2		1	1
8	7	0	I	G	I		I	I						M	0	0	0, 4, 1		0	0
8	7	1/2	ii65/V	G	I		ii65/V	ii		65		V		mm7	0	0	0, 4, 1, 3		3	0
8	7	5/8	vii%65/V	G	I		vii%65/V	vii	%	65		V		%7	0	0	5, 12, 4, 6		6	5
8	7	3/4	V7/V	G	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
8	7	7/8	V65/V	G	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
9	8	0	V	G	I		V	V						M	0	0	1, 5, 2		1	1
9	8	1/8	ii65/V	G	I		ii65/V	ii		65		V		mm7	0	0	0, 4, 1, 3		3	0
9	8	1/4	V(6)/V	G	I		V(6)/V	V			6	V		M	0	0	2, 6, 5		2	2
9	8	3/8	V7/V	G	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
9	8	1/2	V	G	I		V	V						M	0	0	1, 5, 2		1	1
9	8	3/4	V6	G	I		V6	V		6				M	0	0	5, 2, 1		1	5
9	8	7/8	V7	G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
10	9	0	I	G	I		I	I						M	0	0	0, 4, 1		0	0
10	9	1/4	I6	G	I		I6	I		6				M	0	0	4, 1, 0		0	4
10	9	3/8	I	G	I		I	I						M	0	0	0, 4, 1		0	0
10	9	1/2	ii7/V	G	I		ii7/V	ii		7		V		mm7	0	0	3, 0, 4, 1		3	3
10	9	3/4	ii65/V	G	I		ii65/V	ii		65		V		mm7	0	0	0, 4, 1, 3		3	0
10	9	7/8	ii7/V	G	I		ii7/V	ii		7		V		mm7	0	0	3, 0, 4, 1		3	3
11	10	0	V/V	G	I		V/V	V				V		M	0	0	2, 6, 3		2	2
11	10	1/4	V6/V	G	I		V6/V	V		6		V		M	0	0	6, 3, 2		2	6
11	10	3/8	V7/V	G	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
11	10	1/2	v	G	I		v	v						m	0	0	1, -2, 2		1	1
11	10	3/4	VI/v	G	I		VI/v	VI				v		M	0	0	-3, 1, -2		-3	-3
11	10	7/8	V64	G	I		V64	V		64				M	0	0	2, 1, 5		1	2
12	11	0	i6	G	I		i6	i		6				m	0	0	-3, 1, 0		0	-3
12	11	1/8	i	G	I		i	i						m	0	0	0, -3, 1		0	0
12	11	1/4	V7/ii	G	I		V7/ii	V		7		ii		Mm7	0	0	3, 7, 4, 1		3	3
12	11	3/8	V7/V	G	I		V7/V	V		7		V		Mm7	0	0	2, 6, 3, 0		2	2
12	11	1/2	V7	G	I		V7	V		7				Mm7	0	0	1, 5, 2, -1		1	1
12	11	5/8	I	G	I		I	I						M	0	0	0, 4, 1		0	0
12	11	11/16	ii6/V	G	I		ii6/V	ii		6		V		m	0	0	0, 4, 3		3	0
