mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	11/16	3/4	1	1	.E.I	E	I		I	I						M	0	0	0, 4, 1		0	0
3	2	0	0	3/4	1	1	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
3	2	1/2	1/2	3/4	1	1	V43	E	I		V43	V		43				Mm7	0	0	2, -1, 1, 5		1	2
4	3	0	0	3/4	1	1	I6	E	I		I6	I		6				M	0	0	4, 1, 0		0	4
4	3	1/8	1/8	3/4	1	1	I	E	I		I	I						M	0	0	0, 4, 1		0	0
4	3	1/4	1/4	3/4	1	1	IV	E	I		IV	IV						M	0	0	-1, 3, 0		-1	-1
4	3	3/8	3/8	3/4	1	1	viio64	E	I		viio64	vii	o	64				o	0	0	-1, 5, 2		5	-1
4	3	1/2	1/2	3/4	1	1	V65	E	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
4	3	5/8	5/8	3/4	1	1	V	E	I		V	V						M	0	0	1, 5, 2		1	1
5	4	0	0	3/4	1	1	I	E	I		I	I						M	0	0	0, 4, 1		0	0
6	5	0	0	3/4	1	1	vi	E	I		vi	vi						m	0	0	3, 0, 4		3	3
6	5	1/8	1/8	3/4	1	1	V6(119)	E	I		V6(119)	V		6	119			M	0	0	5, 2, 1	0, 3	1	5
6	5	1/4	1/4	3/4	1	1	viio6/V	E	I		viio6/V	vii	o	6		V		o	0	0	3, 0, 6		6	3
6	5	3/8	3/8	3/4	1	1	V(97)	E	I		V(97)	V			97			M	0	0	1, 5, 2	3, -1	1	1
6	5	1/2	1/2	3/4	1	1	V65/V	E	I		V65/V	V		65		V		Mm7	0	0	6, 3, 0, 2		2	6
6	5	5/8	5/8	3/4	1	1	V/V	E	I		V/V	V				V		M	0	0	2, 6, 3		2	2
7	6	0	0	3/4	1	1	V	E	I		V	V						M	0	0	1, 5, 2		1	1
7	6	1/4	1/4	3/4	1	1	IV6	E	I		IV6	IV		6				M	0	0	3, 0, -1		-1	3
7	6	3/8	3/8	3/4	1	1	ii	E	I		ii	ii						m	0	0	2, -1, 3		2	2
7	6	1/2	1/2	3/4	1	1	V	E	I		V	V						M	0	0	1, 5, 2		1	1
7	6	5/8	5/8	3/4	1	1	V65	E	I		V65	V		65				Mm7	0	0	5, 2, -1, 1		1	5
8	7	0	0	3/4	1	1	I	E	I		I	I						M	0	0	0, 4, 1		0	0
8	7	1/2	1/2	3/4	1	1	V6	E	I		V6	V		6				M	0	0	5, 2, 1		1	5
9	8	0	0	3/4	1	1	vi	E	I		vi	vi						m	0	0	3, 0, 4		3	3
