quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	1	0	0	3/4	2	1	b.i	b	i		i	i							m	1	1	0, -3, 1		0	0
2	0.5	1	1	1/2	1/2	3/4	2	1	#viio6(2)	b	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
5/2	0.5	1	1	5/8	5/8	3/4	2	1	#viio6	b	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
3	2.0	2	2	0	0	3/4	2	1	i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
5	0.5	2	2	1/2	1/2	3/4	2	1	#viio6(2)	b	i		#viio6(2)	#vii	o	6	2				o	1	1	2, -1, 0		5	2
11/2	0.5	2	2	5/8	5/8	3/4	2	1	#viio6	b	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
6	0.5	3	3	0	0	3/4	2	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
13/2	0.5	3	3	1/8	1/8	3/4	2	1	VI6	b	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
7	0.5	3	3	1/4	1/4	3/4	2	1	V7/III	b	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
15/2	0.5	3	3	3/8	3/8	3/4	2	1	v65	b	i		v65	v		65					mm7	1	1	-2, 2, -1, 1		1	-2
8	0.5	3	3	1/2	1/2	3/4	2	1	VIM7	b	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
17/2	0.5	3	3	5/8	5/8	3/4	2	1	iv65	b	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
9	0.5	4	4	0	0	3/4	2	1	V7(4)	b	i		V7(4)	V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
19/2	1.5	4	4	1/8	1/8	3/4	2	1	V7	b	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
11	1.0	4	4	1/2	1/2	3/4	2	1	V65	b	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
12	0.5	5	5	0	0	3/4	2	1	i	b	i		i	i							m	1	1	0, -3, 1		0	0
25/2	0.5	5	5	1/8	1/8	3/4	2	1	VI6	b	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
13	0.5	5	5	1/4	1/4	3/4	2	1	V7/III	b	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2
27/2	0.5	5	5	3/8	3/8	3/4	2	1	v6	b	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
