mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	11/8	.g.V	g	i		V	V						M	1	1	1, 5, 2		1	1
2	2	0	iv	g	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
2	2	3/8	i	g	i		i	i						m	1	1	0, -3, 1		0	0
2	2	3/4	V	g	i		V	V						M	1	1	1, 5, 2		1	1
2	2	9/8	#viio6	g	i		#viio6	#vii	o	6				o	1	1	2, -1, 5		5	2
3	3	0	i6	g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
3	3	3/8	#viio6(2)	g	i		#viio6(2)	#vii	o	6	2			o	1	1	2, -1, 0		5	2
3	3	5/8	#viio6	g	i		#viio6	#vii	o	6				o	1	1	2, -1, 5		5	2
3	3	3/4	i	g	i		i	i						m	1	1	0, -3, 1		0	0
4	4	3/8	v	g	i		v	v						m	1	1	1, -2, 2		1	1
4	4	3/4	V/v	g	i		V/v	V				v		M	1	1	2, 6, 3		2	2
4	4	9/8	#viio6/v	g	i		#viio6/v	#vii	o	6		v		o	1	1	3, 0, 6		6	3
5	5	0	v6	g	i		v6	v		6				m	1	1	-2, 2, 1		1	-2
5	5	3/8	#viio6(2)/v	g	i		#viio6(2)/v	#vii	o	6	2	v		o	1	1	3, 0, 1		6	3
5	5	5/8	#viio6/v	g	i		#viio6/v	#vii	o	6		v		o	1	1	3, 0, 6		6	3
5	5	3/4	v	g	i		v	v						m	1	1	1, -2, 2		1	1
6	6	0	#vi%7	g	i		#vi%7	#vi	%	7				%7	1	1	3, 2, 9, 1		3	3
6	6	3/8	IV6	g	i		IV6	IV		6				M	1	1	3, 0, -1		-1	3
6	6	3/4	iio	g	i		iio	ii	o					o	1	1	2, -1, -4		2	2
6	6	1	V6	g	i		V6	V		6				M	1	1	5, 2, 1		1	5
6	6	9/8	i	g	i		i	i						m	1	1	0, -3, 1		0	0
6	6	11/8	IV6	g	i		IV6	IV		6				M	1	1	3, 0, -1		-1	3
7	7	0	#viio	g	i		#viio	#vii	o					o	1	1	5, 2, -1		5	5
7	7	1/4	i64	g	i		i64	i		64				m	1	1	1, 0, -3		0	1
7	7	3/8	IV6	g	i		IV6	IV		6				M	1	1	3, 0, -1		-1	3
7	7	5/8	V	g	i		V	V						M	1	1	1, 5, 2		1	1
7	7	3/4	VI	g	i		VI	VI						M	1	1	-4, 0, -3		-4	-4
7	7	1	iv	g	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
7	7	9/8	i	g	i		i	i						m	1	1	0, -3, 1		0	0
8	8	0	V	g	i		V	V						M	1	1	1, 5, 2		1	1
8	8	3/8	#viio6	g	i		#viio6	#vii	o	6				o	1	1	2, -1, 5		5	2
8	8	3/4	i6	g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
8	8	9/8	#viio6(2)	g	i		#viio6(2)	#vii	o	6	2			o	1	1	2, -1, 0		5	2
8	8	11/8	#viio6	g	i		#viio6	#vii	o	6				o	1	1	2, -1, 5		5	2
9	9	0	i(9)	g	i		i(9)	i			9			m	1	1	0, -3, 1	2	0	0
9	9	3/8	i6	g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
9	9	3/4	v(4)	g	i		v(4)	v			4			m	1	1	1, 0, 2		1	1
9	9	9/8	v	g	i		v	v						m	1	1	1, -2, 2		1	1
10	10	0	VI(9)	g	i		VI(9)	VI			9			M	1	1	-4, 0, -3	-2	-4	-4
10	10	3/8	VI6	g	i		VI6	VI		6				M	1	1	0, -3, -4		-4	0
10	10	3/4	III(4)	g	i		III(4)	III			4			M	1	1	-3, -4, -2		-3	-3
10	10	9/8	III	g	i		III	III						M	1	1	-3, 1, -2		-3	-3
11	11	0	iv(9)	g	i		iv(9)	iv			9			m	1	1	-1, -4, 0	1	-1	-1
11	11	3/8	iv6	g	i		iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
11	11	3/4	i(4)	g	i		i(4)	i			4			m	1	1	0, -1, 1		0	0
11	11	9/8	i	g	i		i	i						m	1	1	0, -3, 1		0	0
