quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	1.0	1	1	0	0	6/8	2	1	Eb.V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
1	0.5	1	1	1/4	1/4	6/8	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
3/2	1.0	1	1	3/8	3/8	6/8	2	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
5/2	0.5	1	1	5/8	5/8	6/8	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
3	1.5	2	2	0	0	6/8	2	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
9/2	1.5	2	2	3/8	3/8	6/8	2	1	viio6	Eb	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
6	1.0	3	3	0	0	6/8	2	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
7	0.5	3	3	1/4	1/4	6/8	2	1	V2	Eb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
15/2	1.0	3	3	3/8	3/8	6/8	2	1	I6	Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
17/2	0.5	3	3	5/8	5/8	6/8	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
9	1.0	4	4	0	0	6/8	2	1	viio	Eb	I		viio	vii	o						o	0	0	5, 2, -1		5	5
10	0.5	4	4	1/4	1/4	6/8	2	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
21/2	1.0	4	4	3/8	3/8	6/8	2	1	vi	Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
23/2	0.5	4	4	5/8	5/8	6/8	2	1	viio/V	Eb	I		viio/V	vii	o			V			o	0	0	6, 3, 0		6	6
12	1.0	5	5	0	0	6/8	2	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
13	0.5	5	5	1/4	1/4	6/8	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
27/2	1.0	5	5	3/8	3/8	6/8	2	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
29/2	0.5	5	5	5/8	5/8	6/8	2	1	I	Eb	I		I	I							M	0	0	0, 4, 1		0	0
15	1.0	6	6	0	0	6/8	2	1	V2	Eb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
