mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	3.0	0	1/2	2/2	2	1		D.I[I64{		D	I	I	I64	I		64				{	M	0	0	1, 0, 4		0	1
2	1	3	3	1.0	1/4	1/4	2/2	2	1		V2/IV		D	I	I	V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
2	1	4	4	1.0	1/2	1/2	2/2	2	1		IV6		D	I	I	IV6	IV		6					M	0	0	3, 0, -1		-1	3
2	1	5	5	1.0	3/4	3/4	2/2	2	1		I64		D	I	I	I64	I		64					M	0	0	1, 0, 4		0	1
3	2	6	6	3.0	0	0	2/2	2	1		ii6		D	I	I	ii6	ii		6					m	0	0	-1, 3, 2		2	-1
3	2	9	9	1.0	3/4	3/4	2/2	2	1		ii		D	I	I	ii	ii							m	0	0	2, -1, 3		2	2
4	3	10	10	1.0	0	0	2/2	2	1		viio		D	I	I	viio	vii	o						o	0	0	5, 2, -1		5	5
4	3	11	11	1.0	1/4	1/4	2/2	2	1		ii64		D	I	I	ii64	ii		64					m	0	0	3, 2, -1		2	3
4	3	12	12	1.0	1/2	1/2	2/2	2	1		I64	V(64)	D	I	I	I64	I		64					M	0	0	1, 0, 4		0	1
4	3	13	13	1.0	3/4	3/4	2/2	2	1		viio64	V2	D	I	I	viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
5	4	14	14	2.0	0	0	2/2	2	1		I6|PAC}		D	I	I	I6	I		6			PAC	}	M	0	0	4, 1, 0		0	4
5	4	16	16	2.0	1/2	1/2	2/2	2	1		I64{		D	I	I	I64	I		64				{	M	0	0	1, 0, 4		0	1
6	5	18	18	1.0	0	0	2/2	2	1		I		D	I	I	I	I							M	0	0	0, 4, 1		0	0
6	5	19	19	1.0	1/4	1/4	2/2	2	1		V2/IV		D	I	I	V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
6	5	20	20	1.0	1/2	1/2	2/2	2	1		IV6		D	I	I	IV6	IV		6					M	0	0	3, 0, -1		-1	3
6	5	21	21	1.0	3/4	3/4	2/2	2	1		I64		D	I	I	I64	I		64					M	0	0	1, 0, 4		0	1
7	6	22	22	1.0	0	0	2/2	2	1		ii6		D	I	I	ii6	ii		6					m	0	0	-1, 3, 2		2	-1
7	6	23	23	1.0	1/4	1/4	2/2	2	1		I6		D	I	I	I6	I		6					M	0	0	4, 1, 0		0	4
