quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	0.5	1	1	0	0	3/4	2	1		Eb.I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
1/2	0.5	1	1	1/8	1/8	3/4	2	1		V64		Eb	I		V64	V		64					M	0	0	2, 1, 5		1	2
1	1.0	1	1	1/4	1/4	3/4	2	1		V65/IV		Eb	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
2	1.0	1	1	1/2	1/2	3/4	2	1		V7/IV		Eb	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
3	1.0	2	2	0	0	3/4	2	1		IV		Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
4	1.0	2	2	1/4	1/4	3/4	2	1		I6		Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
5	1.0	2	2	1/2	1/2	3/4	2	1		ii	viio6	Eb	I		ii	ii							m	0	0	2, -1, 3		2	2
6	1.0	3	3	0	0	3/4	2	1		I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
7	1.5	3	3	1/4	1/4	3/4	2	1		V2/IV		Eb	I		V2/IV	V		2		IV			Mm7	0	0	-2, 0, 4, 1		0	-2
17/2	1.5	3	3	5/8	5/8	3/4	2	1		IV6		Eb	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
10	1.0	4	4	1/4	1/4	3/4	2	1		I64		Eb	I		I64	I		64					M	0	0	1, 0, 4		0	1
11	1.0	4	4	1/2	1/2	3/4	2	1		ii6		Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
12	1.0	5	5	0	0	3/4	2	1		I6		Eb	I		I6	I		6					M	0	0	4, 1, 0		0	4
13	1.0	5	5	1/4	1/4	3/4	2	1		I		Eb	I		I	I							M	0	0	0, 4, 1		0	0
14	1.0	5	5	1/2	1/2	3/4	2	1		V6		Eb	I		V6	V		6					M	0	0	5, 2, 1		1	5
