mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.0	0	1/2	2/2	2	1		d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	0	1	1	1.0	1/4	3/4	2/2	2	1		V6	V	d	i		V6	V		6					M	1	1	5, 2, 1		1	5
2	1	2	2	2.0	0	0	2/2	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
2	1	4	4	1.0	1/2	1/2	2/2	2	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
2	1	5	5	1.0	3/4	3/4	2/2	2	1		iv7(9)		d	i		iv7(9)	iv		7	9				mm7	1	1	-1, -4, 0, -3	1	-1	-1
3	2	6	6	4.0	0	0	2/2	2	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
4	3	10	10	2.0	0	0	2/2	2	1		V65		d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
4	3	12	12	1.5	1/2	1/2	2/2	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
4	3	27/2	27/2	0.5	7/8	7/8	2/2	2	1		iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	4	14	14	1.0	0	0	2/2	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
5	4	15	15	1.0	1/4	1/4	2/2	2	1		i|PAC}		d	i		i	i					PAC	}	m	1	1	0, -3, 1		0	0
5	4	16	16	1.0	1/2	1/2	2/2	2	1		i6{		d	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
5	4	17	17	1.0	3/4	3/4	2/2	2	1		V65	V7	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
6	5	18	18	2.0	0	0	2/2	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
6	5	20	20	1.0	1/2	1/2	2/2	2	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
6	5	21	21	1.0	3/4	3/4	2/2	2	1		iv7(9)		d	i		iv7(9)	iv		7	9				mm7	1	1	-1, -4, 0, -3	1	-1	-1
7	6	22	22	2.0	0	0	2/2	2	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
7	6	24	24	2.0	1/2	1/2	2/2	2	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
8	7	26	26	1.5	0	0	2/2	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
8	7	55/2	55/2	0.5	3/8	3/8	2/2	2	1		VI6		d	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
8	7	28	28	2.0	1/2	1/2	2/2	2	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
9	8		30		0	0	2/2	2	1	1	V|HC}		d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
10	8	30	32	2.0	0	0	2/2	2	1	2	V|HC}		d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
11	8	32	34	1.0	0	1/2	2/2	2	1		v.i{		d	v		i	i						{	m	1	1	0, -3, 1		0	0
11	8	33	35	1.0	1/4	3/4	2/2	2	1		V		d	v		V	V							M	1	1	1, 5, 2		1	1
12	9	34	36	2.0	0	0	2/2	2	1		i		d	v		i	i							m	1	1	0, -3, 1		0	0
12	9	36	38	1.0	1/2	1/2	2/2	2	1		iv6		d	v		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
12	9	37	39	1.0	3/4	3/4	2/2	2	1		iv7		d	v		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
13	10	38	40	3.0	0	0	2/2	2	1		VII		d	v		VII	VII							M	1	1	-2, 2, -1		-2	-2
13	10	41	43	1.0	3/4	3/4	2/2	2	1		v		d	v		v	v							m	1	1	1, -2, 2		1	1
14	11	42	44	2.0	0	0	2/2	2	1		i		d	v		i	i							m	1	1	0, -3, 1		0	0
14	11	44	46	1.0	1/2	1/2	2/2	2	1		V43/III		d	v		V43/III	V		43		III			Mm7	1	1	-1, -4, -2, 2		-2	-1
14	11	45	47	0.5	3/4	3/4	2/2	2	1		III		d	v		III	III							M	1	1	-3, 1, -2		-3	-3
14	11	91/2	95/2	0.5	7/8	7/8	2/2	2	1		IV/III		d	v		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
15	12	46	48	1.0	0	0	2/2	2	1		V/III		d	v		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
15	12	47	49	1.0	1/4	1/4	2/2	2	1		I/III|PAC}		d	v		I/III	I				III	PAC	}	M	1	1	-3, 1, -2		-3	-3
15	12	48	50	1.0	1/2	1/2	2/2	2	1		i{		d	v		i	i						{	m	1	1	0, -3, 1		0	0
15	12	49	51	1.0	3/4	3/4	2/2	2	1		#viio6/vii		d	v		#viio6/vii	#vii	o	6		vii			o	1	1	0, -3, 3		3	0
16	13	50	52	2.0	0	0	2/2	2	1		iv.V		d	iv		V	V							M	1	1	1, 5, 2		1	1
16	13	52	54	1.0	1/2	1/2	2/2	2	1		i6		d	iv		i6	i		6					m	1	1	-3, 1, 0		0	-3
16	13	53	55	1.0	3/4	3/4	2/2	2	1		V6		d	iv		V6	V		6					M	1	1	5, 2, 1		1	5
17	14	54	56	2.0	0	0	2/2	2	1		i		d	iv		i	i							m	1	1	0, -3, 1		0	0
17	14	56	58	1.0	1/2	1/2	2/2	2	1		V65		d	iv		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
17	14	57	59	1.0	3/4	3/4	2/2	2	1		V		d	iv		V	V							M	1	1	1, 5, 2		1	1
18	15	58	60	1.0	0	0	2/2	2	1		i		d	iv		i	i							m	1	1	0, -3, 1		0	0
18	15	59	61	1.0	1/4	1/4	2/2	2	1		i6		d	iv		i6	i		6					m	1	1	-3, 1, 0		0	-3
18	15	60	62	1.0	1/2	1/2	2/2	2	1		iio6(+4)		d	iv		iio6(+4)	ii	o	6	+4				o	1	1	-1, -4, 2	1	2	-1
18	15	61	63	1.0	3/4	3/4	2/2	2	1		V		d	iv		V	V							M	1	1	1, 5, 2		1	1
19	16	62	64	1.0	0	0	2/2	2	1		V6/iv|EC}{		d	iv		V6/iv	V		6		iv	EC	}{	M	1	1	4, 1, 0		0	4
19	16	63	65	1.0	1/4	1/4	2/2	2	1		V7/iv		d	iv		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
19	16	64	66	1.0	1/2	1/2	2/2	2	1		IV6(+2)/iv		d	iv		IV6(+2)/iv	IV		6	+2	iv			M	1	1	2, -1, -2	0	-2	2
19	16	65	67	1.0	3/4	3/4	2/2	2	1		V6/iv		d	iv		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
20	17	66	68	1.0	0	0	2/2	2	1		iv		d	iv		iv	iv							m	1	1	-1, -4, 0		-1	-1
20	17	67	69	1.0	1/4	1/4	2/2	2	1		V64/iv		d	iv		V64/iv	V		64		iv			M	1	1	1, 0, 4		0	1
20	17	68	70	1.0	1/2	1/2	2/2	2	1		iv		d	iv		iv	iv							m	1	1	-1, -4, 0		-1	-1
20	17	69	71	1.0	3/4	3/4	2/2	2	1		VII7(+9)		d	iv		VII7(+9)	VII		7	+9				Mm7	1	1	-2, 2, -1, -4	0	-2	-2
21	18	70	72	1.0	0	0	2/2	2	1		i		d	iv		i	i							m	1	1	0, -3, 1		0	0
21	18	71	73	1.0	1/4	1/4	2/2	2	1		ii%7		d	iv		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
21	18	72	74	1.0	1/2	1/2	2/2	2	1		i6		d	iv		i6	i		6					m	1	1	-3, 1, 0		0	-3
21	18	73	75	1.0	3/4	3/4	2/2	2	1		i		d	iv		i	i							m	1	1	0, -3, 1		0	0
22	19	74	76	2.0	0	0	2/2	2	1		V(64)		d	iv		V(64)	V			64				M	1	1	1, 0, -3		1	1
22	19	76	78	2.0	1/2	1/2	2/2	2	1		V		d	iv		V	V							M	1	1	1, 5, 2		1	1
23	20	78	80	3.0	0	0	2/2	2	1		i|PAC}		d	iv		i	i					PAC	}	m	1	1	0, -3, 1		0	0
23	20	80	82	0.0	1/2	1/2	2/2	2	1		{		d	iv									{		1	1				
23	20	81	83	1.0	3/4	3/4	2/2	2	1		v6		d	iv		v6	v		6					m	1	1	-2, 2, 1		1	-2
24	21	82	84	2.0	0	0	2/2	2	1		i.ii%7		d	i		ii%7	ii	%	7					%7	1	1	2, -1, -4, 0		2	2
24	21	84	86	1.0	1/2	1/2	2/2	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
24	21	85	87	1.0	3/4	3/4	2/2	2	1		V2		d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
25	22	86	88	1.0	0	0	2/2	2	1		i6		d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
25	22	87	89	1.0	1/4	1/4	2/2	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
25	22	88	90	1.0	1/2	1/2	2/2	2	1		V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
25	22	89	91	1.0	3/4	3/4	2/2	2	1		V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
26	23	90	92	1.0	0	0	2/2	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
26	23	91	93	1.0	1/4	1/4	2/2	2	1		i2	III64	d	i		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
26	23	92	94	1.0	1/2	1/2	2/2	2	1		iv65		d	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
26	23	93	95	1.0	3/4	3/4	2/2	2	1		ii%65		d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
27	24	94	96	2.0	0	0	2/2	2	1		V|HC}		d	i		V	V					HC	}	M	1	1	1, 5, 2		1	1
27	24	96	98	1.0	1/2	1/2	2/2	2	1		i6{		d	i		i6	i		6				{	m	1	1	-3, 1, 0		0	-3
27	24	97	99	1.0	3/4	3/4	2/2	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
28	25	98	100	2.0	0	0	2/2	2	1		VIM7		d	i		VIM7	VI	M	7					MM7	1	1	-4, 0, -3, 1		-4	-4
28	25	100	102	1.0	1/2	1/2	2/2	2	1		iv7		d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
28	25	101	103	1.0	3/4	3/4	2/2	2	1		iv7(9)		d	i		iv7(9)	iv		7	9				mm7	1	1	-1, -4, 0, -3	1	-1	-1
29	26	102	104	2.0	0	0	2/2	2	1		VII(4)		d	i		VII(4)	VII			4				M	1	1	-2, -3, -1		-2	-2
29	26	104	106	2.0	1/2	1/2	2/2	2	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
30	27	106	108	2.0	0	0	2/2	2	1		#viio7		d	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
30	27	108	110	1.0	1/2	1/2	2/2	2	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
30	27	109	111	1.0	3/4	3/4	2/2	2	1		iv7		d	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
31	28	110	112	1.0	0	0	2/2	2	1		V		d	i		V	V							M	1	1	1, 5, 2		1	1
