mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	1.0	0	0	3/4	2	1		F.I{		F	I		I	I						{	M	0	0	0, 4, 1		0	0
1	1	1	1	1.0	1/4	1/4	3/4	2	1		V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
1	1	2	2	1.0	1/2	1/2	3/4	2	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
2	2	3	3	2.0	0	0	3/4	2	1		I		F	I		I	I							M	0	0	0, 4, 1		0	0
2	2	5	5	1.0	1/2	1/2	3/4	2	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	3	6	6	1.0	0	0	3/4	2	1		I64	iii6	F	I		I64	I		64					M	0	0	1, 0, 4		0	1
3	3	7	7	1.0	1/4	1/4	3/4	2	1		V6		F	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	3	8	8	1.0	1/2	1/2	3/4	2	1		V6/ii		F	I		V6/ii	V		6		ii			M	0	0	7, 4, 3		3	7
4	4	9	9	1.0	0	0	3/4	2	1		ii}		F	I		ii	ii						}	m	0	0	2, -1, 3		2	2
4	4	10	10	1.0	1/4	1/4	3/4	2	1		ii6		F	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
4	4	11	11	1.0	1/2	1/2	3/4	2	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
5	5	12	12	1.0	0	0	3/4	2	1		viio{		F	I		viio	vii	o					{	o	0	0	5, 2, -1		5	5
5	5	13	13	1.0	1/4	1/4	3/4	2	1		vi		F	I		vi	vi							m	0	0	3, 0, 4		3	3
5	5	14	14	1.0	1/2	1/2	3/4	2	1		I	vi6	F	I		I	I							M	0	0	0, 4, 1		0	0
6	6	15	15	3.0	0	0	3/4	2	1		ii		F	I		ii	ii							m	0	0	2, -1, 3		2	2
7	7	18	18	1.0	0	0	3/4	2	1		V		F	I		V	V							M	0	0	1, 5, 2		1	1
7	7	19	19	1.0	1/4	1/4	3/4	2	1		vi	IV6	F	I		vi	vi							m	0	0	3, 0, 4		3	3
7	7	20	20	1.0	1/2	1/2	3/4	2	1		viio		F	I		viio	vii	o						o	0	0	5, 2, -1		5	5
8	8	21	21	1.0	0	0	3/4	2	1		I|IAC}		F	I		I	I					IAC	}	M	0	0	0, 4, 1		0	0
8	8	22	22	1.0	1/4	1/4	3/4	2	1		I64		F	I		I64	I		64					M	0	0	1, 0, 4		0	1
8	8	23	23	1.0	1/2	1/2	3/4	2	1		I6		F	I		I6	I		6					M	0	0	4, 1, 0		0	4
9	9	24	24	1.0	0	0	3/4	2	1		I{		F	I		I	I						{	M	0	0	0, 4, 1		0	0
9	9	25	25	1.0	1/4	1/4	3/4	2	1		V.viio64		F	V		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
9	9	26	26	1.0	1/2	1/2	3/4	2	1		viio6		F	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
10	10	27	27	1.0	0	0	3/4	2	1		I6		F	V		I6	I		6					M	0	0	4, 1, 0		0	4
10	10	28	28	1.0	1/4	1/4	3/4	2	1		ii6		F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
