mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	1.5	0	11/8	3/2	2	1	a.i{		a	i		i	i						{	m	1	1	0, -3, 1		0	0
2	1	3/2	3/2	1.0	1/4	1/4	3/2	2	1	i64		a	i		i64	i		64					m	1	1	1, 0, -3		0	1
2	1	5/2	5/2	2.0	1/2	1/2	3/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
2	1	9/2	9/2	1.0	1	1	3/2	2	1	V65		a	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
2	1	11/2	11/2	1.0	5/4	5/4	3/2	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
3	2	13/2	13/2	2.0	0	0	3/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
3	2	17/2	17/2	1.0	1/2	1/2	3/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	19/2	19/2	1.0	3/4	3/4	3/2	2	1	i64		a	i		i64	i		64					m	1	1	1, 0, -3		0	1
3	2	21/2	21/2	1.0	1	1	3/2	2	1	V2		a	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
3	2	23/2	23/2	2.5	5/4	5/4	3/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	14	14	0.5	3/8	3/8	3/2	2	1	V65/iv		a	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
4	3	29/2	29/2	1.0	1/2	1/2	3/2	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
4	3	31/2	31/2	1.0	3/4	3/4	3/2	2	1	#viio65		a	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
4	3	33/2	33/2	1.0	1	1	3/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	35/2	35/2	1.0	5/4	5/4	3/2	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	4	37/2	37/2	1.0	0	0	3/2	2	1	V(4)}		a	i		V(4)	V			4			}	M	1	1	1, 0, 2		1	1
5	4	39/2	39/2	1.0	1/4	1/4	3/2	2	1	V|HC		a	i		V	V					HC		M	1	1	1, 5, 2		1	1
5	4	41/2	41/2	2.0	1/2	1/2	3/2	2	1	#viio6		a	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
5	4	43/2	43/2	0.0	3/4	3/4	3/2	2	1	{		a	i									{		1	1				
5	4	45/2	45/2	2.0	1	1	3/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	49/2	49/2	2.0	0	0	3/2	2	1	#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
6	5	53/2	53/2	1.0	1/2	1/2	3/2	2	1	V7		a	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	5	55/2	55/2	1.0	3/4	3/4	3/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
6	5	57/2	57/2	2.0	1	1	3/2	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
7	6	61/2	61/2	2.0	0	0	3/2	2	1	V/VI		a	i		V/VI	V				VI			M	1	1	-3, 1, -2		-3	-3
7	6	65/2	65/2	1.0	1/2	1/2	3/2	2	1	V2/VI		a	i		V2/VI	V		2		VI			Mm7	1	1	-5, -3, 1, -2		-3	-5
7	6	67/2	67/2	0.5	3/4	3/4	3/2	2	1	VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
7	6	34	34	0.5	7/8	7/8	3/2	2	1	V/VI		a	i		V/VI	V				VI			M	1	1	-3, 1, -2		-3	-3
7	6	69/2	69/2	1.5	1	1	3/2	2	1	ii6/VI		a	i		ii6/VI	ii		6		VI			m	1	1	-5, -1, -2		-2	-5
7	6	36	36	0.5	11/8	11/8	3/2	2	1	V/VI		a	i		V/VI	V				VI			M	1	1	-3, 1, -2		-3	-3
8	7	73/2	73/2	2.0	0	0	3/2	2	1	VI		a	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
8	7	77/2	77/2	1.0	1/2	1/2	3/2	2	1	VI6		a	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
8	7	79/2	79/2	1.0	3/4	3/4	3/2	2	1	iv6		a	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
8	7	81/2	81/2	1.0	1	1	3/2	2	1	iv		a	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
8	7	83/2	83/2	1.0	5/4	5/4	3/2	2	1	viio/III		a	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
9	8	85/2	85/2	2.0	0	0	3/2	2	1	III.V7		a	III		V7	V		7					Mm7	1	0	1, 5, 2, -1		1	1
9	8	89/2	89/2	1.0	1/2	1/2	3/2	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0	0
9	8	91/2	91/2	1.0	3/4	3/4	3/2	2	1	I6		a	III		I6	I		6					M	1	0	4, 1, 0		0	4
9	8	93/2	93/2	2.0	1	1	3/2	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
10	9	97/2	97/2	2.0	0	0	3/2	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0	0
10	9	101/2	101/2	1.0	1/2	1/2	3/2	2	1	I6		a	III		I6	I		6					M	1	0	4, 1, 0		0	4
10	9	103/2	103/2	1.0	3/4	3/4	3/2	2	1	ii65		a	III		ii65	ii		65					mm7	1	0	-1, 3, 0, 2		2	-1
10	9	105/2	105/2	1.0	1	1	3/2	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
10	9	107/2	107/2	1.0	5/4	5/4	3/2	2	1	vi	IV6	a	III		vi	vi							m	1	0	3, 0, 4		3	3
11	10	109/2	109/2	1.5	0	0	3/2	2	1	V65		a	III		V65	V		65					Mm7	1	0	5, 2, -1, 1		1	5
11	10	56	56	0.5	3/8	3/8	3/2	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0	0
11	10	113/2	113/2	2.0	1/2	1/2	3/2	2	1	viio		a	III		viio	vii	o						o	1	0	5, 2, -1		5	5
11	10	117/2	117/2	2.0	1	1	3/2	2	1	V7/IV		a	III		V7/IV	V		7		IV			Mm7	1	0	0, 4, 1, -2		0	0
12	11	121/2	121/2	2.0	0	0	3/2	2	1	IV		a	III		IV	IV							M	1	0	-1, 3, 0		-1	-1
12	11	125/2	125/2	1.0	1/2	1/2	3/2	2	1	IV6		a	III		IV6	IV		6					M	1	0	3, 0, -1		-1	3
12	11	127/2	127/2	1.0	3/4	3/4	3/2	2	1	ii6		a	III		ii6	ii		6					m	1	0	-1, 3, 2		2	-1
12	11	129/2	129/2	2.0	1	1	3/2	2	1	V		a	III		V	V							M	1	0	1, 5, 2		1	1
13	12	133/2	133/2	8.0	0	0	3/2	2	1	I|PAC}		a	III		I	I					PAC	}	M	1	0	0, 4, 1		0	0
14	12	72	72	0.0	0	11/8	3/2	2	1	{		a	III									{		1	0				
15	13	149/2	149/2	1.0	1/2	1/2	3/2	2	1	I6		a	III		I6	I		6					M	1	0	4, 1, 0		0	4
15	13	151/2	151/2	1.0	3/4	3/4	3/2	2	1	I		a	III		I	I							M	1	0	0, 4, 1		0	0
15	13	153/2	153/2	1.0	1	1	3/2	2	1	i.IV		a	i		IV	IV							M	1	1	-1, 3, 0		-1	-1
15	13	155/2	155/2	1.0	5/4	5/4	3/2	2	1	ii7		a	i		ii7	ii		7					mm7	1	1	2, -1, 3, 0		2	2
16	14	157/2	157/2	2.0	0	0	3/2	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
16	14	161/2	161/2	1.0	1/2	1/2	3/2	2	1	ii6		a	i		ii6	ii		6					m	1	1	-1, 3, 2		2	-1
16	14	163/2	163/2	1.0	3/4	3/4	3/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
16	14	165/2	165/2	1.0	1	1	3/2	2	1	#viio		a	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
16	14	167/2	167/2	1.0	5/4	5/4	3/2	2	1	V		a	i		V	V							M	1	1	1, 5, 2		1	1
17	15	169/2	169/2	2.0	0	0	3/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
17	15	173/2	173/2	2.0	1/2	1/2	3/2	2	1	i6		a	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
17	15	177/2	177/2	2.0	1	1	3/2	2	1	iio6/iv		a	i		iio6/iv	ii	o	6		iv			o	1	1	-2, -5, 1		1	-2
18	16	181/2	181/2	2.0	0	0	3/2	2	1	V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
18	16	185/2	185/2	1.0	1/2	1/2	3/2	2	1	iio6/iv		a	i		iio6/iv	ii	o	6		iv			o	1	1	-2, -5, 1		1	-2
18	16	187/2	187/2	1.0	3/4	3/4	3/2	2	1	i/iv		a	i		i/iv	i				iv			m	1	1	-1, -4, 0		-1	-1
18	16	189/2	189/2	1.0	1	1	3/2	2	1	V65/iv		a	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
18	16	191/2	191/2	1.0	5/4	5/4	3/2	2	1	V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
19	17	193/2	193/2	1.0	0	0	3/2	2	1	i/iv		a	i		i/iv	i				iv			m	1	1	-1, -4, 0		-1	-1
19	17	195/2	195/2	1.0	1/4	1/4	3/2	2	1	iv65/iv		a	i		iv65/iv	iv		65		iv			mm7	1	1	-5, -1, -4, -2		-2	-5
19	17	197/2	197/2	1.0	1/2	1/2	3/2	2	1	i6/iv		a	i		i6/iv	i		6		iv			m	1	1	-4, 0, -1		-1	-4
19	17	199/2	199/2	1.0	3/4	3/4	3/2	2	1	ii%65/iv		a	i		ii%65/iv	ii	%	65		iv			%7	1	1	-2, -5, -1, 1		1	-2
19	17	201/2	201/2	1.0	1	1	3/2	2	1	V(64)/iv		a	i		V(64)/iv	V			64	iv			M	1	1	0, -1, -4		0	0
19	17	203/2	203/2	1.0	5/4	5/4	3/2	2	1	V/iv		a	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
20	18	205/2	205/2	2.0	0	0	3/2	2	1	i/iv|PAC}{		a	i		i/iv	i				iv	PAC	}{	m	1	1	-1, -4, 0		-1	-1
20	18	209/2	209/2	1.0	1/2	1/2	3/2	2	1	i6/iv		a	i		i6/iv	i		6		iv			m	1	1	-4, 0, -1		-1	-4
20	18	211/2	211/2	1.0	3/4	3/4	3/2	2	1	i/iv		a	i		i/iv	i				iv			m	1	1	-1, -4, 0		-1	-1
20	18	213/2	213/2	1.0	1	1	3/2	2	1	viio/III		a	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
20	18	215/2	215/2	1.0	5/4	5/4	3/2	2	1	V2/III		a	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
21	19	217/2	217/2	2.0	0	0	3/2	2	1	III6		a	i		III6	III		6					M	1	1	1, -2, -3		-3	1
21	19	221/2	221/2	2.0	1/2	1/2	3/2	2	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
21	19	225/2	225/2	1.0	1	1	3/2	2	1	viio/VII		a	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
21	19	227/2	227/2	1.0	5/4	5/4	3/2	2	1	V/VII		a	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
22	20	229/2	229/2	1.0	0	0	3/2	2	1	VII		a	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
22	20	231/2	231/2	1.0	1/4	1/4	3/2	2	1	V2/III		a	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
22	20	233/2	233/2	1.0	1/2	1/2	3/2	2	1	iii/III		a	i		iii/III	iii				III			m	1	1	1, -2, 2		1	1
22	20	235/2	235/2	1.0	3/4	3/4	3/2	2	1	viio6/III		a	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1
22	20	237/2	237/2	1.0	1	1	3/2	2	1	III		a	i		III	III							M	1	1	-3, 1, -2		-3	-3
22	20	239/2	239/2	1.0	5/4	5/4	3/2	2	1	i		a	i		i	i							m	1	1	0, -3, 1		0	0
23	21	241/2	241/2	2.0	0	0	3/2	2	1	V/VII		a	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
