mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	2.25	0	3/16	3/8	2	1	c.i		c	i		i	i							m	1	1	0, -3, 1		0	0
3	2	9/4	1.0	0	0	3/8	2	1	iio6		c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
3	2	13/4	0.5	1/4	1/4	3/8	2	1	iv6	VI	c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
4	3	15/4	1.0	0	0	3/8	2	1	V		c	i		V	V							M	1	1	1, 5, 2		1	1
4	3	19/4	0.5	1/4	1/4	3/8	2	1	#viio64		c	i		#viio64	#vii	o	64					o	1	1	-1, 5, 2		5	-1
5	4	21/4	1.5	0	0	3/8	2	1	i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	27/4	1.0	0	0	3/8	2	1	iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
6	5	31/4	0.5	1/4	1/4	3/8	2	1	iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
7	6	33/4	1.0	0	0	3/8	2	1	V		c	i		V	V							M	1	1	1, 5, 2		1	1
7	6	37/4	0.5	1/4	1/4	3/8	2	1	V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
8	7	39/4	1.5	0	0	3/8	2	1	i		c	i		i	i							m	1	1	0, -3, 1		0	0
9	8	45/4	1.0	0	0	3/8	2	1	V6		c	i		V6	V		6					M	1	1	5, 2, 1		1	5
9	8	49/4	0.5	1/4	1/4	3/8	2	1	V		c	i		V	V							M	1	1	1, 5, 2		1	1
10	9	51/4	1.0	0	0	3/8	2	1	i		c	i		i	i							m	1	1	0, -3, 1		0	0
10	9	55/4	0.5	1/4	1/4	3/8	2	1	V2/iv		c	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
11	10	57/4	1.0	0	0	3/8	2	1	iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
11	10	61/4	0.5	1/4	1/4	3/8	2	1	iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
12	11	63/4	1.5	0	0	3/8	2	1	VII		c	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
13	12	69/4	1.0	0	0	3/8	2	1	V6/VII		c	i		V6/VII	V		6		VII			M	1	1	3, 0, -1		-1	3
13	12	73/4	0.5	1/4	1/4	3/8	2	1	V/VII		c	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1
14	13	75/4	1.0	0	0	3/8	2	1	VII		c	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
14	13	79/4	0.5	1/4	1/4	3/8	2	1	V2/III		c	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
15	14	81/4	1.0	0	0	3/8	2	1	III6		c	i		III6	III		6					M	1	1	1, -2, -3		-3	1
15	14	85/4	0.5	1/4	1/4	3/8	2	1	III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
16	15	87/4	1.5	0	0	3/8	2	1	IV/III		c	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
17	16	93/4	1.5	0	0	3/8	2	1	ii/III		c	i		ii/III	ii				III			m	1	1	-1, -4, 0		-1	-1
18	17	99/4	3.0	0	0	3/8	2	1	viio/III		c	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
20	19	111/4	1.5	0	0	3/8	2	1	V/III		c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
21	20	117/4	1.0	0	0	3/8	2	1	V2/III		c	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
21	20	121/4	0.5	1/4	1/4	3/8	2	1	V64/III		c	i		V64/III	V		64		III			M	1	1	-1, -2, 2		-2	-1
22	21	123/4	1.5	0	0	3/8	2	1	III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
23	22	129/4	1.0	0	0	3/8	2	1	V(64)/III		c	i		V(64)/III	V			64	III			M	1	1	-2, -3, 1		-2	-2
23	22	133/4	0.5	1/4	1/4	3/8	2	1	V/III		c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
24	23	135/4	1.5	0	0	3/8	2	1	III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
25	24	141/4	1.0	0	0	3/8	2	1	i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
25	24	145/4	0.5	1/4	1/4	3/8	2	1	i		c	i		i	i							m	1	1	0, -3, 1		0	0
26	25	147/4	1.5	0	0	3/8	2	1	#viio/v		c	i		#viio/v	#vii	o			v			o	1	1	6, 3, 0		6	6
27	26	153/4	1.5	0	0	3/8	2	1	iio6/v		c	i		iio6/v	ii	o	6		v			o	1	1	0, -3, 3		3	0
28	27	159/4	1.5	0	0	3/8	2	1	iio/v		c	i		iio/v	ii	o			v			o	1	1	3, 0, -3		3	3
29	28	165/4	1.0	0	0	3/8	2	1	V/v		c	i		V/v	V				v			M	1	1	2, 6, 3		2	2
29	28	169/4	0.5	1/4	1/4	3/8	2	1	V2/v		c	i		V2/v	V		2		v			Mm7	1	1	0, 2, 6, 3		2	0
30	29	171/4	1.0	0	0	3/8	2	1	v6		c	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
30	29	175/4	0.5	1/4	1/4	3/8	2	1	v		c	i		v	v							m	1	1	1, -2, 2		1	1
31	30	177/4	1.5	0	0	3/8	2	1	V/V		c	i		V/V	V				V			M	1	1	2, 6, 3		2	2
32	31	183/4	4.5	0	0	3/8	2	1	V\\		c	i		V	V						\\	M	1	1	1, 5, 2		1	1
36	34	201/4	1.0	0	0	3/8	2	1	#viio		c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
36	34	205/4	0.5	1/4	1/4	3/8	2	1	V7		c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
37	35	207/4	1.5	0	0	3/8	2	1	i(4)		c	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
38	36	213/4	1.0	0	0	3/8	2	1	i		c	i		i	i							m	1	1	0, -3, 1		0	0
38	36	217/4	0.5	1/4	1/4	3/8	2	1	iio/iv		c	i		iio/iv	ii	o			iv			o	1	1	1, -2, -5		1	1
39	37	219/4	1.0	0	0	3/8	2	1	#viio7/iv		c	i		#viio7/iv	#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
39	37	223/4	0.5	1/4	1/4	3/8	2	1	V/iv		c	i		V/iv	V				iv			M	1	1	0, 4, 1		0	0
40	38	225/4	1.0	0	0	3/8	2	1	#viio64/iv		c	i		#viio64/iv	#vii	o	64		iv			o	1	1	-2, 4, 1		4	-2
40	38	229/4	0.5	1/4	1/4	3/8	2	1	V2/iv		c	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
41	39	231/4	1.5	0	0	3/8	2	1	iv6(4)		c	i		iv6(4)	iv		6	4				m	1	1	-2, 0, -1		-1	-2
42	40	237/4	0.5	0	0	3/8	2	1	iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
42	40	239/4	1.0	1/8	1/8	3/8	2	1	iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
43	41	243/4	1.5	0	0	3/8	2	1	V64/III		c	i		V64/III	V		64		III			M	1	1	-1, -2, 2		-2	-1
44	42	249/4	1.0	0	0	3/8	2	1	III6		c	i		III6	III		6					M	1	1	1, -2, -3		-3	1
44	42	253/4	0.5	1/4	1/4	3/8	2	1	III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
45	43	255/4	1.0	0	0	3/8	2	1	VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
45	43	259/4	0.5	1/4	1/4	3/8	2	1	iv6(#7)		c	i		iv6(#7)	iv		6	#7				m	1	1	-4, 0, 4		-1	-4
46	44	261/4	1.0	0	0	3/8	2	1	iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
46	44	265/4	0.5	1/4	1/4	3/8	2	1	V6		c	i		V6	V		6					M	1	1	5, 2, 1		1	5
47	45	267/4	1.5	0	0	3/8	2	1	i		c	i		i	i							m	1	1	0, -3, 1		0	0
48	46	273/4	1.0	0	0	3/8	2	1	iv6		c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
48	46	277/4	0.5	1/4	1/4	3/8	2	1	iv		c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
49	47	279/4	1.0	0	0	3/8	2	1	i(4)		c	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
49	47	283/4	0.5	1/4	1/4	3/8	2	1	i		c	i		i	i							m	1	1	0, -3, 1		0	0
50	48	285/4	1.0	0	0	3/8	2	1	IV/III		c	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
50	48	289/4	0.5	1/4	1/4	3/8	2	1	V/III		c	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
51	49	291/4	1.5	0	0	3/8	2	1	III		c	i		III	III							M	1	1	-3, 1, -2		-3	-3
52	50	297/4	1.0	0	0	3/8	2	1	VI6		c	i		VI6	VI		6					M	1	1	0, -3, -4		-4	0
52	50	301/4	0.5	1/4	1/4	3/8	2	1	VI		c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
53	51	303/4	1.0	0	0	3/8	2	1	i6(6)		c	i		i6(6)	i		6	6				m	1	1	-3, -4, 0		0	-3
53	51	307/4	0.5	1/4	1/4	3/8	2	1	i6(#7)		c	i		i6(#7)	i		6	#7				m	1	1	-3, 1, 5		0	-3
54	52	309/4	1.0	0	0	3/8	2	1	i6		c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
