mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	15/16	4/4	1	1	.d.i	d	i		i	i						m	1	1	0, -3, 1		0	0
2	1	1/8	1/8	4/4	1	1	i6	d	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
2	1	1/4	1/4	4/4	1	1	i[i	d	i	i	i	i						m	1	1	0, -3, 1		0	0
2	1	1/2	1/2	4/4	1	1	V43	d	i	i	V43	V		43				Mm7	1	1	2, -1, 1, 5		1	2
2	1	3/4	3/4	4/4	1	1	#viio(2)/iv	d	i	i	#viio(2)/iv	#vii	o		2	iv		o	1	1	-1, 1, -2		4	-1
3	2	0	0	4/4	1	1	#viio7/iv	d	i	i	#viio7/iv	#vii	o	7		iv		o7	1	1	4, 1, -2, -5		4	4
3	2	1/4	1/4	4/4	1	1	V65/iv	d	i	i	V65/iv	V		65		iv		Mm7	1	1	4, 1, -2, 0		0	4
3	2	1/2	1/2	4/4	1	1	iv	d	i	i	iv	iv						m	1	1	-1, -4, 0		-1	-1
3	2	5/8	5/8	4/4	1	1	iv6	d	i	i	iv6	iv		6				m	1	1	-4, 0, -1		-1	-4
3	2	7/8	7/8	4/4	1	1	iv	d	i	i	iv	iv						m	1	1	-1, -4, 0		-1	-1
4	3	0	0	4/4	1	1	#viio65	d	i	i	#viio65	#vii	o	65				o7	1	1	2, -1, -4, 5		5	2
4	3	1/4	1/4	4/4	1	1	#viio7	d	i	i	#viio7	#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
4	3	1/2	1/2	4/4	1	1	i]	d	i	i	i	i						m	1	1	0, -3, 1		0	0
4	3	3/4	3/4	4/4	1	1	VI	d	i		VI	VI						M	1	1	-4, 0, -3		-4	-4
4	3	7/8	7/8	4/4	1	1	iv	d	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
5	4	0	0	4/4	1	1	V65/III	d	i		V65/III	V		65		III		Mm7	1	1	2, -1, -4, -2		-2	2
5	4	1/4	1/4	4/4	1	1	V7/III	d	i		V7/III	V		7		III		Mm7	1	1	-2, 2, -1, -4		-2	-2
5	4	1/2	1/2	4/4	1	1	III	d	i		III	III						M	1	1	-3, 1, -2		-3	-3
5	4	3/4	3/4	4/4	1	1	i	d	i		i	i						m	1	1	0, -3, 1		0	0
5	4	7/8	7/8	4/4	1	1	VI	d	i		VI	VI						M	1	1	-4, 0, -3		-4	-4
6	5	0	0	4/4	1	1	iv65	d	i		iv65	iv		65				mm7	1	1	-4, 0, -3, -1		-1	-4
6	5	1/4	1/4	4/4	1	1	iv7	d	i		iv7	iv		7				mm7	1	1	-1, -4, 0, -3		-1	-1
6	5	3/8	3/8	4/4	1	1	ii%65	d	i		ii%65	ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
6	5	1/2	1/2	4/4	1	1	V	d	i		V	V						M	1	1	1, 5, 2		1	1
6	5	3/4	3/4	4/4	1	1	III6	d	i		III6	III		6				M	1	1	1, -2, -3		-3	1
7	6	0	0	4/4	1	1	viio7/V	d	i		viio7/V	vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
7	6	1/8	1/8	4/4	1	1	V7/V	d	i		V7/V	V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
7	6	1/4	1/4	4/4	1	1	ii%65	d	i		ii%65	ii	%	65				%7	1	1	-1, -4, 0, 2		2	-1
7	6	1/2	1/2	4/4	1	1	V43	d	i		V43	V		43				Mm7	1	1	2, -1, 1, 5		1	2
7	6	11/16	11/16	4/4	1	1	iio64	d	i		iio64	ii	o	64				o	1	1	-4, 2, -1		2	-4
7	6	3/4	3/4	4/4	1	1	V	d	i		V	V						M	1	1	1, 5, 2		1	1
7	6	13/16	13/16	4/4	1	1	iio6	d	i		iio6	ii	o	6				o	1	1	-1, -4, 2		2	-1
7	6	7/8	7/8	4/4	1	1	i6	d	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
7	6	15/16	15/16	4/4	1	1	#viio6	d	i		#viio6	#vii	o	6				o	1	1	2, -1, 5		5	2
8	7	0	0	4/4	1	1	i6	d	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
8	7	1/8	1/8	4/4	1	1	i	d	i		i	i						m	1	1	0, -3, 1		0	0
8	7	1/2	1/2	4/4	1	1	V6/V	d	i		V6/V	V		6		V		M	1	1	6, 3, 2		2	6
8	7	5/8	5/8	4/4	1	1	viio7/V	d	i		viio7/V	vii	o	7		V		o7	1	1	6, 3, 0, -3		6	6
8	7	3/4	3/4	4/4	1	1	iv7/v	d	i		iv7/v	iv		7		v		mm7	1	1	0, -3, 1, -2		0	0
8	7	7/8	7/8	4/4	1	1	V(64)/v	d	i		V(64)/v	V			64	v		M	1	1	2, 1, -2		2	2
8	7	15/16	15/16	4/4	1	1	viio64/V	d	i		viio64/V	vii	o	64		V		o	1	1	0, 6, 3		6	0
9	8	0	0	4/4	1	1	V6	d	i		V6	V		6				M	1	1	5, 2, 1		1	5
9	8	3/16	3/16	4/4	1	1	#viio7	d	i		#viio7	#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
9	8	1/4	1/4	4/4	1	1	V6	d	i		V6	V		6				M	1	1	5, 2, 1		1	5
9	8	5/16	5/16	4/4	1	1	#viio	d	i		#viio	#vii	o					o	1	1	5, 2, -1		5	5
9	8	3/8	3/8	4/4	1	1	i	d	i		i	i						m	1	1	0, -3, 1		0	0
9	8	7/16	7/16	4/4	1	1	#viio	d	i		#viio	#vii	o					o	1	1	5, 2, -1		5	5
9	8	1/2	1/2	4/4	1	1	i	d	i		i	i						m	1	1	0, -3, 1		0	0
9	8	5/8	5/8	4/4	1	1	i6	d	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
9	8	7/8	7/8	4/4	1	1	i	d	i		i	i						m	1	1	0, -3, 1		0	0
10	9	0	0	4/4	1	1	V7/v	d	i		V7/v	V		7		v		Mm7	1	1	2, 6, 3, 0		2	2
10	9	1/8	1/8	4/4	1	1	#viio43/v	d	i		#viio43/v	#vii	o	43		v		o7	1	1	0, -3, 6, 3		6	0
10	9	1/4	1/4	4/4	1	1	#viio7/v	d	i		#viio7/v	#vii	o	7		v		o7	1	1	6, 3, 0, -3		6	6
10	9	1/2	1/2	4/4	1	1	v(94)	d	i		v(94)	v			94			m	1	1	1, 0, 2	-4	1	1
10	9	5/8	5/8	4/4	1	1	v	d	i		v	v						m	1	1	1, -2, 2		1	1
10	9	3/4	3/4	4/4	1	1	#viio6	d	i		#viio6	#vii	o	6				o	1	1	2, -1, 5		5	2
10	9	7/8	7/8	4/4	1	1	#viio	d	i		#viio	#vii	o					o	1	1	5, 2, -1		5	5
11	10	0	0	4/4	1	1	i(94)	d	i		i(94)	i			94			m	1	1	0, -1, 1	2	0	0
11	10	1/8	1/8	4/4	1	1	i	d	i		i	i						m	1	1	0, -3, 1		0	0
11	10	1/4	1/4	4/4	1	1	iio6/v	d	i		iio6/v	ii	o	6		v		o	1	1	0, -3, 3		3	0
11	10	3/8	3/8	4/4	1	1	iio/v	d	i		iio/v	ii	o			v		o	1	1	3, 0, -3		3	3
11	10	1/2	1/2	4/4	1	1	V65/v	d	i		V65/v	V		65		v		Mm7	1	1	6, 3, 0, 2		2	6
11	10	3/4	3/4	4/4	1	1	#viio7/v	d	i		#viio7/v	#vii	o	7		v		o7	1	1	6, 3, 0, -3		6	6
12	11	0	0	4/4	1	1	V2/v	d	i		V2/v	V		2		v		Mm7	1	1	0, 2, 6, 3		2	0
12	11	1/4	1/4	4/4	1	1	v6	d	i		v6	v		6				m	1	1	-2, 2, 1		1	-2
12	11	3/8	3/8	4/4	1	1	#viio/v	d	i		#viio/v	#vii	o			v		o	1	1	6, 3, 0		6	6
12	11	1/2	1/2	4/4	1	1	v(9)	d	i		v(9)	v			9			m	1	1	1, -2, 2	-4	1	1
12	11	5/8	5/8	4/4	1	1	iv7/v	d	i		iv7/v	iv		7		v		mm7	1	1	0, -3, 1, -2		0	0
12	11	11/16	11/16	4/4	1	1	ii%65/v	d	i		ii%65/v	ii	%	65		v		%7	1	1	0, -3, 1, 3		3	0
12	11	3/4	3/4	4/4	1	1	V(4)/v	d	i		V(4)/v	V			4	v		M	1	1	2, 1, 3		2	2
12	11	7/8	7/8	4/4	1	1	V/v	d	i		V/v	V				v		M	1	1	2, 6, 3		2	2
13	12	0	0	4/4	1	1	V[V	d	i	V	V	V						M	1	1	1, 5, 2		1	1
13	12	1/4	1/4	4/4	1	1	viio2/V	d	i	V	viio2/V	vii	o	2		V		o7	1	1	-3, 6, 3, 0		6	-3
13	12	1/2	1/2	4/4	1	1	V\\	d	i	V	V	V					\\	M	1	1	1, 5, 2		1	1
15	13	0	0	4/4	1	1	V7	d	i	V	V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
15	13	1/4	1/4	4/4	1	1	V]	d	i	V	V	V						M	1	1	1, 5, 2		1	1
15	13	1/2	1/2	4/4	1	1	V6	d	i		V6	V		6				M	1	1	5, 2, 1		1	5
15	13	5/8	5/8	4/4	1	1	V	d	i		V	V						M	1	1	1, 5, 2		1	1
15	13	3/4	3/4	4/4	1	1	#viio2	d	i		#viio2	#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
16	14	0	0	4/4	1	1	#viio7	d	i		#viio7	#vii	o	7				o7	1	1	5, 2, -1, -4		5	5
16	14	3/16	3/16	4/4	1	1	V7	d	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
16	14	1/4	1/4	4/4	1	1	i	d	i		i	i						m	1	1	0, -3, 1		0	0
16	14	1/2	1/2	4/4	1	1	i6	d	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
16	14	7/8	7/8	4/4	1	1	#viio	d	i		#viio	#vii	o					o	1	1	5, 2, -1		5	5
17	15	0	0	4/4	1	1	i	d	i		i	i						m	1	1	0, -3, 1		0	0
17	15	1/4	1/4	4/4	1	1	#viio7/iv	d	i		#viio7/iv	#vii	o	7		iv		o7	1	1	4, 1, -2, -5		4	4
17	15	1/2	1/2	4/4	1	1	#viio6/iv	d	i		#viio6/iv	#vii	o	6		iv		o	1	1	1, -2, 4		4	1
17	15	5/8	5/8	4/4	1	1	V65/iv	d	i		V65/iv	V		65		iv		Mm7	1	1	4, 1, -2, 0		0	4
17	15	3/4	3/4	4/4	1	1	V7/iv	d	i		V7/iv	V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
18	16	0	0	4/4	1	1	iv	d	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
