mc	mn	onset	label
1	0	3/4	.A.I
2	1	1/4	IV64
2	1	1/2	V7/IV
2	1	5/8	IV64
2	1	3/4	I
4	3	0	ii2
4	3	1/4	I
4	3	1/2	V65
4	3	3/4	V
5	4	0	I
5	4	1/4	I64
5	4	1/2	I6
5	4	3/4	I64
6	5	0	I
6	5	1/4	IV64
6	5	1/2	V7/IV
6	5	5/8	IV64
6	5	3/4	I
7	6	1/4	iii64
7	6	1/2	vi
7	6	3/4	V2/V
8	7	0	V6
8	7	1/4	V
8	7	1/2	V(64)
8	7	3/4	V
9	8	0	V
9	8	1/4	V64
9	8	1/2	V\\
11	9	1/4	V(64)
11	9	1/2	V7
11	9	3/4	V
12	10	3/4	I6
13	11	0	IV
13	11	1/4	vi64
13	11	1/2	viio6
13	11	3/4	ii6
14	12	0	V/vi
14	12	1/4	#vi%2/vi
14	12	1/2	V/vi
14	12	3/4	V7/vi
15	13	0	V/ii
15	13	1/4	V7/ii
15	13	1/2	ii64
15	13	3/4	V7/ii
16	14	0	ii64
16	14	1/2	vi
16	14	3/4	ii%2/vi
17	15	0	vi
17	15	1/4	iio6/vi
17	15	1/2	V(64)/vi
17	15	3/4	V/vi
18	16	0	vi
18	16	1/4	vi64
18	16	1/2	vi6
18	16	3/4	vi
19	17	0	V7/V
20	18	0	V(4)
20	18	1/4	V(94)
20	18	1/2	V
20	18	3/4	v
21	19	0	V7/IV
22	20	0	IV(4)
22	20	1/4	IV(94)
22	20	1/2	IV
22	20	3/4	ii6
23	21	0	V65
23	21	1/4	V6(6)
23	21	1/2	I
23	21	3/4	vi65
24	22	0	V2
25	23	0	I6
25	23	1/4	IV(9)
25	23	3/8	ii65
25	23	1/2	V
26	24	0	I\\
