mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	11/8	6/4	2	1		b.V	b	i		V	V							M	1	1	1, 5, 2		1	1
2	1	0	0	6/4	2	1		i	b	i		i	i							m	1	1	0, -3, 1		0	0
2	1	1/4	1/4	6/4	2	1		i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
2	1	1/2	1/2	6/4	2	1		i	b	i		i	i							m	1	1	0, -3, 1		0	0
2	1	3/4	3/4	6/4	2	1		V6	b	i		V6	V		6					M	1	1	5, 2, 1		1	5
2	1	7/8	7/8	6/4	2	1		#viio7	b	i		#viio7	#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
2	1	1	1	6/4	2	1		V43	b	i		V43	V		43					Mm7	1	1	2, -1, 1, 5		1	2
2	1	5/4	5/4	6/4	2	1		V	b	i		V	V							M	1	1	1, 5, 2		1	1
3	2	0	0	6/4	2	1		i	b	i		i	i							m	1	1	0, -3, 1		0	0
3	2	1/4	1/4	6/4	2	1		i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
3	2	1/2	1/2	6/4	2	1		i	b	i		i	i							m	1	1	0, -3, 1		0	0
3	2	3/4	3/4	6/4	2	1		iv7	b	i		iv7	iv		7					mm7	1	1	-1, -4, 0, -3		-1	-1
3	2	1	1	6/4	2	1		ii%65	b	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
3	2	5/4	5/4	6/4	2	1		iio6	b	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
4	3	0	0	6/4	2	1		V(9)	b	i		V(9)	V			9				M	1	1	1, 5, 2	-4	1	1
4	3	1/4	1/4	6/4	2	1		V	b	i		V	V							M	1	1	1, 5, 2		1	1
4	3	1/2	1/2	6/4	2	1		V64	b	i		V64	V		64					M	1	1	2, 1, 5		1	2
4	3	3/4	3/4	6/4	2	1		i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
4	3	5/4	5/4	6/4	2	1		i	b	i		i	i							m	1	1	0, -3, 1		0	0
5	4	0	0	6/4	2	1		iio	b	i		iio	ii	o						o	1	1	2, -1, -4		2	2
5	4	1/4	1/4	6/4	2	1		V6	b	i		V6	V		6					M	1	1	5, 2, 1		1	5
5	4	1/2	1/2	6/4	2	1		V	b	i		V	V							M	1	1	1, 5, 2		1	1
5	4	3/4	3/4	6/4	2	1		i	b	i		i	i							m	1	1	0, -3, 1		0	0
5	4	7/8	7/8	6/4	2	1		iv	b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
5	4	1	1	6/4	2	1		V	b	i		V	V							M	1	1	1, 5, 2		1	1
6	5	0	0	6/4	2	1		i\\	b	i		i	i						\\	m	1	1	0, -3, 1		0	0
6	5	1/4	1/4	6/4	2	1		i64	b	i		i64	i		64					m	1	1	1, 0, -3		0	1
6	5	3/8	3/8	6/4	2	1		iio6	b	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
6	5	1/2	1/2	6/4	2	1		i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	3/4	3/4	6/4	2	1		i	b	i		i	i							m	1	1	0, -3, 1		0	0
6	5	7/8	7/8	6/4	2	1		iv	b	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
6	5	1	1	6/4	2	1		i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	9/8	9/8	6/4	2	1		iio	b	i		iio	ii	o						o	1	1	2, -1, -4		2	2
6	5	5/4	5/4	6/4	2	1		i6	b	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
6	5	11/8	11/8	6/4	2	1		i	b	i		i	i							m	1	1	0, -3, 1		0	0
7	6	0	0	6/4	2	1		v	b	i		v	v							m	1	1	1, -2, 2		1	1
7	6	1/4	1/4	6/4	2	1		v6	b	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
7	6	1/2	1/2	6/4	2	1		v	b	i		v	v							m	1	1	1, -2, 2		1	1
7	6	3/4	3/4	6/4	2	1		i7	b	i		i7	i		7					mm7	1	1	0, -3, 1, -2		0	0
7	6	5/4	5/4	6/4	2	1		viio6/VII	b	i		viio6/VII	vii	o	6		VII			o	1	1	0, -3, 3		3	0
8	7	0	0	6/4	2	1		VII	b	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
8	7	1/4	1/4	6/4	2	1		VII64	b	i		VII64	VII		64					M	1	1	-1, -2, 2		-2	-1
8	7	1/2	1/2	6/4	2	1		VII6	b	i		VII6	VII		6					M	1	1	2, -1, -2		-2	2
8	7	3/4	3/4	6/4	2	1		V6	b	i		V6	V		6					M	1	1	5, 2, 1		1	5
8	7	1	1	6/4	2	1		V(64)	b	i		V(64)	V			64				M	1	1	1, 0, -3		1	1
8	7	5/4	5/4	6/4	2	1		V	b	i		V	V							M	1	1	1, 5, 2		1	1
9	8	0	0	6/4	2	1		i\\	b	i		i	i						\\	m	1	1	0, -3, 1		0	0
9	8	1/4	1/4	6/4	2	1		iio/v	b	i		iio/v	ii	o			v			o	1	1	3, 0, -3		3	3
9	8	3/4	3/4	6/4	2	1		V65/v	b	i		V65/v	V		65		v			Mm7	1	1	6, 3, 0, 2		2	6
9	8	1	1	6/4	2	1		iio6/v	b	i		iio6/v	ii	o	6		v			o	1	1	0, -3, 3		3	0
9	8	9/8	9/8	6/4	2	1		v6	b	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
9	8	5/4	5/4	6/4	2	1		iio6/v	b	i		iio6/v	ii	o	6		v			o	1	1	0, -3, 3		3	0
10	9	0	0	6/4	2	1		v64	b	i		v64	v		64					m	1	1	2, 1, -2		1	2
10	9	1/4	1/4	6/4	2	1		v6	b	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
10	9	1/2	1/2	6/4	2	1		V43(4)/v	b	i		V43(4)/v	V		43	4	v			Mm7	1	1	3, 0, 2, 1		2	3
10	9	3/4	3/4	6/4	2	1		v6	b	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
10	9	5/4	5/4	6/4	2	1		v	b	i		v	v							m	1	1	1, -2, 2		1	1
11	10	0	0	6/4	2	1		V6/v	b	i		V6/v	V		6		v			M	1	1	6, 3, 2		2	6
11	10	1/2	1/2	6/4	2	1		V/v	b	i		V/v	V				v			M	1	1	2, 6, 3		2	2
11	10	3/4	3/4	6/4	2	1		v	b	i		v	v							m	1	1	1, -2, 2		1	1
11	10	1	1	6/4	2	1		iio64/v	b	i		iio64/v	ii	o	64		v			o	1	1	-3, 3, 0		3	-3
11	10	11/8	11/8	6/4	2	1		v6	b	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
