mc	mn	onset	label
1	0	11/16	.G.I
2	1	3/8	V
2	1	1/2	I
2	1	5/8	viio
3	2	0	I
3	2	1/8	vi
3	2	1/4	I64
3	2	3/8	I6
3	2	5/8	viio6
4	3	0	I6
4	3	1/8	I
4	3	1/4	viio/IV
4	3	3/8	V/IV
4	3	1/2	IV
4	3	9/16	ii6
4	3	5/8	ii
5	4	0	V
5	4	1/8	V2
5	4	1/4	V64
5	4	5/16	vi6
5	4	3/8	V6
5	4	7/16	IV6
5	4	1/2	iii6
5	4	5/8	V2
6	5	0	I6
6	5	1/8	V64
6	5	1/4	I6
6	5	3/8	I
6	5	1/2	vi7/IV
6	5	5/8	viio/IV
7	6	0	IV(9)
7	6	1/8	viio/IV
7	6	1/4	IV(9)
7	6	3/8	ii
7	6	1/2	I6
7	6	5/8	ii6
8	7	0	V
8	7	1/8	V2
8	7	1/4	viio6
8	7	5/16	I
8	7	3/8	viio
8	7	7/16	vi
8	7	1/2	V7
8	7	5/8	V64
9	8	0	I
9	8	1/4	I64
9	8	3/8	I6
9	8	1/2	I
9	8	5/8	V43/vi
10	9	0	vi6
10	9	1/8	vi
10	9	1/4	vi6
10	9	3/8	vi
10	9	1/2	V7/vi
10	9	5/8	V/vi
11	10	0	vi
11	10	1/4	viio/V
11	10	3/8	IV6/V
11	10	1/2	V7/V
11	10	5/8	V64/V
12	11	0	V6
12	11	1/8	V
12	11	1/4	viio
12	11	3/8	V
12	11	1/2	I
12	11	9/16	vi6
12	11	5/8	vi
13	12	0	V/V
13	12	1/8	V2/V
13	12	1/4	V64/V
13	12	3/8	V6/V
13	12	1/2	V/V
13	12	5/8	viio64/V
14	13	0	V6
14	13	1/8	V64/V
14	13	1/4	V6
14	13	3/8	V64
14	13	1/2	V
14	13	5/8	V6
15	14	0	ii65/V
15	14	1/8	V/V
15	14	1/4	ii43/V
15	14	3/8	IV/V
15	14	1/2	ii7/V
15	14	5/8	IV/V
16	15	0	V/V
16	15	1/4	vii%7/V
16	15	3/8	V
16	15	1/2	V(64)/V
16	15	5/8	V7/V
17	16	0	V6
17	16	1/8	V\\
19	17	1/8	V2
19	17	1/4	V64
19	17	3/8	V6
19	17	1/2	V
19	17	5/8	viio64-ii65
20	18	0	I6
20	18	1/8	V
20	18	1/4	I
20	18	3/8	viio6
20	18	1/2	I6
20	18	5/8	V7/IV
21	19	0	IV
21	19	1/8	IV6
21	19	1/4	viio64
21	19	3/8	I6
21	19	1/2	IV
21	19	5/8	iv7/vi
22	20	0	V/vi
22	20	1/8	V2/vi
22	20	1/4	V64/vi
22	20	3/8	V6/vi
22	20	7/16	IV6/vi
22	20	1/2	V/vi
22	20	5/8	#viio64/vi
23	21	0	vi6
23	21	1/8	#viio6/vi
23	21	1/4	vi6
23	21	3/8	#viio6/vi
23	21	1/2	vi6
23	21	5/8	vi
24	22	0	iv/vi
24	22	1/8	vi65
24	22	1/4	iv/vi
24	22	3/8	vi65
24	22	1/2	iv/vi
24	22	5/8	iio/vi
25	23	0	V(64)/vi
25	23	1/8	#viio/vi
25	23	1/4	vi(9)
25	23	3/8	vi6
25	23	1/2	V7(4)/vi
25	23	11/16	V/vi
26	24	0	vi
26	24	1/8	ii%7/vi
26	24	1/4	vi64
26	24	3/8	#viio(9)/vi-V6/V
26	24	1/2	vi
26	24	9/16	viio/V
26	24	5/8	ii43/V
27	25	0	V6/V
27	25	1/4	V64
27	25	3/8	V6
27	25	5/8	viio6/V
28	26	0	V
28	26	1/4	V6
28	26	5/16	vi6
28	26	3/8	viio6
28	26	7/16	I6
28	26	1/2	ii6
28	26	9/16	iii6
28	26	5/8	IV6
28	26	11/16	viio
29	27	0	I
29	27	1/8	I6
29	27	1/4	IV
29	27	3/8	IV6
29	27	1/2	ii6
29	27	5/8	ii7
30	28	0	V
30	28	1/8	V2
30	28	1/4	viio6
30	28	5/16	I
30	28	3/8	viio
30	28	7/16	vi
30	28	1/2	V7
30	28	5/8	vii%43
31	29	0	I6
31	29	1/8	V64
31	29	1/4	I6
31	29	3/8	I64
31	29	1/2	I
31	29	5/8	I6
32	30	0	ii65
32	30	1/8	V
32	30	1/4	ii43
32	30	3/8	IV
32	30	1/2	ii7
32	30	5/8	IV
33	31	0	V
33	31	1/4	vii%7
33	31	3/8	I
33	31	1/2	V(64)
33	31	5/8	V7
34	32	0	I6
34	32	1/8	I\\
