mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	3/16	3/16	4/4	1	1	.d.i		d	i		i	i						m	1	1	0, -3, 1		0	0
1	1	1/2	1/2	4/4	1	1	VI	iv6	d	i		VI	VI						M	1	1	-4, 0, -3		-4	-4
1	1	3/4	3/4	4/4	1	1	iio-#viio6		d	i										1	1				
2	2	0	0	4/4	1	1	i6		d	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
2	2	3/16	3/16	4/4	1	1	i		d	i		i	i						m	1	1	0, -3, 1		0	0
2	2	1/4	1/4	4/4	1	1	V6		d	i		V6	V		6				M	1	1	5, 2, 1		1	5
2	2	1/2	1/2	4/4	1	1	i		d	i		i	i						m	1	1	0, -3, 1		0	0
2	2	3/4	3/4	4/4	1	1	IV		d	i		IV	IV						M	1	1	-1, 3, 0		-1	-1
3	3	0	0	4/4	1	1	#viio64		d	i		#viio64	#vii	o	64				o	1	1	-1, 5, 2		5	-1
3	3	3/16	3/16	4/4	1	1	V		d	i		V	V						M	1	1	1, 5, 2		1	1
3	3	1/4	1/4	4/4	1	1	i		d	i		i	i						m	1	1	0, -3, 1		0	0
3	3	7/16	7/16	4/4	1	1	V7		d	i		V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
3	3	1/2	1/2	4/4	1	1	ii%43		d	i		ii%43	ii	%	43				%7	1	1	-4, 0, 2, -1		2	-4
3	3	3/4	3/4	4/4	1	1	#viio6		d	i		#viio6	#vii	o	6				o	1	1	2, -1, 5		5	2
3	3	15/16	15/16	4/4	1	1	#viio64		d	i		#viio64	#vii	o	64				o	1	1	-1, 5, 2		5	-1
4	4	0	0	4/4	1	1	i6(2)		d	i		i6(2)	i		6	2			m	1	1	-3, 1, 2		0	-3
4	4	1/4	1/4	4/4	1	1	i		d	i		i	i						m	1	1	0, -3, 1		0	0
4	4	7/16	7/16	4/4	1	1	V6/iv		d	i		V6/iv	V		6		iv		M	1	1	4, 1, 0		0	4
4	4	1/2	1/2	4/4	1	1	iv		d	i		iv	iv						m	1	1	-1, -4, 0		-1	-1
4	4	11/16	11/16	4/4	1	1	ii%7		d	i		ii%7	ii	%	7				%7	1	1	2, -1, -4, 0		2	2
