mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	3.0	0	3/4	2/2	2	1	E.I[I{		E	I	I	I	I							{	M	0	0	0, 4, 1		0	0
2	1	3	2.0	1/2	1/2	2/2	2	1	I6		E	I		I6	I		6						M	0	0	4, 1, 0		0	4
3	2	5	2.0	0	0	2/2	2	1	V2		E	I		V2	V		2						Mm7	0	0	-1, 1, 5, 2		1	-1
3	2	7	2.0	1/2	1/2	2/2	2	1	I		E	I		I	I								M	0	0	0, 4, 1		0	0
4	3	9	2.0	0	0	2/2	2	1	IV6		E	I		IV6	IV		6						M	0	0	3, 0, -1		-1	3
4	3	11	3.0	1/2	1/2	2/2	2	1	V6		E	I		V6	V		6						M	0	0	5, 2, 1		1	5
5	4	14	1.0	1/4	1/4	2/2	2	1	V		E	I		V	V								M	0	0	1, 5, 2		1	1
5	4	15	1.0	1/2	1/2	2/2	2	1	I6		E	I		I6	I		6						M	0	0	4, 1, 0		0	4
5	4	16	1.0	3/4	3/4	2/2	2	1	V65/vi{		E	I		V65/vi	V		65		vi			{	Mm7	0	0	8, 5, 2, 4		4	8
6	5	17	1.0	0	0	2/2	2	1	vi		E	I		vi	vi								m	0	0	3, 0, 4		3	3
6	5	18	1.0	1/4	1/4	2/2	2	1	V/vi		E	I		V/vi	V				vi				M	0	0	4, 8, 5		4	4
6	5	19	1.0	1/2	1/2	2/2	2	1	V64(4)/vi		E	I		V64(4)/vi	V		64	4	vi				M	0	0	5, 4, 3		4	5
6	5	20	1.0	3/4	3/4	2/2	2	1	V/vi		E	I		V/vi	V				vi				M	0	0	4, 8, 5		4	4
7	6	21	1.0	0	0	2/2	2	1	vi6		E	I		vi6	vi		6						m	0	0	0, 4, 3		3	0
7	6	22	1.0	1/4	1/4	2/2	2	1	vi		E	I		vi	vi								m	0	0	3, 0, 4		3	3
7	6	23	1.0	1/2	1/2	2/2	2	1	vi6		E	I		vi6	vi		6						m	0	0	0, 4, 3		3	0
7	6	24	1.0	3/4	3/4	2/2	2	1	V65/V		E	I		V65/V	V		65		V				Mm7	0	0	6, 3, 0, 2		2	6
8	7	25	1.0	0	0	2/2	2	1	V.I		E	V		I	I								M	0	0	0, 4, 1		0	0
8	7	26	1.0	1/4	1/4	2/2	2	1	V		E	V		V	V								M	0	0	1, 5, 2		1	1
8	7	27	1.0	1/2	1/2	2/2	2	1	V64(4)		E	V		V64(4)	V		64	4					M	0	0	2, 1, 0		1	2
8	7	28	1.0	3/4	3/4	2/2	2	1	V		E	V		V	V								M	0	0	1, 5, 2		1	1
9	8	29	1.0	0	0	2/2	2	1	I6		E	V		I6	I		6						M	0	0	4, 1, 0		0	4
9	8	30	1.0	1/4	1/4	2/2	2	1	I		E	V		I	I								M	0	0	0, 4, 1		0	0
9	8	31	1.0	1/2	1/2	2/2	2	1	I6		E	V		I6	I		6						M	0	0	4, 1, 0		0	4
9	8	32	1.0	3/4	3/4	2/2	2	1	vi		E	V		vi	vi								m	0	0	3, 0, 4		3	3
10	9	33	2.0	0	0	2/2	2	1	ii		E	V		ii	ii								m	0	0	2, -1, 3		2	2
10	9	35	2.0	1/2	1/2	2/2	2	1	V65		E	V		V65	V		65						Mm7	0	0	5, 2, -1, 1		1	5
11	10	37	2.0	0	0	2/2	2	1	I		E	V		I	I								M	0	0	0, 4, 1		0	0
11	10	39	2.0	1/2	1/2	2/2	2	1	IV6		E	V		IV6	IV		6						M	0	0	3, 0, -1		-1	3
12	11	41	2.0	0	0	2/2	2	1	ii6		E	V		ii6	ii		6						m	0	0	-1, 3, 2		2	-1
12	11	43	2.0	1/2	1/2	2/2	2	1	V		E	V		V	V								M	0	0	1, 5, 2		1	1
13	12	45	3.0	0	0	2/2	2	1	I|PAC}		E	V		I	I						PAC	}	M	0	0	0, 4, 1		0	0
14	12	48	1.0	0	3/4	2/2	2	1	I6{		E	V		I6	I		6					{	M	0	0	4, 1, 0		0	4
15	13	49	1.0	0	0	2/2	2	1	I64		E	V		I64	I		64						M	0	0	1, 0, 4		0	1
15	13	50	1.0	1/4	1/4	2/2	2	1	I6		E	V		I6	I		6						M	0	0	4, 1, 0		0	4
15	13	51	1.0	1/2	1/2	2/2	2	1	I		E	V		I	I								M	0	0	0, 4, 1		0	0
15	13	52	1.0	3/4	3/4	2/2	2	1	I64		E	V		I64	I		64						M	0	0	1, 0, 4		0	1
16	14	53	1.0	0	0	2/2	2	1	ii		E	V		ii	ii								m	0	0	2, -1, 3		2	2
16	14	54	1.0	1/4	1/4	2/2	2	1	V7(4)		E	V		V7(4)	V		7	4					Mm7	0	0	1, 0, 2, -1		1	1
16	14	55	1.0	1/2	1/2	2/2	2	1	I6		E	V		I6	I		6						M	0	0	4, 1, 0		0	4
