mc	mn	onset	label
1	1	0	.g.i[i
1	1	1/4	iio64
2	2	1/4	#viio2
3	3	0	iio64
3	3	1/4	#viio43
3	3	1/2	V2
4	4	0	i
5	5	1/4	V7/iv
6	6	0	IV
6	6	1/8	V7(+4)
6	6	1/4	ii%43
7	7	0	#viio2
7	7	1/4	viio43/V]
8	8	0	V
8	8	1/8	V(#9#7)
8	8	1/4	V\\
9	9	0	III6
10	10	0	V65/VI
10	10	1/4	V65/iv
11	11	1/4	#viio7/iv
12	12	0	iv
13	13	0	#viio7
13	13	1/4	#viio65
13	13	1/2	#viio7
14	14	0	V65/bII
14	14	1/4	V43/bII
14	14	1/2	V65/bII
15	15	0	ii%65/VI
15	15	1/4	viio2(+2)/VI
15	15	1/2	ii%65/VI
16	16	0	ii%2/VI
16	16	1/4	VI
17	17	0	#viio7/vii
18	18	0	viio65/V
20	20	0	#viio
20	20	1/4	V65
20	20	1/2	#viio
21	21	0	V2/iv
21	21	1/4	V43/iv
21	21	1/2	V43(b9)/iv
22	22	0	iv6
22	22	1/4	.bIIM7
22	22	1/2	iv64
23	23	0	viio7/V
23	23	1/4	V
23	23	3/8	V(#76)
23	23	1/2	V7(4)
23	23	11/16	V7
24	24	0	i(4)
24	24	1/4	i\\
