quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	2.0	1	1	0	0	3/2	2	1		d.i	d	i		i	i							m	1	1	0, -3, 1		0	0
2	4.0	1	1	1/2	1/2	3/2	2	1		ii%2	d	i		ii%2	ii	%	2					%7	1	1	0, 2, -1, -4		2	0
6	2.0	2	2	0	0	3/2	2	1		V65	d	i		V65	V		65					Mm7	1	1	5, 2, -1, 1		1	5
8	4.0	2	2	1/2	1/2	3/2	2	1		V2/iv	d	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
12	2.0	3	3	0	0	3/2	2	1		iv6	d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
14	2.0	3	3	1/2	1/2	3/2	2	1		iio6	d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
16	2.0	3	3	1	1	3/2	2	1		V65/V	d	i		V65/V	V		65		V			Mm7	1	1	6, 3, 0, 2		2	6
18	4.0	4	4	0	0	3/2	2	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
22	2.0	4	4	1	1	3/2	2	1		V2	d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
24	2.0	5	5	0	0	3/2	2	1		V65/iv	d	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
26	4.0	5	5	1/2	1/2	3/2	2	1		V2/VII	d	i		V2/VII	V		2		VII			Mm7	1	1	-3, -1, 3, 0		-1	-3
30	2.0	6	6	0	0	3/2	2	1		V7/V	d	i		V7/V	V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
32	2.0	6	6	1/2	1/2	3/2	2	1		V2	d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
34	2.0	6	6	1	1	3/2	2	1		#viio65	d	i		#viio65	#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
36	2.0	7	7	0	0	3/2	2	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
38	3.0	7	7	1/2	1/2	3/2	2	1		i	d	i		i	i							m	1	1	0, -3, 1		0	0
41	1.0	7	7	5/4	5/4	3/2	2	1		viio43/V	d	i		viio43/V	vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
		8	8	0	0	3/2	2	1	1	V\\	d	i		V	V						\\	M	1	1	1, 5, 2		1	1
		8	8	11/8	11/8	3/2	2	1	1	#viio6	d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
42	8.0	9	8	0	0	3/2	2	1	2	V\\	d	i		V	V						\\	M	1	1	1, 5, 2		1	1
50	3.0	10	9	1/2	1/2	3/2	2	1		V2	d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
53	1.0	10	9	5/4	5/4	3/2	2	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
54	1.0	11	10	0	0	3/2	2	1		#viio43	d	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
55	1.0	11	10	1/4	1/4	3/2	2	1		V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
56	2.0	11	10	1/2	1/2	3/2	2	1		viio/VI	d	i		viio/VI	vii	o			VI			o	1	1	1, -2, -5		1	1
58	2.0	11	10	1	1	3/2	2	1		V65/VI	d	i		V65/VI	V		65		VI			Mm7	1	1	1, -2, -5, -3		-3	1
60	1.0	12	11	0	0	3/2	2	1		VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
61	1.0	12	11	1/4	1/4	3/2	2	1		IVM2/III	d	i		IVM2/III	IV	M	2		III			MM7	1	1	1, -4, 0, -3		-4	1
62	2.0	12	11	1/2	1/2	3/2	2	1		ii/III	d	i		ii/III	ii				III			m	1	1	-1, -4, 0		-1	-1
64	1.0	12	11	1	1	3/2	2	1		III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
65	1.0	12	11	5/4	5/4	3/2	2	1		vii%43/VII	d	i		vii%43/VII	vii	%	43		VII			%7	1	1	-3, 1, 3, 0		3	-3
66	4.0	13	12	0	0	3/2	2	1		V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
70	2.0	13	12	1	1	3/2	2	1		V2/III	d	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
72	4.0	14	13	0	0	3/2	2	1		III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
76	2.0	14	13	1	1	3/2	2	1		III	d	i		III	III							M	1	1	-3, 1, -2		-3	-3
78	1.0	15	14	0	0	3/2	2	1		ii6(2)/III	d	i		ii6(2)/III	ii		6	2	III			m	1	1	-4, 0, 1		-1	-4
79	3.0	15	14	1/4	1/4	3/2	2	1		ii6/III	d	i		ii6/III	ii		6		III			m	1	1	-4, 0, -1		-1	-4
82	1.0	15	14	1	1	3/2	2	1		ii7/III	d	i		ii7/III	ii		7		III			mm7	1	1	-1, -4, 0, -3		-1	-1
83	1.0	15	14	5/4	5/4	3/2	2	1		V2/III	d	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4
84	1.0	16	15	0	0	3/2	2	1		III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
85	1.0	16	15	1/4	1/4	3/2	2	1		IV/III	d	i		IV/III	IV				III			M	1	1	-4, 0, -3		-4	-4
86	2.0	16	15	1/2	1/2	3/2	2	1		V(64)/III	d	i		V(64)/III	V			64	III			M	1	1	-2, -3, 1		-2	-2
88	1.0	16	15	1	1	3/2	2	1		V/III	d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
89	1.0	16	15	5/4	5/4	3/2	2	1		V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
90	4.0	17	16	0	0	3/2	2	1		III\\	d	i		III	III						\\	M	1	1	-3, 1, -2		-3	-3
94	1.0	17	16	1	1	3/2	2	1		III64	d	i		III64	III		64					M	1	1	-2, -3, 1		-3	-2
95	1.0	17	16	5/4	5/4	3/2	2	1		III6	d	i		III6	III		6					M	1	1	1, -2, -3		-3	1
96	4.0	18	17	0	0	3/2	2	1		V6/iv	d	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
100	2.0	18	17	1	1	3/2	2	1		V2/iv	d	i		V2/iv	V		2		iv			Mm7	1	1	-2, 0, 4, 1		0	-2
102	1.0	19	18	0	0	3/2	2	1		iv	d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
103	1.0	19	18	1/4	1/4	3/2	2	1		iio6	d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
104	1.0	19	18	1/2	1/2	3/2	2	1		V7	d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
105	1.0	19	18	3/4	3/4	3/2	2	1		V	d	i		V	V							M	1	1	1, 5, 2		1	1
106	1.0	19	18	1	1	3/2	2	1		iv65	d	i		iv65	iv		65					mm7	1	1	-4, 0, -3, -1		-1	-4
107	1.0	19	18	5/4	5/4	3/2	2	1		VI	d	i		VI	VI							M	1	1	-4, 0, -3		-4	-4
108	2.0	20	19	0	0	3/2	2	1		#viio6	d	i		#viio6	#vii	o	6					o	1	1	2, -1, 5		5	2
110	2.0	20	19	1/2	1/2	3/2	2	1		i6	d	i		i6	i		6					m	1	1	-3, 1, 0		0	-3
