quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
0	4.5	1	0	0	11/8	3/2	2	1	d.i[i		d	i	i	i	i							m	1	1	0, -3, 1		0	0
9/2	1.0	2	1	1	1	3/2	2	1	iv(2)		d	i	i	iv(2)	iv			2				m	1	1	1, -4, 0		-1	1
11/2	1.0	2	1	5/4	5/4	3/2	2	1	#viio43		d	i	i	#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
13/2	1.0	3	2	0	0	3/2	2	1	i(4)		d	i	i	i(4)	i			4				m	1	1	0, -1, 1		0	0
15/2	3.0	3	2	1/4	1/4	3/2	2	1	i]		d	i	i	i	i							m	1	1	0, -3, 1		0	0
21/2	1.5	3	2	1	1	3/2	2	1	iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
12	0.5	3	2	11/8	11/8	3/2	2	1	ii%43		d	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
25/2	1.0	4	3	0	0	3/2	2	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
27/2	1.0	4	3	1/4	1/4	3/2	2	1	V(4)		d	i		V(4)	V			4				M	1	1	1, 0, 2		1	1
29/2	1.0	4	3	1/2	1/2	3/2	2	1	V7(4)		d	i		V7(4)	V		7	4				Mm7	1	1	1, 0, 2, -1		1	1
31/2	1.0	4	3	3/4	3/4	3/2	2	1	V7		d	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1
33/2	1.0	4	3	1	1	3/2	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
35/2	0.5	4	3	5/4	5/4	3/2	2	1	viio43/V		d	i		viio43/V	vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
18	0.5	4	3	11/8	11/8	3/2	2	1	V/V		d	i		V/V	V				V			M	1	1	2, 6, 3		2	2
37/2	0.5	5	4	0	0	3/2	2	1	V6(4)		d	i		V6(4)	V		6	4				M	1	1	0, 2, 1		1	0
19	0.5	5	4	1/8	1/8	3/2	2	1	V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
39/2	1.0	5	4	1/4	1/4	3/2	2	1	V		d	i		V	V							M	1	1	1, 5, 2		1	1
41/2	2.0	5	4	1/2	1/2	3/2	2	1	V2		d	i		V2	V		2					Mm7	1	1	-1, 1, 5, 2		1	-1
45/2	0.5	5	4	1	1	3/2	2	1	V6/iv		d	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4
23	1.5	5	4	9/8	9/8	3/2	2	1	V65/iv		d	i		V65/iv	V		65		iv			Mm7	1	1	4, 1, -2, 0		0	4
49/2	0.5	6	5	0	0	3/2	2	1	iv(4)		d	i		iv(4)	iv			4				m	1	1	-1, -2, 0		-1	-1
25	1.0	6	5	1/8	1/8	3/2	2	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
26	0.5	6	5	3/8	3/8	3/2	2	1	iv2	viio(2)/III	d	i		iv2	iv		2					mm7	1	1	-3, -1, -4, 0		-1	-3
53/2	1.5	6	5	1/2	1/2	3/2	2	1	viio/III		d	i		viio/III	vii	o			III			o	1	1	2, -1, -4		2	2
28	0.5	6	5	7/8	7/8	3/2	2	1	V/III		d	i		V/III	V				III			M	1	1	-2, 2, -1		-2	-2
57/2	0.5	6	5	1	1	3/2	2	1	III(9)		d	i		III(9)	III			9				M	1	1	-3, 1, -2	-1	-3	-3
29	0.5	6	5	9/8	9/8	3/2	2	1	i(4)		d	i		i(4)	i			4				m	1	1	0, -1, 1		0	0
