mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	d.i						d	i		i	i							m	1	1	2, -1, 3		2	2	0	3	0.0	0.0	0.5	0.0
1	1	1/4	1/4	3/4	2	1	V64						d	i		V64	V		64					M	1	1	4, 3, 7		3	4	0	3	0.0	0.0	0.5	0.0
1	1	1/2	1/2	3/4	2	1	i6						d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.5	0.0
2	2	0	0	3/4	2	1	V2						d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	0	3	0.0	0.0	0.5	0.0
2	2	1/4	1/4	3/4	2	1	i6						d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	1	3	0.25	0.0	0.75	0.0
2	2	1/2	1/2	3/4	2	1	V64(4)						d	i		V64(4)	V		64	4				M	1	1	4, 3, 2		3	4	0	2	0.0	0.0	0.25	0.0
3	3	0	0	3/4	2	1	i6						d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.5	0.0
3	3	1/4	1/4	3/4	2	1	iv						d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.25	0.0
3	3	3/8	3/8	3/4	2	1	i6						d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.25	0.0
3	3	1/2	1/2	3/4	2	1	ii%2						d	i		ii%2	ii	%	2					%7	1	1	2, 4, 1, -2		4	2	0	4	0.0	0.0	0.5	0.0
4	4	0	0	3/4	2	1	V6						d	i		V6	V		6					M	1	1	7, 4, 3		3	7	0	2	0.0	0.0	0.5	0.0
4	4	1/4	1/4	3/4	2	1	i						d	i		i	i							m	1	1	2, -1, 3		2	2	2	6	0.25	0.25	1.25	0.16666666666666666
5	5	1/4	1/4	3/4	2	1	#viio6(2)						d	i		#viio6(2)	#vii	o	6	2				o	1	1	4, 1, 2		7	4	0	3	0.0	0.0	0.5	0.0
5	5	1/2	1/2	3/4	2	1	i6						d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.5	0.0
6	6	0	0	3/4	2	1	iv						d	i		iv	iv							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.875	0.0
6	6	1/4	1/4	3/4	2	1	V2						d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	0	3	0.0	0.0	0.75	0.0
6	6	1/2	1/2	3/4	2	1	i6						d	i		i6	i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.375	0.0
7	7	0	0	3/4	2	1	V(2)						d	i		V(2)	V			2				M	1	1	-2, 7, 4		3	-2	1	2	0.3333333333333333	0.25	0.875	0.2222222222222222
7	7	1/4	1/4	3/4	2	1	iv6						d	i		iv6	iv		6					m	1	1	-2, 2, 1		1	-2	2	2	0.5	0.25	0.25	0.5
7	7	1/2	1/2	3/4	2	1	ii%43						d	i		ii%43	ii	%	43					%7	1	1	-2, 2, 4, 1		4	-2	1	3	0.25	0.125	0.375	0.25
8	8	0	0	3/4	2	1	V\\				1		d	i		V	V						\\	M	1	1	3, 7, 4		3	3	1	2	0.3333333333333333	0.125	1.5	0.07692307692307693
8	8	1/4	1/4	3/4	2	1	V2				1		d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	0	2	0.0	0.0	0.25	0.0
8	8	1/2	1/2	3/4	2	1	V64				1		d	i		V64	V		64					M	1	1	4, 3, 7		3	4	1	1	0.5	0.125	0.125	0.5
9	8	0	0	3/4	2	1	V\\				2		d	i		V	V						\\	M	1	1	3, 7, 4		3	3	1	2	0.3333333333333333	0.125	1.5	0.07692307692307693
9	8	1/4	1/4	3/4	2	1	V64				2		d	i		V64	V		64					M	1	1	4, 3, 7		3	4	1	1	0.5	0.125	0.125	0.5
9	8	1/2	1/2	3/4	2	1	V6				2		d	i		V6	V		6					M	1	1	7, 4, 3		3	7	1	1	0.5	0.125	0.125	0.5
10	9	0	0	3/4	2	1	V						d	i		V	V							M	1	1	3, 7, 4		3	3	1	3	0.25	0.125	1.125	0.1
10	9	1/4	1/4	3/4	2	1	V2						d	i		V2	V		2					Mm7	1	1	1, 3, 7, 4		3	1	1	3	0.25	0.125	0.375	0.25
