mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	c.i					c	i		i	i							m	1	1	0, -3, 1		0	0	2	6	0.25	0.125	1.125	0.1
1	1	1/2	1/2	3/4	2	1	v6					c	i		v6	v		6					m	1	1	-2, 2, 1		1	-2	0	3	0.0	0.0	0.75	0.0
2	2	0	0	3/4	2	1	iv6(2)					c	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4	1	5	0.16666666666666666	0.0625	0.9375	0.0625
2	2	1/4	1/4	3/4	2	1	iv6					c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4	0	1	0.0	0.0	0.5	0.0
2	2	3/8	3/8	3/4	2	1	#viio2					c	i		#viio2	#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4	0	2	0.0	0.0	0.25	0.0
2	2	1/2	1/2	3/4	2	1	i64(4)					c	i		i64(4)	i		64	4				m	1	1	1, 0, -1		0	1	0	2	0.0	0.0	0.25	0.0
2	2	5/8	5/8	3/4	2	1	iio6					c	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1	0	2	0.0	0.0	0.25	0.0
3	3	0	0	3/4	2	1	V7					c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
3	3	1/4	1/4	3/4	2	1	i					c	i		i	i							m	1	1	0, -3, 1		0	0	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
3	3	1/2	1/2	3/4	2	1	#viio43					c	i		#viio43	#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
4	4	0	0	3/4	2	1	V65/V					c	i		V65/V	V		65		V			Mm7	1	1	6, 3, 0, 2		2	6	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
4	4	1/4	1/4	3/4	2	1	V}{					c	i		V	V						}{	M	1	1	1, 5, 2		1	1	3	5	0.375	0.21875	0.90625	0.19444444444444445
4	4	5/8	5/8	3/4	2	1	V6					c	i		V6	V		6					M	1	1	5, 2, 1		1	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
5	5	0	0	3/4	2	1	i					c	i		i	i							m	1	1	0, -3, 1		0	0	3	9	0.25	0.25	1.125	0.18181818181818182
5	5	1/2	1/2	3/4	2	1	IV6/iv	-0.564047	-5.8991	/		c	i		IV6/iv	IV		6		iv			M	1	1	2, -1, -2		-2	2	0	3	0.0	0.0	0.5	0.0
5	5	5/8	5/8	3/4	2	1	#viio/iv	-0.89607	-8.9136	/		c	i		#viio/iv	#vii	o			iv			o	1	1	4, 1, -2		4	4	0	2	0.0	0.0	0.25	0.0
6	6	0	0	3/4	2	1	ivM7(94)					c	i		ivM7(94)	iv	M	7	94				mM7	1	1	-1, -2, 0, 4	1	-1	-1	0	7	0.0	0.0	0.875	0.0
6	6	1/4	1/4	3/4	2	1	iv					c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1	1	3	0.25	0.125	0.5	0.2
6	6	1/2	1/2	3/4	2	1	IV6/VI					c	i		IV6/VI	IV		6		VI			M	1	1	-1, -4, -5		-5	-1	0	3	0.0	0.0	0.5	0.0
6	6	5/8	5/8	3/4	2	1	viio/VI	0	-9	/		c	i		viio/VI	vii	o			VI			o	1	1	1, -2, -5		1	1	0	2	0.0	0.0	0.25	0.0
7	7	0	0	3/4	2	1	I(11^92)/VI					c	i		I(11^92)/VI	I			11^92	VI			M	1	1	-2, 0, -3	-5, -2	-4	-2	1	3	0.25	0.125	0.25	0.3333333333333333
7	7	1/8	1/8	3/4	2	1	vi/VI				ii/III	c	i		vi/VI	vi				VI			m	1	1	-1, -4, 0		-1	-1	0	4	0.0	0.0	0.375	0.0
7	7	1/4	1/4	3/4	2	1	V7/III					c	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2	1	6	0.14285714285714285	0.0625	0.9375	0.0625
7	7	1/2	1/2	3/4	2	1	V(64)/III					c	i		V(64)/III	V			64	III			M	1	1	-2, -3, 1		-2	-2	1	3	0.25	0.03125	0.21875	0.125
7	7	5/8	5/8	3/4	2	1	V7/III					c	i		V7/III	V		7		III			Mm7	1	1	-2, 2, -1, -4		-2	-2	1	2	0.3333333333333333	0.0625	0.1875	0.25
8	8	0	0	3/4	2	1	I/III|PAC}					c	i		I/III	I				III	PAC	}	M	1	1	-3, 1, -2		-3	-3	8	15	0.34782608695652173	0.5	3.875	0.11428571428571428
9	9	5/8	5/8	3/4	2	1	I6/III					c	i		I6/III	I		6		III			M	1	1	1, -2, -3		-3	1	0	1	0.0	0.0	0.125	0.0
10	10	0	0	3/4	2	1	ii7/VII					c	i		ii7/VII	ii		7		VII			mm7	1	1	0, -3, 1, -2		0	0	1	3	0.25	0.0625	0.4375	0.125
10	10	1/8	1/8	3/4	2	1	ii/VII					c	i		ii/VII	ii				VII			m	1	1	0, -3, 1		0	0	0	3	0.0	0.0	0.25	0.0
10	10	1/4	1/4	3/4	2	1	V65/VII					c	i		V65/VII	V		65		VII			Mm7	1	1	3, 0, -3, -1		-1	3	0	3	0.0	0.0	0.625	0.0
10	10	3/8	3/8	3/4	2	1	iii7/VII					c	i		iii7/VII	iii		7		VII			mm7	1	1	2, -1, 3, 0		2	2	0	3	0.0	0.0	0.25	0.0
10	10	1/2	1/2	3/4	2	1	IV(4)/VII					c	i		IV(4)/VII	IV			4	VII			M	1	1	-3, 3, -2		-3	-3	0	3	0.0	0.0	0.25	0.0
10	10	5/8	5/8	3/4	2	1	V/VII					c	i		V/VII	V				VII			M	1	1	-1, 3, 0		-1	-1	1	2	0.3333333333333333	0.0625	0.1875	0.25
11	11	0	0	3/4	2	1	VII(974)	0	-6.1	/		c	i		VII(974)	VII			974				M	1	1	-2, -3, -1	0, -4	-2	-2	1	3	0.25	0.125	0.375	0.25
11	11	1/8	1/8	3/4	2	1	VII					c	i		VII	VII							M	1	1	-2, 2, -1		-2	-2	0	3	0.0	0.0	0.25	0.0
11	11	1/4	1/4	3/4	2	1	V43/v					c	i		V43/v	V		43		v			Mm7	1	1	3, 0, 2, 6		2	3	2	5	0.2857142857142857	0.1875	0.5625	0.25
11	11	1/2	1/2	3/4	2	1	v(94)					c	i		v(94)	v			94				m	1	1	1, 0, 2	-4	1	1	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
11	11	5/8	5/8	3/4	2	1	v					c	i		v	v							m	1	1	1, -2, 2		1	1	0	3	0.0	0.0	0.25	0.0
12	12	0	0	3/4	2	1	iv7/v					c	i		iv7/v	iv		7		v			mm7	1	1	0, -3, 1, -2		0	0	0	4	0.0	0.0	0.5	0.0
12	12	1/8	1/8	3/4	2	1	ii%43/v					c	i		ii%43/v	ii	%	43		v			%7	1	1	-3, 1, 3, 0		3	-3	0	3	0.0	0.0	0.25	0.0
12	12	1/4	1/4	3/4	2	1	V/v					c	i		V/v	V				v			M	1	1	2, 6, 3		2	2	2	4	0.3333333333333333	0.15625	0.71875	0.17857142857142858
12	12	1/2	1/2	3/4	2	1	V7/v					c	i		V7/v	V		7		v			Mm7	1	1	2, 6, 3, 0		2	2	1	2	0.3333333333333333	0.0625	0.3125	0.16666666666666666
12	12	5/8	5/8	3/4	2	1	V65/v					c	i		V65/v	V		65		v			Mm7	1	1	6, 3, 0, 2		2	6	1	2	0.3333333333333333	0.0625	0.1875	0.25
13	13	0	0	3/4	2	1	VI6(6)/v					c	i		VI6(6)/v	VI		6	6	v			M	1	1	1, 0, -3		-3	1	1	4	0.2	0.0625	0.9375	0.0625
13	13	1/4	1/4	3/4	2	1	VIM65/v					c	i		VIM65/v	VI	M	65		v			MM7	1	1	1, -2, 2, -3		-3	1	0	3	0.0	0.0	0.375	0.0
13	13	3/8	3/8	3/4	2	1	iv43/v					c	i		iv43/v	iv		43		v			mm7	1	1	1, -2, 0, -3		0	1	0	1	0.0	0.0	0.125	0.0
13	13	1/2	1/2	3/4	2	1	v6/v	0	-9	/		c	i		v6/v	v		6		v			m	1	1	-1, 3, 2		2	-1	0	3	0.0	0.0	0.75	0.0
14	14	0	0	3/4	2	1	iv6(2)/v					c	i		iv6(2)/v	iv		6	2	v			m	1	1	-3, 1, 2		0	-3	1	5	0.16666666666666666	0.0625	0.9375	0.0625
14	14	1/4	1/4	3/4	2	1	iv6/v					c	i		iv6/v	iv		6		v			m	1	1	-3, 1, 0		0	-3	0	1	0.0	0.0	0.5	0.0
14	14	3/8	3/8	3/4	2	1	#viio2/v					c	i		#viio2/v	#vii	o	2		v			o7	1	1	-3, 6, 3, 0		6	-3	0	2	0.0	0.0	0.25	0.0
14	14	1/2	1/2	3/4	2	1	v64(4)					c	i		v64(4)	v		64	4				m	1	1	2, 1, 0		1	2	0	2	0.0	0.0	0.25	0.0
14	14	5/8	5/8	3/4	2	1	iio6/v	0	-9	/		c	i		iio6/v	ii	o	6		v			o	1	1	0, -3, 3		3	0	0	2	0.0	0.0	0.25	0.0
