mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	volta	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	c.i{			c	i		i	i						{	m	1	1	0, -3, 1		0	0	3	6	0.3333333333333333	0.1875	0.5625	0.25
1	1	3/8	3/8	4/4	2	1	v6			c	i		v6	v		6					m	1	1	-2, 2, 1		1	-2	0	2	0.0	0.0	0.25	0.0
1	1	1/2	1/2	4/4	2	1	iv6(2)		VIM7	c	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4	2	4	0.3333333333333333	0.125	0.375	0.25
1	1	3/4	3/4	4/4	2	1	iv6		VI	c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4	1	2	0.3333333333333333	0.0625	0.1875	0.25
1	1	7/8	7/8	4/4	2	1	iv			c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.125	0.0
1	1	15/16	15/16	4/4	2	1	i6			c	i		i6	i		6					m	1	1	-3, 1, 0		0	-3	0	2	0.0	0.0	0.125	0.0
2	2	0	0	4/4	2	1	iv			c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1	2	2	0.5	0.1875	0.3125	0.375
2	2	1/4	1/4	4/4	2	1	iv6			c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4	1	2	0.3333333333333333	0.0625	0.1875	0.25
2	2	3/8	3/8	4/4	2	1	ii%65			c	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1	0	3	0.0	0.0	0.25	0.0
2	2	1/2	1/2	4/4	2	1	V			c	i		V	V							M	1	1	1, 5, 2		1	1	3	3	0.5	0.25	0.25	0.5
2	2	3/4	3/4	4/4	2	1	V6		#viio	c	i		V6	V		6					M	1	1	5, 2, 1		1	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
