mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	1/8	1/8	3/4	2	1	a.V{						a	i		V	V						{	M	1	1	4, 8, 5		4.0	4.0	0	1	0.0	0.0	0.125	0.0
1	1	1/4	1/4	3/4	2	1	i						a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	0	2	0.0	0.0	0.25	0.0
1	1	1/2	1/2	3/4	2	1	v						a	i		v	v							m	1	1	4, 1, 5		4.0	4.0	0	2	0.0	0.0	0.125	0.0
1	1	5/8	5/8	3/4	2	1	iv						a	i		iv	iv							m	1	1	2, -1, 3		2.0	2.0	0	2	0.0	0.0	0.125	0.0
2	2	0	0	3/4	2	1	V						a	i		V	V							M	1	1	4, 8, 5		4.0	4.0	2	3	0.4	0.125	0.25	0.3333333333333333
2	2	1/4	1/4	3/4	2	1	i						a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
2	2	3/8	3/8	3/4	2	1	VI6						a	i		VI6	VI		6					M	1	1	3, 0, -1		-1.0	3.0	0	3	0.0	0.0	0.25	0.0
2	2	1/2	1/2	3/4	2	1	v						a	i		v	v							m	1	1	4, 1, 5		4.0	4.0	0	4	0.0	0.0	0.25	0.0
2	2	5/8	5/8	3/4	2	1	iv						a	i		iv	iv							m	1	1	2, -1, 3		2.0	2.0	0	4	0.0	0.0	0.25	0.0
3	3	0	0	3/4	2	1	V7						a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	0	6	0.0	0.0	0.5	0.0
3	3	1/4	1/4	3/4	2	1	#viio						a	i		#viio	#vii	o						o	1	1	8, 5, 2		8.0	8.0	0	6	0.0	0.0	0.5	0.0
3	3	1/2	1/2	3/4	2	1	V7						a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
4	4	0	0	3/4	2	1	i						a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	4	1/8	1/8	3/4	2	1	V						a	i		V	V							M	1	1	4, 8, 5		4.0	4.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	4	1/4	1/4	3/4	2	1	i						a	i		i	i							m	1	1	3, 0, 4		3.0	3.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
4	4	3/8	3/8	3/4	2	1	VI6						a	i		VI6	VI		6					M	1	1	3, 0, -1		-1.0	3.0	0	3	0.0	0.0	0.25	0.0
4	4	1/2	1/2	3/4	2	1	v						a	i		v	v							m	1	1	4, 1, 5		4.0	4.0	0	4	0.0	0.0	0.25	0.0
4	4	5/8	5/8	3/4	2	1	ii%65						a	i		ii%65	ii	%	65					%7	1	1	2, -1, 3, 5		5.0	2.0	0	4	0.0	0.0	0.25	0.0
5	5	0	0	3/4	2	1	V65}{						a	i		V65	V		65				}{	Mm7	1	1	8, 5, 2, 4		4.0	8.0	0	6	0.0	0.0	0.5	0.0
5	5	1/4	1/4	3/4	2	1	#viio						a	i		#viio	#vii	o						o	1	1	8, 5, 2		8.0	8.0	0	6	0.0	0.0	0.5	0.0
5	5	1/2	1/2	3/4	2	1	V7						a	i		V7	V		7					Mm7	1	1	4, 8, 5, 2		4.0	4.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
6	6	0	0	3/4	2	1	V7/iv						a	i		V7/iv	V		7		iv			Mm7	1	1	3, 7, 4, 1		3.0	3.0	0	6	0.0	0.0	0.5	0.0
6	6	1/4	1/4	3/4	2	1	#viio/iv						a	i		#viio/iv	#vii	o			iv			o	1	1	7, 4, 1		7.0	7.0	0	6	0.0	0.0	0.5	0.0
6	6	1/2	1/2	3/4	2	1	V7/IV						a	i		V7/IV	V		7		IV			Mm7	1	1	3, 7, 4, 1		3.0	3.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
7	7	0	0	3/4	2	1	V7/VII						a	i		V7/VII	V		7		VII			Mm7	1	1	2, 6, 3, 0		2.0	2.0	0	6	0.0	0.0	0.5	0.0
7	7	1/4	1/4	3/4	2	1	viio/VII						a	i		viio/VII	vii	o			VII			o	1	1	6, 3, 0		6.0	6.0	0	6	0.0	0.0	0.5	0.0
7	7	1/2	1/2	3/4	2	1	V7/VII						a	i		V7/VII	V		7		VII			Mm7	1	1	2, 6, 3, 0		2.0	2.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
8	8	0	0	3/4	2	1	V7/III						a	i		V7/III	V		7		III			Mm7	1	1	1, 5, 2, -1		1.0	1.0	0	6	0.0	0.0	0.5	0.0
8	8	1/4	1/4	3/4	2	1	viio/III						a	i		viio/III	vii	o			III			o	1	1	5, 2, -1		5.0	5.0	0	6	0.0	0.0	0.5	0.0
8	8	1/2	1/2	3/4	2	1	V7/III						a	i		V7/III	V		7		III			Mm7	1	1	1, 5, 2, -1		1.0	1.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
9	9	0	0	3/4	2	1	III}{						a	i		III	III						}{	M	1	1	0, 4, 1		0.0	0.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
9	9	1/8	1/8	3/4	2	1	VII						a	i		VII	VII							M	1	1	1, 5, 2		1.0	1.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
9	9	1/4	1/4	3/4	2	1	ii6/VII						a	i		ii6/VII	ii		6		VII			m	1	1	0, 4, 3		3.0	0.0	0	3	0.0	0.0	0.25	0.0
9	9	3/8	3/8	3/4	2	1	V2/VII						a	i		V2/VII	V		2		VII			Mm7	1	1	0, 2, 6, 3		2.0	0.0	0	3	0.0	0.0	0.25	0.0
9	9	1/2	1/2	3/4	2	1	VII						a	i		VII	VII							M	1	1	1, 5, 2		1.0	1.0	0	4	0.0	0.0	0.25	0.0
9	9	5/8	5/8	3/4	2	1	viio/VII						a	i		viio/VII	vii	o			VII			o	1	1	6, 3, 0		6.0	6.0	0	4	0.0	0.0	0.25	0.0
10	10	0	0	3/4	2	1	VII						a	i		VII	VII							M	1	1	1, 5, 2		1.0	1.0	3	3	0.5	0.25	0.25	0.5
