mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	15/16	4/4	2	1	F.I{					F	I		I	I						{	M	0	0	-1, 3, 0		-1	-1	12	29	0.2926829268292683	0.5625	2.1875	0.20454545454545456
3	2	1/4	1/4	4/4	2	1	vi					F	I		vi	vi							m	0	0	2, -1, 3		2	2	3	6	0.3333333333333333	0.11458333333333333	0.3854166666666667	0.22916666666666666
3	2	1/2	1/2	4/4	2	1	ii65	-0.247866	5.97866		/	F	I		ii65	ii		65					mm7	0	0	-2, 2, -1, 1		1	-2	2	7	0.2222222222222222	0.08333333333333333	0.5416666666666666	0.13333333333333333
3	2	3/4	3/4	4/4	2	1	V43	0	6.97012		/	F	I		V43	V		43					Mm7	0	0	1, -2, 0, 4		0	1	1	7	0.125	0.03125	0.71875	0.041666666666666664
4	3	0	0	4/4	2	1	I|IAC}{					F	I		I	I					IAC	}{	M	0	0	-1, 3, 0		-1	-1	4	10	0.2857142857142857	0.21875	1.21875	0.15217391304347827
4	3	1/2	1/2	4/4	2	1	viio6(2)					F	I		viio6(2)	vii	o	6	2				o	0	0	1, -2, -1		4	1	0	4	0.0	0.0	0.75	0.0
4	3	5/8	5/8	4/4	2	1	viio6					F	I		viio6	vii	o	6					o	0	0	1, -2, 4		4	1	3	7	0.3	0.15625	0.59375	0.20833333333333334
5	4	0	0	4/4	2	1	I6(11)					F	I		I6(11)	I		6	11				M	0	0	3, 0, -1	-2	-1	3	0	4	0.0	0.0	0.875	0.0
5	4	1/8	1/8	4/4	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	2	5	0.2857142857142857	0.125	0.375	0.25
5	4	1/2	1/2	4/4	2	1	IV(9)					F	I		IV(9)	IV			9				M	0	0	-2, 2, -1	0	-2	-2	0	4	0.0	0.0	0.625	0.0
5	4	5/8	5/8	4/4	2	1	IV					F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	3	5	0.375	0.1875	0.4375	0.3
