mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	minDistance	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	3/4	2	1	F.I{					F	I		I	I						{	M	0	0	-1, 3, 0		-1	-1	2	5	0.2857142857142857	0.0625	1.1875	0.05
1	1	1/4	1/4	3/4	2	1	V7/IV					F	I		V7/IV	V		7		IV			Mm7	0	0	-1, 3, 0, -3		-1	-1	0	5	0.0	0.0	2.5	0.0
2	2	0	0	3/4	2	1	IV					F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	0.875	0.0
2	2	1/8	1/8	3/4	2	1	IV(^97^b4)	-0.247866	3.74787		/	F	I		IV(^97^b4)	IV			^97^b4				M	0	0	-2, 2, -3	0, 3	-2	-2	0	3	0.0	0.0	0.375	0.0
2	2	1/4	1/4	3/4	2	1	IV					F	I		IV	IV							M	0	0	-2, 2, -1		-2	-2	0	5	0.0	0.0	2.5	0.0
3	3	0	0	3/4	2	1	V2					F	I		V2	V		2					Mm7	0	0	-2, 0, 4, 1		0	-2	1	4	0.2	0.125	0.875	0.125
3	3	1/4	1/4	3/4	2	1	I6					F	I		I6	I		6					M	0	0	3, 0, -1		-1	3	1	4	0.2	0.125	0.875	0.125
3	3	1/2	1/2	3/4	2	1	V43					F	I		V43	V		43					Mm7	0	0	1, -2, 0, 4		0	1	0	5	0.0	0.0	1.0	0.0
4	4	0	0	3/4	2	1	I					F	I		I	I							M	0	0	-1, 3, 0		-1	-1	0	4	0.0	0.0	1.0	0.0
4	4	1/4	1/4	3/4	2	1	V7					F	I		V7	V		7					Mm7	0	0	0, 4, 1, -2		0	0	1	4	0.2	0.125	0.875	0.125
4	4	1/2	1/2	3/4	2	1	I|PAC}					F	I		I	I					PAC	}	M	0	0	-1, 3, 0		-1	-1	3	9	0.25	0.09375	1.90625	0.046875
5	5	1/4	1/4	3/4	2	1	V.viio2					F	V		viio2	vii	o	2					o7	0	0	-4, 5, 2, -1		5	-4	1	4	0.2	0.125	1.875	0.0625
6	6	0	0	3/4	2	1	V65					F	V		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5	4	11	0.26666666666666666	0.25	3.25	0.07142857142857142
7	7	0	0	3/4	2	1	I6					F	V		I6	I		6					M	0	0	4, 1, 0		0	4	4	4	0.5	0.5	0.5	0.5
7	7	1/4	1/4	3/4	2	1	ii6	-0.123933	4.86326		/	F	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1	4	4	0.5	0.5	0.5	0.5
7	7	1/2	1/2	3/4	2	1	V(64)	-0.743598	4.98399	0.12616	/	F	V		V(64)	V			64				M	0	0	1, 0, 4		1	1	0	4	0.0	0.0	0.625	0.0
